 

stn;time;hns000mx
FRF;201705;0
FRF;201706;0
FRF;201707;0
FRF;201708;0
FRF;201709;0
FRF;201710;0
FRF;201711;1
FRF;201712;3
FRF;201801;0
FRF;201802;3
FRF;201803;6
FRF;201804;0
FRF;201805;0
FRF;201806;0
FRF;201807;0
FRF;201808;0
FRF;201809;0
FRF;201810;0
FRF;201811;0
FRF;201812;5
FRF;201901;7
FRF;201902;6
FRF;201903;0
FRF;201904;0
FRF;201905;0
FRF;201906;0
FRF;201907;0
FRF;201908;0
FRF;201909;0
FRF;201910;0
FRF;201911;0
FRF;201912;0
FRF;202001;0
FRF;202002;1
FRF;202003;-
FRF;202004;0
FRF;202005;0
FRF;202006;0
FRF;202007;0
FRF;202008;0
FRF;202009;0
FRF;202010;0
FRF;202011;3
FRF;202012;3
FRF;202101;38
FRF;202102;6
FRF;202103;0
