 

stn;time;hns000mx
EIN;190805;0
EIN;190806;0
EIN;190807;0
EIN;190808;0
EIN;190809;0
EIN;190810;0
EIN;190811;12
EIN;190812;15
EIN;190901;19
EIN;190902;16
EIN;190903;17
EIN;190904;7
EIN;190905;15
EIN;190906;0
EIN;190907;0
EIN;190908;0
EIN;190909;0
EIN;190910;4
EIN;190911;14
EIN;190912;15
EIN;191001;49
EIN;191002;16
EIN;191003;10
EIN;191004;10
EIN;191005;27
EIN;191006;0
EIN;191007;0
EIN;191008;0
EIN;191009;4
EIN;191010;0
EIN;191011;17
EIN;191012;20
EIN;191101;18
EIN;191102;7
EIN;191103;17
EIN;191104;9
EIN;191105;0
EIN;191106;0
EIN;191107;0
EIN;191108;0
EIN;191109;0
EIN;191110;0
EIN;191111;0
EIN;191112;4
EIN;191201;4
EIN;191202;16
EIN;191203;13
EIN;191204;20
EIN;191205;0
EIN;191206;0
EIN;191207;0
EIN;191208;0
EIN;191209;0
EIN;191210;13
EIN;191211;16
EIN;191212;12
EIN;191301;16
EIN;191302;12
EIN;191303;18
EIN;191304;17
EIN;191305;0
EIN;191306;0
EIN;191307;0
EIN;191308;0
EIN;191309;0
EIN;191310;0
EIN;191311;0
EIN;191312;20
EIN;191401;16
EIN;191402;17
EIN;191403;22
EIN;191404;0
EIN;191405;0
EIN;191406;0
EIN;191407;0
EIN;191408;0
EIN;191409;0
EIN;191410;0
EIN;191411;8
EIN;191412;6
EIN;191501;16
EIN;191502;26
EIN;191503;24
EIN;191504;17
EIN;191505;0
EIN;191506;0
EIN;191507;0
EIN;191508;0
EIN;191509;0
EIN;191510;0
EIN;191511;16
EIN;191512;16
EIN;191601;16
EIN;191602;19
EIN;191603;18
EIN;191604;15
EIN;191605;0
EIN;191606;3
EIN;191607;0
EIN;191608;0
EIN;191609;0
EIN;191610;8
EIN;191611;13
EIN;191612;25
EIN;191701;9
EIN;191702;6
EIN;191703;11
EIN;191704;18
EIN;191705;0
EIN;191706;0
EIN;191707;0
EIN;191708;0
EIN;191709;0
EIN;191710;9
EIN;191711;12
EIN;191712;13
EIN;191801;40
EIN;191802;10
EIN;191803;9
EIN;191804;7
EIN;191805;0
EIN;191806;0
EIN;191807;0
EIN;191808;0
EIN;191809;0
EIN;191810;0
EIN;191811;2
EIN;191812;18
EIN;191901;9
EIN;191902;33
EIN;191903;31
EIN;191904;29
EIN;191905;0
EIN;191906;0
EIN;191907;0
EIN;191908;0
EIN;191909;0
EIN;191910;20
EIN;191911;21
EIN;191912;20
EIN;192001;10
EIN;192002;4
EIN;192003;9
EIN;192004;3
EIN;192005;4
EIN;192006;0
EIN;192007;0
EIN;192008;0
EIN;192009;0
EIN;192010;0
EIN;192011;0
EIN;192012;15
EIN;192101;13
EIN;192102;9
EIN;192103;8
EIN;192104;22
EIN;192105;3
EIN;192106;0
EIN;192107;0
EIN;192108;0
EIN;192109;0
EIN;192110;1
EIN;192111;5
EIN;192112;10
EIN;192201;34
EIN;192202;12
EIN;192203;23
EIN;192204;21
EIN;192205;0
EIN;192206;0
EIN;192207;0
EIN;192208;0
EIN;192209;0
EIN;192210;2
EIN;192211;17
EIN;192212;19
EIN;192301;17
EIN;192302;11
EIN;192303;19
EIN;192304;5
EIN;192305;3
EIN;192306;5
EIN;192307;0
EIN;192308;0
EIN;192309;0
EIN;192310;0
EIN;192311;35
EIN;192312;18
EIN;192401;19
EIN;192402;23
EIN;192403;7
EIN;192404;8
EIN;192405;6
EIN;192406;0
EIN;192407;0
EIN;192408;0
EIN;192409;0
EIN;192410;0
EIN;192411;5
EIN;192412;6
EIN;192501;8
EIN;192502;20
EIN;192503;17
EIN;192504;11
EIN;192505;5
EIN;192506;0
EIN;192507;0
EIN;192508;0
EIN;192509;0
EIN;192510;1
EIN;192511;16
EIN;192512;19
EIN;192601;14
EIN;192602;0
EIN;192603;10
EIN;192604;3
EIN;192605;15
EIN;192606;0
EIN;192607;0
EIN;192608;0
EIN;192609;0
EIN;192610;7
EIN;192611;0
EIN;192612;20
EIN;192701;46
EIN;192702;25
EIN;192703;22
EIN;192704;6
EIN;192705;0
EIN;192706;0
EIN;192707;0
EIN;192708;0
EIN;192709;0
EIN;192710;0
EIN;192711;11
EIN;192712;31
EIN;192801;11
EIN;192802;17
EIN;192803;9
EIN;192804;13
EIN;192805;9
EIN;192806;0
EIN;192807;0
EIN;192808;0
EIN;192809;2
EIN;192810;2
EIN;192811;28
EIN;192812;12
EIN;192901;32
EIN;192902;10
EIN;192903;5
EIN;192904;60
EIN;192905;0
EIN;192906;0
EIN;192907;0
EIN;192908;0
EIN;192909;0
EIN;192910;4
EIN;192911;3
EIN;192912;20
EIN;193001;10
EIN;193002;16
EIN;193003;12
EIN;193004;20
EIN;193005;3
EIN;193006;0
EIN;193007;0
EIN;193008;0
EIN;193009;0
