 

stn;time;hns000mx
CHD;195801;22
CHD;195802;18
CHD;195803;10
CHD;195804;4
CHD;195805;0
CHD;195806;0
CHD;195807;0
CHD;195808;0
CHD;195809;0
CHD;195810;6
CHD;195811;3
CHD;195812;12
CHD;195901;28
CHD;195902;3
CHD;195903;3
CHD;195904;1
CHD;195905;0
CHD;195906;0
CHD;195907;0
CHD;195908;0
CHD;195909;0
CHD;195910;2
CHD;195911;9
CHD;195912;30
CHD;196001;9
CHD;196002;50
CHD;196003;0
CHD;196004;6
CHD;196005;0
CHD;196006;0
CHD;196007;0
CHD;196008;0
CHD;196009;0
CHD;196010;13
CHD;196011;2
CHD;196012;17
CHD;196101;10
CHD;196102;22
CHD;196103;8
CHD;196104;0
CHD;196105;1
CHD;196106;0
CHD;196107;0
CHD;196108;0
CHD;196109;0
CHD;196110;2
CHD;196111;12
CHD;196112;12
CHD;196201;20
CHD;196202;45
CHD;196203;14
CHD;196204;36
CHD;196205;0
CHD;196206;2
CHD;196207;0
CHD;196208;0
CHD;196209;0
CHD;196210;12
CHD;196211;10
CHD;196212;37
CHD;196301;25
CHD;196302;20
CHD;196303;23
CHD;196304;1
CHD;196305;1
CHD;196306;0
CHD;196307;0
CHD;196308;0
CHD;196309;0
CHD;196310;0
CHD;196311;1
CHD;196312;1
CHD;196401;13
CHD;196402;0
CHD;196403;3
CHD;196404;0
CHD;196405;0
CHD;196406;0
CHD;196407;0
CHD;196408;0
CHD;196409;0
CHD;196410;5
CHD;196411;6
CHD;196412;18
CHD;196501;15
CHD;196502;53
CHD;196503;7
CHD;196504;15
CHD;196505;0
CHD;196506;0
CHD;196507;0
CHD;196508;0
CHD;196509;0
CHD;196510;0
CHD;196511;23
CHD;196512;27
CHD;196601;14
CHD;196602;2
CHD;196603;45
CHD;196604;2
CHD;196605;2
CHD;196606;0
CHD;196607;0
CHD;196608;0
CHD;196609;0
CHD;196610;0
CHD;196611;31
CHD;196612;30
CHD;196701;10
CHD;196702;5
CHD;196703;36
CHD;196704;25
CHD;196705;1
CHD;196706;0
CHD;196707;0
CHD;196708;0
CHD;196709;0
CHD;196710;0
CHD;196711;4
CHD;196712;18
CHD;196801;38
CHD;196802;10
CHD;196803;23
CHD;196804;0
CHD;196805;2
CHD;196806;0
CHD;196807;0
CHD;196808;0
CHD;196809;0
CHD;196810;0
CHD;196811;12
CHD;196812;22
CHD;196901;7
CHD;196902;10
CHD;196903;4
CHD;196904;10
CHD;196905;0
CHD;196906;0
CHD;196907;0
CHD;196908;0
CHD;196909;0
CHD;196910;0
CHD;196911;31
CHD;196912;24
CHD;197001;10
CHD;197002;29
CHD;197003;25
CHD;197004;29
CHD;197005;0
CHD;197006;0
CHD;197007;0
CHD;197008;0
CHD;197009;0
CHD;197010;8
CHD;197011;12
CHD;197012;7
CHD;197101;5
CHD;197102;18
CHD;197103;13
CHD;197104;0
CHD;197105;0
CHD;197106;0
CHD;197107;0
CHD;197108;0
CHD;197109;0
CHD;197110;0
CHD;197111;39
CHD;197112;16
CHD;197201;13
CHD;197202;10
CHD;197203;15
CHD;197204;20
CHD;197205;0
CHD;197206;0
CHD;197207;0
CHD;197208;0
CHD;197209;0
CHD;197210;15
CHD;197211;14
CHD;197212;3
CHD;197301;20
CHD;197302;29
CHD;197303;15
CHD;197304;22
CHD;197305;0
CHD;197306;0
CHD;197307;0
CHD;197308;0
CHD;197309;0
CHD;197310;0
CHD;197311;12
CHD;197312;11
CHD;197401;12
CHD;197402;20
CHD;197403;23
CHD;197404;1
CHD;197405;0
CHD;197406;0
CHD;197407;0
CHD;197408;0
CHD;197409;0
CHD;197410;40
CHD;197411;16
CHD;197412;10
CHD;197501;4
CHD;197502;2
CHD;197503;16
CHD;197504;28
CHD;197505;0
CHD;197506;0
CHD;197507;0
CHD;197508;0
CHD;197509;0
CHD;197510;3
CHD;197511;10
CHD;197512;9
CHD;197601;17
CHD;197602;19
CHD;197603;15
CHD;197604;17
CHD;197605;0
CHD;197606;0
CHD;197607;0
CHD;197608;0
CHD;197609;0
CHD;197610;0
CHD;197611;11
CHD;197612;38
CHD;197701;28
CHD;197702;9
CHD;197703;6
CHD;197704;12
