 

stn;time;hns000mx
ELM;188201;3
ELM;188202;11
ELM;188203;43
ELM;188204;7
ELM;188205;5
ELM;188206;0
ELM;188207;0
ELM;188208;0
ELM;188209;0
ELM;188210;0
ELM;188211;30
ELM;188212;38
ELM;188301;22
ELM;188302;12
ELM;188303;31
ELM;188304;12
ELM;188305;14
ELM;188306;0
ELM;188307;0
ELM;188308;0
ELM;188309;0
ELM;188310;32
ELM;188311;16
ELM;188312;32
ELM;188401;21
ELM;188402;26
ELM;188403;8
ELM;188404;17
ELM;188405;1
ELM;188406;2
ELM;188407;0
ELM;188408;0
ELM;188409;0
ELM;188410;3
ELM;188411;31
ELM;188412;26
ELM;188501;4
ELM;188502;17
ELM;188503;4
ELM;188504;13
ELM;188505;17
ELM;188506;0
ELM;188507;0
ELM;188508;0
ELM;188509;65
ELM;188510;28
ELM;188511;4
ELM;188512;17
ELM;188601;13
ELM;188602;34
ELM;188603;4
ELM;188604;23
ELM;188605;2
ELM;188606;0
ELM;188607;0
ELM;188608;0
ELM;188609;0
ELM;188610;0
ELM;188611;34
ELM;188612;34
ELM;188701;24
ELM;188702;20
ELM;188703;15
ELM;188704;5
ELM;188705;2
ELM;188706;0
ELM;188707;0
ELM;188708;0
ELM;188709;4
ELM;188710;16
ELM;188711;12
ELM;188712;20
ELM;188801;30
ELM;188802;35
ELM;188803;13
ELM;188804;36
ELM;188805;0
ELM;188806;0
ELM;188807;0
ELM;188808;0
ELM;188809;0
ELM;188810;30
ELM;188811;7
ELM;188812;1
ELM;188901;15
ELM;188902;42
ELM;188903;15
ELM;188904;15
ELM;188905;0
ELM;188906;0
ELM;188907;0
ELM;188908;0
ELM;188909;0
ELM;188910;5
ELM;188911;14
ELM;188912;15
ELM;189001;10
ELM;189002;2
ELM;189003;25
ELM;189004;16
ELM;189005;0
ELM;189006;0
ELM;189007;0
ELM;189008;8
ELM;189009;0
ELM;189010;25
ELM;189011;15
ELM;189012;6
ELM;189101;43
ELM;189102;8
ELM;189103;39
ELM;189104;15
ELM;189105;2
ELM;189106;0
ELM;189107;0
ELM;189108;0
ELM;189109;0
ELM;189110;1
ELM;189111;4
ELM;189112;11
ELM;189201;16
ELM;189202;43
ELM;189203;18
ELM;189204;14
ELM;189205;5
ELM;189206;0
ELM;189207;0
ELM;189208;0
ELM;189209;0
ELM;189210;3
ELM;189211;2
ELM;189212;18
ELM;189301;73
ELM;189302;37
ELM;189303;21
ELM;189304;0
ELM;189305;0
ELM;189306;0
ELM;189307;0
ELM;189308;0
ELM;189309;0
ELM;189310;0
ELM;189311;14
ELM;189312;11
ELM;189401;10
ELM;189402;35
ELM;189403;27
ELM;189404;10
ELM;189405;0
ELM;189406;0
ELM;189407;0
ELM;189408;0
ELM;189409;1
ELM;189410;1
ELM;189411;1
ELM;189412;20
ELM;189501;32
ELM;189502;8
ELM;189503;15
ELM;189504;15
ELM;189505;11
ELM;189506;0
ELM;189507;0
ELM;189508;0
ELM;189509;0
ELM;189510;4
ELM;189511;2
ELM;189512;23
ELM;189601;24
ELM;189602;50
ELM;189603;10
ELM;189604;31
ELM;189605;16
ELM;189606;0
ELM;189607;0
ELM;189608;0
ELM;189609;0
ELM;189610;33
ELM;189611;20
ELM;189612;12
ELM;189701;24
ELM;189702;18
ELM;189703;20
ELM;189704;16
ELM;189705;18
ELM;189706;0
ELM;189707;0
ELM;189708;0
ELM;189709;21
ELM;189710;4
ELM;189711;17
ELM;189712;15
ELM;189801;1
ELM;189802;73
ELM;189803;10
ELM;189804;26
ELM;189805;16
ELM;189806;0
ELM;189807;0
ELM;189808;0
ELM;189809;0
ELM;189810;4
ELM;189811;32
ELM;189812;12
ELM;189901;12
ELM;189902;5
ELM;189903;12
ELM;189904;10
ELM;189905;1
ELM;189906;0
ELM;189907;0
ELM;189908;0
ELM;189909;0
ELM;189910;0
ELM;189911;0
ELM;189912;20
ELM;190001;21
ELM;190002;10
ELM;190003;8
ELM;190004;12
ELM;190005;0
ELM;190006;0
ELM;190007;0
ELM;190008;0
ELM;190009;0
ELM;190010;0
ELM;190011;22
ELM;190012;10
ELM;190101;25
ELM;190102;8
ELM;190103;18
ELM;190104;24
ELM;190105;15
ELM;190106;0
ELM;190107;0
ELM;190108;0
ELM;190109;0
ELM;190110;0
ELM;190111;7
ELM;190112;30
ELM;190201;35
ELM;190202;13
ELM;190203;23
ELM;190204;0
ELM;190205;15
ELM;190206;0
ELM;190207;0
ELM;190208;0
ELM;190209;0
ELM;190210;0
ELM;190211;8
ELM;190212;44
ELM;190301;20
ELM;190302;48
ELM;190303;31
ELM;190304;24
ELM;190305;0
ELM;190306;0
ELM;190307;0
ELM;190308;0
ELM;190309;0
ELM;190310;9
ELM;190311;28
ELM;190312;18
ELM;190401;8
ELM;190402;17
ELM;190403;18
ELM;190404;10
ELM;190405;13
ELM;190406;0
ELM;190407;0
ELM;190408;0
ELM;190409;0
ELM;190410;13
ELM;190411;31
ELM;190412;15
ELM;190501;18
ELM;190502;14
ELM;190503;20
ELM;190504;17
ELM;190505;6
ELM;190506;0
ELM;190507;0
ELM;190508;0
ELM;190509;0
ELM;190510;28
ELM;190511;20
ELM;190512;24
ELM;190601;27
ELM;190602;15
ELM;190603;19
ELM;190604;20
ELM;190605;35
ELM;190606;0
ELM;190607;0
ELM;190608;0
ELM;190609;0
ELM;190610;0
ELM;190611;12
ELM;190612;30
ELM;190701;38
ELM;190702;34
ELM;190703;32
ELM;190704;12
ELM;190705;0
ELM;190706;0
ELM;190707;0
ELM;190708;0
ELM;190709;0
ELM;190710;0
ELM;190711;8
ELM;190712;25
ELM;190801;16
ELM;190802;32
ELM;190803;27
ELM;190804;17
ELM;190805;57
ELM;190806;0
ELM;190807;0
ELM;190808;0
ELM;190809;0
ELM;190810;0
ELM;190811;18
ELM;190812;14
ELM;190901;16
ELM;190902;12
ELM;190903;11
ELM;190904;10
ELM;190905;3
ELM;190906;1
ELM;190907;0
ELM;190908;0
ELM;190909;0
ELM;190910;8
ELM;190911;22
ELM;190912;27
ELM;191001;62
ELM;191002;11
ELM;191003;13
ELM;191004;8
ELM;191005;19
ELM;191006;0
ELM;191007;0
ELM;191008;0
ELM;191009;0
ELM;191010;0
ELM;191011;27
ELM;191012;35
ELM;191101;10
ELM;191102;16
ELM;191103;13
ELM;191104;6
ELM;191105;0
ELM;191106;0
ELM;191107;0
ELM;191108;0
ELM;191109;2
ELM;191110;2
ELM;191111;10
ELM;191112;18
ELM;191201;10
ELM;191202;14
ELM;191203;13
ELM;191204;19
ELM;191205;0
ELM;191206;0
ELM;191207;0
ELM;191208;0
ELM;191209;0
ELM;191210;20
ELM;191211;22
ELM;191212;20
ELM;191301;20
ELM;191302;12
ELM;191303;20
ELM;191304;19
ELM;191305;2
ELM;191306;2
ELM;191307;0
ELM;191308;0
ELM;191309;0
ELM;191310;0
ELM;191311;20
ELM;191312;43
ELM;191401;30
ELM;191402;19
ELM;191403;25
ELM;191404;2
ELM;191405;8
ELM;191406;10
ELM;191407;0
ELM;191408;0
ELM;191409;0
ELM;191410;2
ELM;191411;22
ELM;191412;7
ELM;191501;33
ELM;191502;23
ELM;191503;26
ELM;191504;10
ELM;191505;0
ELM;191506;0
ELM;191507;0
ELM;191508;0
ELM;191509;40
ELM;191510;1
ELM;191511;18
ELM;191512;26
ELM;191601;18
ELM;191602;20
ELM;191603;23
ELM;191604;30
ELM;191605;0
ELM;191606;6
ELM;191607;0
ELM;191608;0
ELM;191609;0
ELM;191610;11
ELM;191611;23
ELM;191612;23
ELM;191701;14
ELM;191702;18
ELM;191703;13
ELM;191704;80
ELM;191705;0
ELM;191706;0
ELM;191707;0
ELM;191708;0
ELM;191709;0
ELM;191710;30
ELM;191711;15
ELM;191712;22
ELM;191801;14
ELM;191802;11
ELM;191803;16
ELM;191804;10
ELM;191805;0
ELM;191806;2
ELM;191807;0
ELM;191808;0
ELM;191809;0
ELM;191810;0
ELM;191811;18
ELM;191812;34
ELM;191901;15
ELM;191902;38
ELM;191903;17
ELM;191904;15
ELM;191905;8
ELM;191906;10
ELM;191907;0
ELM;191908;0
ELM;191909;10
ELM;191910;20
ELM;191911;20
ELM;191912;27
ELM;192001;15
ELM;192002;6
ELM;192003;16
ELM;192004;15
ELM;192005;11
ELM;192006;0
ELM;192007;0
ELM;192008;0
ELM;192009;0
ELM;192010;0
ELM;192011;0
ELM;192012;11
ELM;192101;19
ELM;192102;7
ELM;192103;7
ELM;192104;11
ELM;192105;4
ELM;192106;0
ELM;192107;0
ELM;192108;0
ELM;192109;0
ELM;192110;0
ELM;192111;8
ELM;192112;18
ELM;192201;24
ELM;192202;32
ELM;192203;61
ELM;192204;13
ELM;192205;0
ELM;192206;0
ELM;192207;0
ELM;192208;0
ELM;192209;0
ELM;192210;6
ELM;192211;33
ELM;192212;43
ELM;192301;16
ELM;192302;24
ELM;192303;11
ELM;192304;8
ELM;192305;2
ELM;192306;1
ELM;192307;0
ELM;192308;0
ELM;192309;0
ELM;192310;0
ELM;192311;33
ELM;192312;30
ELM;192401;23
ELM;192402;30
ELM;192403;13
ELM;192404;13
ELM;192405;43
ELM;192406;0
ELM;192407;0
ELM;192408;0
ELM;192409;0
ELM;192410;0
ELM;192411;14
ELM;192412;13
ELM;192501;8
ELM;192502;29
ELM;192503;17
ELM;192504;21
ELM;192505;0
ELM;192506;0
ELM;192507;0
ELM;192508;0
ELM;192509;0
ELM;192510;0
ELM;192511;15
ELM;192512;15
ELM;192601;24
ELM;192602;5
ELM;192603;25
ELM;192604;18
ELM;192605;11
ELM;192606;0
ELM;192607;0
ELM;192608;0
ELM;192609;0
ELM;192610;18
ELM;192611;0
ELM;192612;29
ELM;192701;28
ELM;192702;26
ELM;192703;36
ELM;192704;9
ELM;192705;2
ELM;192706;0
ELM;192707;0
ELM;192708;0
ELM;192709;0
ELM;192710;2
ELM;192711;4
ELM;192712;21
ELM;192801;26
ELM;192802;25
ELM;192803;6
ELM;192804;11
ELM;192805;18
ELM;192806;0
ELM;192807;0
ELM;192808;0
ELM;192809;0
ELM;192810;6
ELM;192811;43
ELM;192812;29
ELM;192901;15
ELM;192902;8
ELM;192903;4
ELM;192904;26
ELM;192905;0
ELM;192906;0
ELM;192907;0
ELM;192908;0
ELM;192909;0
ELM;192910;18
ELM;192911;18
ELM;192912;23
ELM;193001;9
ELM;193002;6
ELM;193003;16
ELM;193004;15
ELM;193005;2
ELM;193006;0
ELM;193007;0
ELM;193008;0
ELM;193009;0
ELM;193010;20
ELM;193011;35
ELM;193012;35
ELM;193101;30
ELM;193102;32
ELM;193103;36
ELM;193104;10
ELM;193105;0
ELM;193106;0
ELM;193107;0
ELM;193108;0
ELM;193109;3
ELM;193110;11
ELM;193111;11
ELM;193112;30
ELM;193201;25
ELM;193202;7
ELM;193203;24
ELM;193204;30
ELM;193205;34
ELM;193206;0
ELM;193207;0
ELM;193208;0
ELM;193209;0
ELM;193210;28
ELM;193211;8
ELM;193212;5
ELM;193301;18
ELM;193302;7
ELM;193303;25
ELM;193304;6
ELM;193305;8
ELM;193306;0
ELM;193307;0
ELM;193308;0
ELM;193309;0
ELM;193310;20
ELM;193311;16
ELM;193312;6
ELM;193401;22
ELM;193402;6
ELM;193403;11
ELM;193404;4
ELM;193405;0
ELM;193406;0
ELM;193407;0
ELM;193408;0
ELM;193409;0
ELM;193410;20
ELM;193411;10
ELM;193412;8
ELM;193501;44
ELM;193502;45
ELM;193503;25
ELM;193504;30
ELM;193505;17
ELM;193506;0
ELM;193507;0
ELM;193508;0
ELM;193509;0
ELM;193510;14
ELM;193511;20
ELM;193512;48
ELM;193601;5
ELM;193602;12
ELM;193603;4
ELM;193604;4
ELM;193605;0
ELM;193606;0
ELM;193607;0
ELM;193608;0
ELM;193609;2
ELM;193610;27
ELM;193611;0
ELM;193612;14
ELM;193701;9
ELM;193702;42
ELM;193703;51
ELM;193704;21
ELM;193705;0
ELM;193706;0
ELM;193707;0
ELM;193708;0
ELM;193709;0
ELM;193710;5
ELM;193711;9
ELM;193712;27
ELM;193801;50
ELM;193802;35
ELM;193803;18
ELM;193804;10
ELM;193805;26
ELM;193806;0
ELM;193807;0
ELM;193808;0
ELM;193809;0
ELM;193810;9
ELM;193811;2
ELM;193812;20
ELM;193901;30
ELM;193902;17
ELM;193903;41
ELM;193904;3
ELM;193905;0
ELM;193906;0
ELM;193907;0
ELM;193908;0
ELM;193909;0
ELM;193910;12
ELM;193911;13
ELM;193912;40
ELM;194001;41
ELM;194002;34
ELM;194003;13
ELM;194004;28
ELM;194005;12
ELM;194006;0
ELM;194007;0
ELM;194008;0
ELM;194009;0
ELM;194010;11
ELM;194011;28
ELM;194012;42
ELM;194101;21
ELM;194102;12
ELM;194103;12
ELM;194104;18
ELM;194105;3
ELM;194106;0
ELM;194107;0
ELM;194108;0
ELM;194109;0
ELM;194110;40
ELM;194111;28
ELM;194112;28
ELM;194201;38
ELM;194202;17
ELM;194203;4
ELM;194204;0
ELM;194205;0
ELM;194206;0
ELM;194207;0
ELM;194208;0
ELM;194209;0
ELM;194210;0
ELM;194211;22
ELM;194212;7
ELM;194301;38
ELM;194302;17
ELM;194303;17
ELM;194304;25
ELM;194305;0
ELM;194306;0
ELM;194307;0
ELM;194308;0
ELM;194309;0
ELM;194310;0
ELM;194311;39
ELM;194312;20
ELM;194401;44
ELM;194402;38
ELM;194403;24
ELM;194404;0
ELM;194405;0
ELM;194406;0
ELM;194407;0
ELM;194408;0
ELM;194409;0
ELM;194410;3
ELM;194411;20
ELM;194412;17
ELM;194501;17
ELM;194502;10
ELM;194503;55
ELM;194504;4
ELM;194505;6
ELM;194506;0
ELM;194507;0
ELM;194508;0
ELM;194509;0
ELM;194510;0
ELM;194511;27
ELM;194512;16
ELM;194601;15
ELM;194602;46
ELM;194603;10
ELM;194604;0
ELM;194605;3
ELM;194606;0
ELM;194607;0
ELM;194608;0
ELM;194609;0
ELM;194610;5
ELM;194611;7
ELM;194612;25
ELM;194701;15
ELM;194702;18
ELM;194703;12
ELM;194704;8
ELM;194705;0
ELM;194706;0
ELM;194707;0
ELM;194708;0
ELM;194709;0
ELM;194710;0
ELM;194711;30
