 

stn;time;rsd700m0
BEKAP;201305;0
BEKAP;201306;0
BEKAP;201307;0
BEKAP;201308;0
BEKAP;201309;0
BEKAP;201310;0
BEKAP;201311;0
BEKAP;201312;0
BEKAP;201401;0
BEKAP;201402;0
BEKAP;201403;0
BEKAP;201404;0
BEKAP;201405;0
BEKAP;201406;0
BEKAP;201407;0
BEKAP;201408;0
BEKAP;201409;0
BEKAP;201410;0
BEKAP;201411;0
BEKAP;201412;0
BEKAP;201501;0
BEKAP;201502;0
BEKAP;201503;0
BEKAP;201504;0
BEKAP;201505;0
BEKAP;201506;0
BEKAP;201507;0
BEKAP;201508;0
BEKAP;201509;0
BEKAP;201510;0
BEKAP;201511;0
BEKAP;201512;0
BEKAP;201601;0
BEKAP;201602;0
BEKAP;201603;0
BEKAP;201604;0
BEKAP;201605;0
BEKAP;201606;0
BEKAP;201607;0
BEKAP;201608;0
BEKAP;201609;0
BEKAP;201610;0
BEKAP;201611;0
BEKAP;201612;0
BEKAP;201701;0
BEKAP;201702;0
BEKAP;201703;0
BEKAP;201704;0
BEKAP;201705;0
BEKAP;201706;0
BEKAP;201707;0
BEKAP;201708;0
BEKAP;201709;0
BEKAP;201710;0
BEKAP;201711;0
BEKAP;201712;0
BEKAP;201801;0
BEKAP;201802;0
BEKAP;201803;0
BEKAP;201804;0
BEKAP;201805;0
BEKAP;201806;0
BEKAP;201807;0
BEKAP;201808;0
BEKAP;201809;0
BEKAP;201810;0
BEKAP;201811;0
BEKAP;201812;0
BEKAP;201901;0
BEKAP;201902;0
BEKAP;201903;0
BEKAP;201904;0
BEKAP;201905;0
BEKAP;201906;0
BEKAP;201907;0
BEKAP;201908;0
BEKAP;201909;0
BEKAP;201910;0
BEKAP;201911;0
BEKAP;201912;0
BEKAP;202001;0
BEKAP;202002;0
BEKAP;202003;0
BEKAP;202004;0
