 

stn;time;rsd700m0
SSU;196101;0
SSU;196102;0
SSU;196103;0
SSU;196104;0
SSU;196105;0
SSU;196106;0
SSU;196107;0
SSU;196108;0
SSU;196109;0
SSU;196110;0
SSU;196111;0
SSU;196112;0
SSU;196201;0
SSU;196202;0
SSU;196203;0
SSU;196204;0
SSU;196205;0
SSU;196206;0
SSU;196207;0
SSU;196208;0
SSU;196209;0
SSU;196210;0
SSU;196211;0
SSU;196212;1
SSU;196301;0
SSU;196302;0
SSU;196303;0
SSU;196304;0
SSU;196305;0
SSU;196306;0
SSU;196307;0
SSU;196308;0
SSU;196309;0
SSU;196310;0
SSU;196311;0
SSU;196312;0
SSU;196401;0
SSU;196402;0
SSU;196403;0
SSU;196404;0
SSU;196405;0
SSU;196406;0
SSU;196407;0
SSU;196408;0
SSU;196409;0
SSU;196410;0
SSU;196411;0
SSU;196412;0
SSU;196501;0
SSU;196502;0
SSU;196503;0
SSU;196504;0
SSU;196505;0
SSU;196506;0
SSU;196507;0
SSU;196508;0
SSU;196509;0
SSU;196510;0
SSU;196511;0
SSU;196512;0
SSU;196601;0
SSU;196602;0
SSU;196603;0
SSU;196604;0
SSU;196605;0
SSU;196606;0
SSU;196607;0
SSU;196608;0
SSU;196609;0
SSU;196610;0
SSU;196611;0
SSU;196612;0
SSU;196701;0
SSU;196702;0
SSU;196703;0
SSU;196704;0
SSU;196705;0
SSU;196706;0
SSU;196707;0
SSU;196708;0
SSU;196709;0
SSU;196710;0
SSU;196711;0
SSU;196712;0
SSU;196801;0
SSU;196802;0
SSU;196803;0
SSU;196804;0
SSU;196805;0
SSU;196806;0
SSU;196807;0
SSU;196808;0
SSU;196809;0
SSU;196810;0
SSU;196811;0
SSU;196812;0
SSU;196901;0
SSU;196902;0
SSU;196903;0
SSU;196904;0
SSU;196905;0
SSU;196906;0
SSU;196907;0
SSU;196908;0
SSU;196909;0
SSU;196910;0
SSU;196911;0
SSU;196912;0
SSU;197001;0
SSU;197002;0
SSU;197003;0
SSU;197004;0
SSU;197005;0
SSU;197006;0
SSU;197007;0
SSU;197008;0
SSU;197009;0
SSU;197010;0
SSU;197011;0
SSU;197012;0
SSU;197101;0
SSU;197102;0
SSU;197103;0
SSU;197104;0
SSU;197105;0
SSU;197106;0
SSU;197107;0
SSU;197108;0
SSU;197109;0
SSU;197110;0
SSU;197111;0
SSU;197112;0
SSU;197201;0
SSU;197202;0
SSU;197203;0
SSU;197204;0
SSU;197205;0
SSU;197206;0
SSU;197207;0
SSU;197208;0
SSU;197209;0
SSU;197210;0
SSU;197211;0
SSU;197212;0
SSU;197301;0
SSU;197302;0
SSU;197303;0
SSU;197304;0
SSU;197305;0
SSU;197306;0
SSU;197307;0
SSU;197308;0
SSU;197309;0
SSU;197310;0
SSU;197311;0
SSU;197312;0
SSU;197401;0
SSU;197402;0
SSU;197403;0
SSU;197404;0
SSU;197405;0
SSU;197406;0
SSU;197407;0
SSU;197408;0
SSU;197409;0
SSU;197410;0
SSU;197411;0
SSU;197412;0
SSU;197501;0
SSU;197502;0
SSU;197503;0
SSU;197504;0
SSU;197505;0
SSU;197506;0
SSU;197507;0
SSU;197508;0
SSU;197509;0
SSU;197510;0
SSU;197511;0
SSU;197512;0
SSU;197601;0
SSU;197602;0
SSU;197603;0
SSU;197604;0
SSU;197605;0
SSU;197606;0
SSU;197607;0
SSU;197608;0
SSU;197609;0
SSU;197610;0
SSU;197611;0
SSU;197612;0
SSU;197701;0
SSU;197702;0
SSU;197703;0
SSU;197704;0
SSU;197705;0
SSU;197706;0
SSU;197707;0
SSU;197708;0
SSU;197709;0
SSU;197710;0
SSU;197711;0
SSU;197712;0
SSU;197801;0
SSU;197802;0
SSU;197803;0
SSU;197804;0
SSU;197805;0
SSU;197806;0
SSU;197807;0
SSU;197808;0
SSU;197809;0
SSU;197810;0
SSU;197811;0
SSU;197812;0
SSU;197901;0
SSU;197902;0
SSU;197903;0
SSU;197904;0
SSU;197905;0
SSU;197906;0
SSU;197907;0
SSU;197908;0
SSU;197909;0
SSU;197910;0
SSU;197911;1
SSU;197912;0
SSU;198001;0
SSU;198002;0
SSU;198003;0
SSU;198004;0
SSU;198005;0
SSU;198006;0
SSU;198007;1
SSU;198008;0
SSU;198009;0
SSU;198010;0
SSU;198011;0
SSU;198012;0
SSU;198101;0
SSU;198102;0
SSU;198103;0
SSU;198104;0
SSU;198105;0
SSU;198106;0
SSU;198107;0
SSU;198108;0
SSU;198109;0
SSU;198110;0
SSU;198111;0
SSU;198112;0
SSU;198201;1
SSU;198202;0
SSU;198203;0
SSU;198204;0
SSU;198205;0
SSU;198206;0
SSU;198207;0
SSU;198208;0
SSU;198209;0
SSU;198210;0
SSU;198211;0
SSU;198212;0
SSU;198301;0
SSU;198302;0
SSU;198303;0
SSU;198304;0
SSU;198305;0
SSU;198306;0
SSU;198307;0
SSU;198308;0
SSU;198309;0
SSU;198310;0
SSU;198311;1
SSU;198312;0
SSU;198401;0
SSU;198402;0
SSU;198403;0
SSU;198404;0
SSU;198405;0
SSU;198406;0
SSU;198407;0
SSU;198408;0
SSU;198409;0
SSU;198410;0
SSU;198411;0
SSU;198412;0
SSU;198501;0
SSU;198502;0
SSU;198503;0
SSU;198504;0
SSU;198505;0
SSU;198506;0
SSU;198507;0
SSU;198508;0
SSU;198509;0
SSU;198510;0
SSU;198511;0
SSU;198512;0
SSU;198601;0
SSU;198602;0
SSU;198603;0
SSU;198604;0
SSU;198605;0
SSU;198606;0
SSU;198607;0
SSU;198608;0
SSU;198609;0
SSU;198610;0
SSU;198611;0
SSU;198612;0
SSU;198701;0
SSU;198702;0
SSU;198703;0
SSU;198704;0
SSU;198705;0
SSU;198706;0
SSU;198707;0
SSU;198708;0
SSU;198709;2
SSU;198710;0
SSU;198711;0
SSU;198712;0
SSU;198801;0
SSU;198802;0
SSU;198803;0
SSU;198804;0
SSU;198805;0
SSU;198806;0
SSU;198807;0
SSU;198808;0
SSU;198809;0
SSU;198810;0
SSU;198811;0
SSU;198812;0
SSU;198901;0
SSU;198902;0
SSU;198903;0
SSU;198904;0
SSU;198905;0
SSU;198906;0
SSU;198907;0
SSU;198908;0
SSU;198909;0
SSU;198910;0
SSU;198911;0
SSU;198912;0
SSU;199001;0
SSU;199002;2
SSU;199003;0
SSU;199004;0
SSU;199005;0
SSU;199006;0
SSU;199007;0
SSU;199008;0
SSU;199009;0
SSU;199010;0
SSU;199011;0
SSU;199012;0
SSU;199101;0
SSU;199102;0
SSU;199103;0
SSU;199104;0
SSU;199105;0
SSU;199106;0
SSU;199107;0
SSU;199108;0
SSU;199109;0
SSU;199110;0
SSU;199111;0
SSU;199112;1
SSU;199201;0
SSU;199202;0
SSU;199203;0
SSU;199204;0
SSU;199205;0
SSU;199206;0
SSU;199207;0
SSU;199208;0
SSU;199209;0
SSU;199210;0
SSU;199211;0
SSU;199212;0
SSU;199301;0
SSU;199302;0
SSU;199303;0
SSU;199304;0
SSU;199305;0
SSU;199306;0
SSU;199307;0
SSU;199308;0
SSU;199309;0
SSU;199310;0
SSU;199311;0
SSU;199312;0
SSU;199401;0
SSU;199402;0
SSU;199403;0
SSU;199404;0
SSU;199405;0
SSU;199406;0
SSU;199407;0
SSU;199408;0
SSU;199409;0
SSU;199410;0
SSU;199411;0
SSU;199412;0
SSU;199501;1
