 

stn;time;rsd700m0
SUS;191405;0
SUS;191406;0
SUS;191407;0
SUS;191408;0
SUS;191409;0
SUS;191410;0
SUS;191411;0
SUS;191412;0
SUS;191501;0
SUS;191502;0
SUS;191503;0
SUS;191504;0
SUS;191505;0
SUS;191506;0
SUS;191507;0
SUS;191508;0
SUS;191509;0
SUS;191510;0
SUS;191511;0
SUS;191512;0
SUS;191601;0
SUS;191602;0
SUS;191603;0
SUS;191604;0
SUS;191605;0
SUS;191606;0
SUS;191607;0
SUS;191608;0
SUS;191609;0
SUS;191610;0
SUS;191611;0
SUS;191612;0
SUS;191701;0
SUS;191702;0
SUS;191703;0
SUS;191704;0
SUS;191705;0
SUS;191706;0
SUS;191707;0
SUS;191708;0
SUS;191709;0
SUS;191710;0
SUS;191711;0
SUS;191712;0
SUS;191801;0
SUS;191802;0
SUS;191803;0
SUS;191804;0
SUS;191805;0
SUS;191806;0
SUS;191807;0
SUS;191808;0
SUS;191809;0
SUS;191810;0
SUS;191811;0
SUS;191812;0
SUS;191901;0
SUS;191902;0
SUS;191903;0
SUS;191904;0
SUS;191905;0
SUS;191906;0
SUS;191907;0
SUS;191908;0
SUS;191909;0
SUS;191910;0
SUS;191911;0
SUS;191912;0
SUS;192001;0
SUS;192002;0
SUS;192003;0
SUS;192004;0
SUS;192005;0
SUS;192006;0
SUS;192007;0
SUS;192008;0
SUS;192009;0
SUS;192010;0
SUS;192011;0
SUS;192012;0
SUS;192101;0
SUS;192102;0
SUS;192103;0
SUS;192104;0
SUS;192105;0
SUS;192106;0
SUS;192107;0
SUS;192108;0
SUS;192109;0
SUS;192110;0
SUS;192111;0
SUS;192112;0
SUS;192201;0
SUS;192202;0
SUS;192203;0
SUS;192204;0
SUS;192205;0
SUS;192206;0
SUS;192207;0
SUS;192208;0
SUS;192209;0
SUS;192210;0
SUS;192211;0
SUS;192212;0
SUS;192301;0
SUS;192302;0
SUS;192303;0
SUS;192304;0
SUS;192305;0
SUS;192306;0
SUS;192307;0
SUS;192308;0
SUS;192309;0
SUS;192310;0
SUS;192311;0
SUS;192312;0
SUS;192401;0
SUS;192402;0
SUS;192403;0
SUS;192404;0
SUS;192405;0
SUS;192406;0
SUS;192407;0
SUS;192408;0
SUS;192409;0
SUS;192410;0
SUS;192411;0
SUS;192412;0
SUS;192501;0
SUS;192502;0
SUS;192503;0
SUS;192504;0
SUS;192505;0
