 

stn;time;rsd700m0
VSCOL;201312;0
VSCOL;201401;0
VSCOL;201402;0
VSCOL;201403;0
VSCOL;201404;0
VSCOL;201405;0
VSCOL;201406;0
VSCOL;201407;0
VSCOL;201408;0
VSCOL;201409;0
VSCOL;201410;0
VSCOL;201411;0
VSCOL;201412;0
VSCOL;201501;0
VSCOL;201502;0
VSCOL;201503;0
VSCOL;201504;0
VSCOL;201505;0
VSCOL;201506;0
VSCOL;201507;0
VSCOL;201508;0
VSCOL;201509;0
VSCOL;201510;0
VSCOL;201511;0
VSCOL;201512;0
VSCOL;201601;0
VSCOL;201602;0
VSCOL;201603;0
VSCOL;201604;0
VSCOL;201605;0
VSCOL;201606;0
VSCOL;201607;0
VSCOL;201608;0
VSCOL;201609;0
VSCOL;201610;0
VSCOL;201611;0
VSCOL;201612;0
VSCOL;201701;0
VSCOL;201702;0
VSCOL;201703;0
VSCOL;201704;0
VSCOL;201705;0
VSCOL;201706;0
VSCOL;201707;0
VSCOL;201708;0
VSCOL;201709;0
VSCOL;201710;0
VSCOL;201711;0
VSCOL;201712;0
VSCOL;201801;0
VSCOL;201802;0
VSCOL;201803;0
VSCOL;201804;0
VSCOL;201805;0
VSCOL;201806;0
VSCOL;201807;0
VSCOL;201808;0
VSCOL;201809;0
VSCOL;201810;0
VSCOL;201811;0
VSCOL;201812;0
VSCOL;201901;0
VSCOL;201902;0
VSCOL;201903;0
VSCOL;201904;0
VSCOL;201905;0
VSCOL;201906;0
VSCOL;201907;0
VSCOL;201908;0
VSCOL;201909;0
VSCOL;201910;0
VSCOL;201911;0
VSCOL;201912;0
VSCOL;202001;0
VSCOL;202002;0
VSCOL;202003;0
VSCOL;202004;0
VSCOL;202005;0
VSCOL;202006;0
VSCOL;202007;0
VSCOL;202008;0
VSCOL;202009;0
VSCOL;202010;0
VSCOL;202011;0
VSCOL;202012;0
VSCOL;202101;0
VSCOL;202102;0
VSCOL;202103;0
