 

stn;time;rsd700m0
DLZUG;201605;0
DLZUG;201606;0
DLZUG;201607;0
DLZUG;201608;0
DLZUG;201609;0
DLZUG;201610;0
DLZUG;201611;0
DLZUG;201612;0
DLZUG;201701;0
DLZUG;201702;0
DLZUG;201703;0
DLZUG;201704;0
DLZUG;201705;0
DLZUG;201706;0
DLZUG;201707;0
DLZUG;201708;0
DLZUG;201709;0
DLZUG;201710;0
DLZUG;201711;0
DLZUG;201712;0
DLZUG;201801;0
DLZUG;201802;0
DLZUG;201803;0
DLZUG;201804;0
DLZUG;201805;0
DLZUG;201806;0
DLZUG;201807;0
DLZUG;201808;0
DLZUG;201809;0
DLZUG;201810;0
DLZUG;201811;0
DLZUG;201812;0
DLZUG;201901;0
DLZUG;201902;0
DLZUG;201903;0
DLZUG;201904;0
DLZUG;201905;1
DLZUG;201906;0
DLZUG;201907;0
DLZUG;201908;0
DLZUG;201909;0
DLZUG;201910;0
DLZUG;201911;0
DLZUG;201912;0
DLZUG;202001;0
DLZUG;202002;0
DLZUG;202003;0
DLZUG;202004;0
DLZUG;202005;0
DLZUG;202006;0
DLZUG;202007;0
DLZUG;202008;0
DLZUG;202009;0
DLZUG;202010;0
DLZUG;202011;0
DLZUG;202012;0
DLZUG;202101;0
DLZUG;202102;0
DLZUG;202103;0
