 

stn;time;rs1000m0
GOE;201611;0
GOE;201612;0
GOE;201701;0
GOE;201702;0
GOE;201703;0
GOE;201704;0
GOE;201705;0
GOE;201706;0
GOE;201707;0
GOE;201708;0
GOE;201709;0
GOE;201710;0
GOE;201711;0
GOE;201712;0
GOE;201801;0
GOE;201802;0
GOE;201803;0
GOE;201804;0
GOE;201805;0
GOE;201806;0
GOE;201807;0
GOE;201808;0
GOE;201809;0
GOE;201810;0
GOE;201811;0
GOE;201812;0
GOE;201901;0
GOE;201902;0
GOE;201903;0
GOE;201904;0
GOE;201905;0
GOE;201906;0
GOE;201907;0
GOE;201908;0
GOE;201909;0
GOE;201910;0
GOE;201911;0
GOE;201912;0
GOE;202001;0
GOE;202002;0
GOE;202003;0
GOE;202004;0
GOE;202005;0
GOE;202006;0
GOE;202007;0
GOE;202008;0
GOE;202009;0
GOE;202010;0
GOE;202011;0
GOE;202012;0
GOE;202101;0
GOE;202102;0
GOE;202103;0
