 

stn;time;rs1000m0
ZHWIN;201705;0
ZHWIN;201706;0
ZHWIN;201707;0
ZHWIN;201708;0
ZHWIN;201709;0
ZHWIN;201710;0
ZHWIN;201711;0
ZHWIN;201712;0
ZHWIN;201801;0
ZHWIN;201802;0
ZHWIN;201803;0
ZHWIN;201804;0
ZHWIN;201805;0
ZHWIN;201806;0
ZHWIN;201807;0
ZHWIN;201808;0
ZHWIN;201809;0
ZHWIN;201810;0
ZHWIN;201811;0
ZHWIN;201812;0
ZHWIN;201901;0
ZHWIN;201902;0
ZHWIN;201903;0
ZHWIN;201904;0
ZHWIN;201905;0
ZHWIN;201906;0
ZHWIN;201907;0
ZHWIN;201908;0
ZHWIN;201909;0
ZHWIN;201910;0
ZHWIN;201911;0
ZHWIN;201912;0
ZHWIN;202001;0
