 

stn;time;rs1000m0
STB;195105;0
STB;195106;0
STB;195107;0
STB;195108;0
STB;195109;0
STB;195110;0
STB;195111;0
STB;195112;0
STB;195201;0
STB;195202;0
STB;195203;0
STB;195204;0
STB;195205;0
STB;195206;0
STB;195207;0
STB;195208;0
STB;195209;0
STB;195210;0
STB;195211;0
STB;195212;0
STB;195301;0
STB;195302;0
STB;195303;0
STB;195304;0
STB;195305;0
STB;195306;0
STB;195307;0
STB;195308;0
STB;195309;0
STB;195310;0
STB;195311;0
STB;195312;0
STB;195401;0
STB;195402;0
STB;195403;0
STB;195404;0
STB;195405;0
STB;195406;0
STB;195407;0
STB;195408;0
STB;195409;0
STB;195410;0
STB;195411;0
STB;195412;0
STB;195501;0
STB;195502;0
STB;195503;0
STB;195504;0
STB;195505;0
STB;195506;0
STB;195507;0
STB;195508;0
STB;195509;0
STB;195510;0
STB;195511;0
STB;195512;0
STB;195601;0
STB;195602;0
STB;195603;0
STB;195604;0
STB;195605;0
STB;195606;0
STB;195607;0
STB;195608;0
STB;195609;0
STB;195610;0
STB;195611;0
STB;195612;0
STB;195701;0
STB;195702;0
STB;195703;0
STB;195704;0
STB;195705;0
STB;195706;0
STB;195707;0
STB;195708;0
STB;195709;0
STB;195710;0
STB;195711;0
STB;195712;0
STB;195801;0
STB;195802;0
STB;195803;0
STB;195804;0
STB;195805;0
STB;195806;0
STB;195807;0
STB;195808;0
STB;195809;0
STB;195810;0
STB;195811;0
STB;195812;0
STB;195901;0
STB;195902;0
STB;195903;0
STB;195904;0
STB;195905;0
STB;195906;0
STB;195907;0
STB;195908;0
STB;195909;0
STB;195910;0
STB;195911;0
STB;195912;0
STB;196001;0
STB;196002;0
STB;196003;0
STB;196004;0
STB;196005;0
STB;196006;0
STB;196007;0
STB;196008;0
STB;196009;0
STB;196010;0
STB;196011;0
STB;196012;0
STB;196101;0
STB;196102;0
STB;196103;0
STB;196104;0
STB;196105;0
STB;196106;0
STB;196107;0
STB;196108;0
STB;196109;0
STB;196110;0
STB;196111;0
STB;196112;0
STB;196201;0
STB;196202;0
STB;196203;0
STB;196204;0
STB;196205;0
STB;196206;0
STB;196207;0
STB;196208;0
STB;196209;0
STB;196210;0
STB;196211;0
STB;196212;0
STB;196301;0
STB;196302;0
STB;196303;0
STB;196304;0
STB;196305;0
STB;196306;0
STB;196307;0
STB;196308;0
STB;196309;0
STB;196310;0
STB;196311;0
STB;196312;0
STB;196401;0
STB;196402;0
STB;196403;0
STB;196404;0
STB;196405;0
STB;196406;0
STB;196407;0
STB;196408;0
STB;196409;0
STB;196410;0
STB;196411;0
STB;196412;0
STB;196501;0
STB;196502;0
STB;196503;0
STB;196504;0
STB;196505;0
STB;196506;1
STB;196507;0
STB;196508;0
STB;196509;0
STB;196510;0
STB;196511;0
STB;196512;0
STB;196601;0
STB;196602;0
STB;196603;0
STB;196604;0
STB;196605;0
STB;196606;0
STB;196607;0
STB;196608;0
STB;196609;0
STB;196610;0
STB;196611;0
STB;196612;0
STB;196701;0
STB;196702;0
