 

stn;time;rs1000m0
BLS;197301;0
BLS;197302;0
BLS;197303;0
BLS;197304;0
BLS;197305;0
BLS;197306;0
BLS;197307;0
BLS;197308;0
BLS;197309;0
BLS;197310;0
BLS;197311;0
BLS;197312;0
BLS;197401;0
BLS;197402;0
BLS;197403;0
BLS;197404;0
BLS;197405;0
BLS;197406;0
BLS;197407;0
BLS;197408;0
BLS;197409;0
BLS;197410;0
BLS;197411;0
BLS;197412;0
BLS;197501;0
BLS;197502;0
BLS;197503;0
BLS;197504;0
BLS;197505;0
BLS;197506;0
BLS;197507;0
BLS;197508;0
BLS;197509;0
BLS;197510;0
BLS;197511;0
BLS;197512;0
BLS;197601;0
BLS;197602;0
BLS;197603;0
BLS;197604;0
BLS;197605;0
BLS;197606;0
BLS;197607;0
BLS;197608;0
BLS;197609;0
BLS;197610;0
BLS;197611;0
BLS;197612;0
BLS;197701;0
BLS;197702;0
BLS;197703;0
BLS;197704;0
BLS;197705;0
BLS;197706;0
BLS;197707;0
BLS;197708;0
BLS;197709;0
BLS;197710;0
BLS;197711;0
BLS;197712;0
BLS;197801;0
BLS;197802;0
BLS;197803;0
BLS;197804;0
BLS;197805;0
BLS;197806;0
BLS;197807;0
BLS;197808;1
BLS;197809;0
BLS;197810;0
BLS;197811;0
BLS;197812;0
BLS;197901;0
BLS;197902;0
BLS;197903;0
BLS;197904;0
BLS;197905;0
BLS;197906;0
BLS;197907;0
BLS;197908;0
BLS;197909;0
BLS;197910;0
BLS;197911;0
BLS;197912;0
BLS;198001;0
BLS;198002;0
BLS;198003;0
BLS;198004;0
BLS;198005;0
BLS;198006;0
BLS;198007;0
BLS;198008;0
BLS;198009;0
BLS;198010;0
BLS;198011;0
BLS;198012;0
BLS;198101;0
BLS;198102;0
BLS;198103;0
BLS;198104;0
BLS;198105;0
BLS;198106;0
BLS;198107;0
BLS;198108;0
BLS;198109;0
BLS;198110;0
BLS;198111;0
BLS;198112;0
BLS;198201;0
BLS;198202;0
BLS;198203;0
BLS;198204;0
BLS;198205;0
BLS;198206;0
BLS;198207;0
BLS;198208;0
BLS;198209;0
BLS;198210;0
BLS;198211;0
BLS;198212;0
BLS;198301;0
BLS;198302;0
BLS;198303;0
BLS;198304;0
BLS;198305;0
BLS;198306;0
BLS;198307;0
BLS;198308;0
BLS;198309;0
BLS;198310;0
BLS;198311;0
BLS;198312;0
BLS;198401;0
BLS;198402;0
BLS;198403;0
BLS;198404;0
BLS;198405;0
BLS;198406;0
BLS;198407;0
BLS;198408;0
BLS;198409;1
BLS;198410;0
BLS;198411;0
BLS;198412;0
BLS;198501;0
