 

stn;time;rs1000m0
IYSWA;198001;0
IYSWA;198002;0
IYSWA;198003;0
IYSWA;198004;0
IYSWA;198005;0
IYSWA;198006;0
IYSWA;198007;0
IYSWA;198008;0
IYSWA;198009;0
IYSWA;198010;1
IYSWA;198011;0
IYSWA;198012;0
IYSWA;198101;0
IYSWA;198102;0
IYSWA;198103;0
IYSWA;198104;0
IYSWA;198105;1
IYSWA;198106;0
IYSWA;198107;0
IYSWA;198108;0
IYSWA;198109;0
IYSWA;198110;0
IYSWA;198111;0
IYSWA;198112;0
IYSWA;198201;0
IYSWA;198202;0
IYSWA;198203;0
IYSWA;198204;0
IYSWA;198205;0
IYSWA;198206;0
IYSWA;198207;0
IYSWA;198208;0
IYSWA;198209;0
IYSWA;198210;0
IYSWA;198211;0
IYSWA;198212;0
IYSWA;198301;0
IYSWA;198302;0
IYSWA;198303;0
IYSWA;198304;0
IYSWA;198305;1
IYSWA;198306;0
IYSWA;198307;0
IYSWA;198308;0
IYSWA;198309;0
IYSWA;198310;0
IYSWA;198311;0
IYSWA;198312;0
IYSWA;198401;0
IYSWA;198402;0
IYSWA;198403;0
IYSWA;198404;0
IYSWA;198405;0
IYSWA;198406;0
IYSWA;198407;0
IYSWA;198408;0
IYSWA;198409;0
IYSWA;198410;0
IYSWA;198411;0
IYSWA;198412;0
IYSWA;198501;0
IYSWA;198502;0
IYSWA;198503;0
IYSWA;198504;0
IYSWA;198505;0
IYSWA;198506;0
IYSWA;198507;0
IYSWA;198508;0
IYSWA;198509;0
IYSWA;198510;0
IYSWA;198511;0
IYSWA;198512;0
IYSWA;198601;0
IYSWA;198602;1
IYSWA;198603;0
IYSWA;198604;0
IYSWA;198605;0
IYSWA;198606;0
IYSWA;198607;0
IYSWA;198608;0
IYSWA;198609;0
IYSWA;198610;0
IYSWA;198611;0
IYSWA;198612;0
IYSWA;198701;0
IYSWA;198702;0
IYSWA;198703;0
IYSWA;198704;0
IYSWA;198705;0
IYSWA;198706;0
IYSWA;198707;0
IYSWA;198708;1
IYSWA;198709;0
IYSWA;198710;0
IYSWA;198711;0
IYSWA;198712;0
IYSWA;198801;0
IYSWA;198802;0
IYSWA;198803;0
IYSWA;198804;0
IYSWA;198805;0
IYSWA;198806;0
IYSWA;198807;0
IYSWA;198808;0
IYSWA;198809;0
IYSWA;198810;0
IYSWA;198811;0
IYSWA;198812;0
IYSWA;198901;0
IYSWA;198902;0
IYSWA;198903;0
IYSWA;198904;0
IYSWA;198905;0
IYSWA;198906;0
IYSWA;198907;0
IYSWA;198908;0
IYSWA;198909;0
IYSWA;198910;0
IYSWA;198911;0
IYSWA;198912;0
IYSWA;199001;0
IYSWA;199002;0
IYSWA;199003;0
IYSWA;199004;0
IYSWA;199005;0
IYSWA;199006;0
IYSWA;199007;0
IYSWA;199008;0
IYSWA;199009;0
IYSWA;199010;0
IYSWA;199011;0
IYSWA;199012;0
IYSWA;199101;0
IYSWA;199102;0
IYSWA;199103;0
IYSWA;199104;0
IYSWA;199105;0
IYSWA;199106;0
IYSWA;199107;0
IYSWA;199108;0
IYSWA;199109;0
IYSWA;199110;0
IYSWA;199111;0
IYSWA;199112;0
IYSWA;199201;0
IYSWA;199202;0
IYSWA;199203;0
IYSWA;199204;0
IYSWA;199205;0
IYSWA;199206;0
IYSWA;199207;0
IYSWA;199208;0
IYSWA;199209;0
IYSWA;199210;0
IYSWA;199211;0
IYSWA;199212;0
IYSWA;199301;0
IYSWA;199302;0
IYSWA;199303;0
IYSWA;199304;0
IYSWA;199305;0
IYSWA;199306;0
IYSWA;199307;0
IYSWA;199308;0
IYSWA;199309;0
IYSWA;199310;0
IYSWA;199311;0
IYSWA;199312;0
IYSWA;199401;0
IYSWA;199402;0
IYSWA;199403;0
IYSWA;199404;0
IYSWA;199405;0
IYSWA;199406;0
IYSWA;199407;0
IYSWA;199408;0
IYSWA;199409;0
IYSWA;199410;0
IYSWA;199411;0
IYSWA;199412;0
IYSWA;199501;0
IYSWA;199502;0
IYSWA;199503;0
IYSWA;199504;0
IYSWA;199505;0
IYSWA;199506;0
IYSWA;199507;0
IYSWA;199508;0
IYSWA;199509;0
IYSWA;199510;0
IYSWA;199511;0
IYSWA;199512;0
IYSWA;199601;0
IYSWA;199602;0
IYSWA;199603;0
IYSWA;199604;0
IYSWA;199605;0
IYSWA;199606;0
IYSWA;199607;0
IYSWA;199608;0
IYSWA;199609;0
IYSWA;199610;0
IYSWA;199611;0
IYSWA;199612;0
IYSWA;199701;0
IYSWA;199702;0
IYSWA;199703;0
IYSWA;199704;0
IYSWA;199705;0
IYSWA;199706;0
IYSWA;199707;0
IYSWA;199708;0
IYSWA;199709;0
IYSWA;199710;0
IYSWA;199711;1
IYSWA;199712;0
IYSWA;199801;0
IYSWA;199802;0
IYSWA;199803;0
IYSWA;199804;0
IYSWA;199805;0
IYSWA;199806;0
IYSWA;199807;0
IYSWA;199808;0
IYSWA;199809;0
IYSWA;199810;0
IYSWA;199811;0
IYSWA;199812;0
IYSWA;199901;0
IYSWA;199902;0
IYSWA;199903;0
IYSWA;199904;0
IYSWA;199905;0
IYSWA;199906;0
IYSWA;199907;0
IYSWA;199908;0
IYSWA;199909;1
IYSWA;199910;0
IYSWA;199911;0
IYSWA;199912;0
IYSWA;200001;0
IYSWA;200002;0
IYSWA;200003;0
IYSWA;200004;0
IYSWA;200005;0
IYSWA;200006;0
IYSWA;200007;0
IYSWA;200008;0
IYSWA;200009;0
IYSWA;200010;0
IYSWA;200011;0
IYSWA;200012;0
IYSWA;200101;0
IYSWA;200102;0
IYSWA;200103;0
IYSWA;200104;0
IYSWA;200105;0
IYSWA;200106;0
IYSWA;200107;0
IYSWA;200108;0
IYSWA;200109;0
IYSWA;200110;0
IYSWA;200111;0
IYSWA;200112;0
IYSWA;200201;0
IYSWA;200202;0
IYSWA;200203;0
IYSWA;200204;0
IYSWA;200205;1
IYSWA;200206;0
IYSWA;200207;0
IYSWA;200208;0
IYSWA;200209;0
IYSWA;200210;0
IYSWA;200211;1
IYSWA;200212;0
IYSWA;200301;0
IYSWA;200302;0
IYSWA;200303;0
IYSWA;200304;0
IYSWA;200305;0
IYSWA;200306;0
IYSWA;200307;0
IYSWA;200308;0
IYSWA;200309;0
IYSWA;200310;0
IYSWA;200311;0
IYSWA;200312;0
IYSWA;200401;0
IYSWA;200402;0
IYSWA;200403;0
IYSWA;200404;0
IYSWA;200405;0
IYSWA;200406;0
IYSWA;200407;0
IYSWA;200408;0
IYSWA;200409;0
IYSWA;200410;0
IYSWA;200411;0
IYSWA;200412;0
IYSWA;200501;0
IYSWA;200502;0
IYSWA;200503;0
IYSWA;200504;0
IYSWA;200505;0
IYSWA;200506;0
IYSWA;200507;0
IYSWA;200508;0
IYSWA;200509;0
IYSWA;200510;0
IYSWA;200511;0
IYSWA;200512;0
IYSWA;200601;0
IYSWA;200602;0
IYSWA;200603;0
IYSWA;200604;0
IYSWA;200605;0
IYSWA;200606;0
IYSWA;200607;0
IYSWA;200608;0
IYSWA;200609;0
IYSWA;200610;0
IYSWA;200611;0
IYSWA;200612;0
IYSWA;200701;0
IYSWA;200702;0
IYSWA;200703;0
IYSWA;200704;0
IYSWA;200705;0
IYSWA;200706;0
IYSWA;200707;0
IYSWA;200708;0
IYSWA;200709;0
IYSWA;200710;0
IYSWA;200711;0
IYSWA;200712;0
IYSWA;200801;0
IYSWA;200802;0
IYSWA;200803;0
IYSWA;200804;0
IYSWA;200805;0
IYSWA;200806;0
IYSWA;200807;0
IYSWA;200808;0
IYSWA;200809;0
IYSWA;200810;0
IYSWA;200811;0
IYSWA;200812;0
IYSWA;200901;0
IYSWA;200902;0
IYSWA;200903;0
IYSWA;200904;0
IYSWA;200905;0
IYSWA;200906;0
IYSWA;200907;0
IYSWA;200908;0
IYSWA;200909;0
IYSWA;200910;0
IYSWA;200911;0
IYSWA;200912;0
IYSWA;201001;0
IYSWA;201002;0
IYSWA;201003;0
IYSWA;201004;0
IYSWA;201005;0
IYSWA;201006;0
IYSWA;201007;0
IYSWA;201008;0
IYSWA;201009;0
IYSWA;201010;0
IYSWA;201011;0
IYSWA;201012;0
IYSWA;201101;0
IYSWA;201102;0
IYSWA;201103;0
IYSWA;201104;0
IYSWA;201105;0
IYSWA;201106;0
IYSWA;201107;0
IYSWA;201108;0
IYSWA;201109;1
IYSWA;201110;0
IYSWA;201111;0
IYSWA;201112;0
IYSWA;201201;0
IYSWA;201202;0
IYSWA;201203;0
IYSWA;201204;0
IYSWA;201205;0
IYSWA;201206;0
IYSWA;201207;0
IYSWA;201208;0
IYSWA;201209;0
IYSWA;201210;0
IYSWA;201211;0
IYSWA;201212;0
IYSWA;201301;0
IYSWA;201302;0
IYSWA;201303;0
IYSWA;201304;0
IYSWA;201305;0
IYSWA;201306;0
IYSWA;201307;0
IYSWA;201308;0
IYSWA;201309;0
IYSWA;201310;0
IYSWA;201311;0
IYSWA;201312;0
IYSWA;201401;0
IYSWA;201402;0
IYSWA;201403;0
IYSWA;201404;0
IYSWA;201405;0
IYSWA;201406;0
IYSWA;201407;0
IYSWA;201408;0
IYSWA;201409;0
IYSWA;201410;0
IYSWA;201411;0
IYSWA;201412;0
IYSWA;201501;0
IYSWA;201502;0
IYSWA;201503;0
IYSWA;201504;0
IYSWA;201505;0
IYSWA;201506;0
IYSWA;201507;0
IYSWA;201508;0
IYSWA;201509;0
IYSWA;201510;0
IYSWA;201511;0
IYSWA;201512;0
IYSWA;201601;0
IYSWA;201602;0
IYSWA;201603;0
IYSWA;201604;0
IYSWA;201605;0
IYSWA;201606;0
IYSWA;201607;0
IYSWA;201608;0
IYSWA;201609;0
IYSWA;201610;0
IYSWA;201611;0
IYSWA;201612;0
IYSWA;201701;0
IYSWA;201702;0
IYSWA;201703;0
IYSWA;201704;0
IYSWA;201705;0
IYSWA;201706;0
IYSWA;201707;0
IYSWA;201708;0
IYSWA;201709;0
IYSWA;201710;0
IYSWA;201711;0
IYSWA;201712;0
IYSWA;201801;0
IYSWA;201802;0
IYSWA;201803;0
IYSWA;201804;0
IYSWA;201805;0
IYSWA;201806;0
IYSWA;201807;0
IYSWA;201808;0
IYSWA;201809;0
IYSWA;201810;1
IYSWA;201811;0
IYSWA;201812;0
IYSWA;201901;0
IYSWA;201902;0
IYSWA;201903;0
