 

stn;time;rs1000m0
MMZNZ;201603;0
MMZNZ;201604;0
MMZNZ;201605;0
MMZNZ;201606;0
MMZNZ;201607;0
MMZNZ;201608;0
MMZNZ;201609;0
MMZNZ;201610;0
MMZNZ;201611;0
MMZNZ;201612;0
MMZNZ;201701;0
MMZNZ;201702;-
MMZNZ;201703;0
MMZNZ;201704;0
MMZNZ;201705;0
MMZNZ;201706;0
MMZNZ;201707;0
MMZNZ;201708;0
MMZNZ;201709;0
MMZNZ;201710;0
MMZNZ;201711;0
MMZNZ;201712;0
MMZNZ;201801;0
MMZNZ;201802;0
MMZNZ;201803;0
MMZNZ;201804;0
MMZNZ;201805;0
MMZNZ;201806;0
MMZNZ;201807;0
MMZNZ;201808;0
MMZNZ;201809;0
MMZNZ;201810;0
MMZNZ;201811;0
MMZNZ;201812;0
MMZNZ;201901;0
MMZNZ;201902;0
MMZNZ;201903;0
MMZNZ;201904;0
MMZNZ;201905;0
MMZNZ;201906;0
MMZNZ;201907;0
MMZNZ;201908;0
MMZNZ;201909;0
MMZNZ;201910;0
MMZNZ;201911;0
MMZNZ;201912;0
MMZNZ;202001;0
MMZNZ;202002;0
MMZNZ;202003;0
MMZNZ;202004;0
MMZNZ;202005;0
MMZNZ;202006;0
MMZNZ;202007;0
MMZNZ;202008;0
MMZNZ;202009;0
MMZNZ;202010;0
MMZNZ;202011;0
MMZNZ;202012;0
