 

stn;time;rzz150mx
LEI;198812;2.3
LEI;198901;0.5
LEI;198902;1.6
LEI;198903;1.7
LEI;198904;1.5
LEI;198905;5.0
LEI;198906;2.2
LEI;198907;5.1
LEI;198908;3.3
LEI;198909;6.1
LEI;198910;1.6
LEI;198911;0.7
LEI;198912;1.4
LEI;199001;1.2
LEI;199002;2.6
LEI;199003;1.3
LEI;199004;0.9
LEI;199005;3.2
LEI;199006;3.9
LEI;199007;5.3
LEI;199008;7.7
LEI;199009;2.4
LEI;199010;1.9
LEI;199011;1.4
LEI;199012;1.0
LEI;199101;1.2
LEI;199102;0.9
LEI;199103;1.0
LEI;199104;0.8
LEI;199105;1.6
LEI;199106;5.9
LEI;199107;4.5
LEI;199108;5.3
LEI;199109;7.0
LEI;199110;1.8
LEI;199111;2.0
LEI;199112;2.4
LEI;199201;0.5
LEI;199202;0.9
LEI;199203;1.3
LEI;199204;1.2
LEI;199205;1.1
LEI;199206;5.8
LEI;199207;9.0
LEI;199208;3.6
LEI;199209;2.4
LEI;199210;1.5
LEI;199211;2.2
LEI;199212;0.9
LEI;199301;1.1
LEI;199302;0.7
LEI;199303;1.4
LEI;199304;1.0
LEI;199305;2.1
LEI;199306;3.6
LEI;199307;8.9
LEI;199308;18.9
LEI;199309;1.7
LEI;199310;1.1
LEI;199311;0.7
LEI;199312;1.9
LEI;199401;1.9
LEI;199402;1.3
LEI;199403;1.0
LEI;199404;1.9
LEI;199405;2.7
LEI;199406;12.5
LEI;199407;11.5
LEI;199408;1.6
LEI;199409;7.2
LEI;199410;2.9
LEI;199411;2.5
LEI;199412;1.3
LEI;199501;2.6
LEI;199502;1.5
LEI;199503;1.8
LEI;199504;0.9
LEI;199505;1.6
LEI;199506;4.4
LEI;199507;17.0
LEI;199508;3.8
LEI;199509;1.5
LEI;199510;4.5
LEI;199511;1.6
LEI;199512;1.3
LEI;199601;0.6
LEI;199602;0.8
LEI;199603;0.9
LEI;199604;2.2
LEI;199605;1.1
LEI;199606;3.2
LEI;199607;3.4
LEI;199608;5.0
LEI;199609;2.2
LEI;199610;3.1
LEI;199611;1.6
LEI;199612;0.7
LEI;199701;0.4
LEI;199702;2.2
LEI;199703;1.7
LEI;199704;1.9
LEI;199705;2.3
LEI;199706;4.2
LEI;199707;15.6
LEI;199708;9.3
LEI;199709;1.5
LEI;199710;3.7
LEI;199711;1.2
LEI;199712;1.8
LEI;199801;1.7
LEI;199802;0.5
LEI;199803;1.3
LEI;199804;1.2
LEI;199805;3.0
LEI;199806;5.1
LEI;199807;3.4
LEI;199808;3.4
LEI;199809;5.8
LEI;199810;2.0
LEI;199811;2.1
LEI;199812;0.8
LEI;199901;1.0
LEI;199902;1.9
LEI;199903;0.8
LEI;199904;1.9
LEI;199905;2.5
LEI;199906;4.0
LEI;199907;12.8
LEI;199908;5.7
LEI;199909;2.2
LEI;199910;1.1
LEI;199911;1.8
LEI;199912;1.3
LEI;200001;0.9
LEI;200002;1.4
LEI;200003;1.5
LEI;200004;3.1
LEI;200005;16.0
LEI;200006;3.1
LEI;200007;3.4
LEI;200008;3.5
LEI;200009;1.9
LEI;200010;1.0
LEI;200011;2.2
LEI;200012;0.5
LEI;200101;2.1
LEI;200102;1.3
LEI;200103;3.1
LEI;200104;1.5
LEI;200105;2.2
LEI;200106;2.5
LEI;200107;5.8
LEI;200108;11.8
LEI;200109;2.9
LEI;200110;2.1
LEI;200111;1.1
LEI;200112;1.3
LEI;200201;1.2
LEI;200202;1.8
LEI;200203;1.9
LEI;200204;2.5
LEI;200205;2.3
LEI;200206;6.2
LEI;200207;3.5
LEI;200208;8.4
LEI;200209;2.7
LEI;200210;5.7
LEI;200211;2.4
LEI;200212;0.9
LEI;200301;1.8
LEI;200302;1.0
LEI;200303;1.4
LEI;200304;1.4
LEI;200305;5.1
LEI;200306;1.6
LEI;200307;6.3
