 

stn;time;rzz150mx
AGFAW;201304;5.7
AGFAW;201305;5.0
AGFAW;201306;2.0
AGFAW;201307;6.5
AGFAW;201308;3.4
AGFAW;201309;8.4
AGFAW;201310;1.9
AGFAW;201311;2.4
AGFAW;201312;1.1
AGFAW;201401;1.3
AGFAW;201402;4.2
AGFAW;201403;2.2
AGFAW;201404;6.3
AGFAW;201405;5.7
AGFAW;201406;10.4
AGFAW;201407;3.9
AGFAW;201408;7.1
AGFAW;201409;2.2
AGFAW;201410;2.5
AGFAW;201411;0.9
AGFAW;201412;0.0
AGFAW;201501;0.5
AGFAW;201502;0.4
AGFAW;201503;1.8
AGFAW;201504;2.0
AGFAW;201505;3.8
AGFAW;201506;9.2
AGFAW;201507;3.8
AGFAW;201508;2.3
AGFAW;201509;2.8
AGFAW;201510;4.0
AGFAW;201511;4.0
AGFAW;201512;0.5
AGFAW;201601;2.1
AGFAW;201602;2.6
AGFAW;201603;1.7
AGFAW;201604;2.2
AGFAW;201605;3.6
AGFAW;201606;4.4
AGFAW;201607;7.7
AGFAW;201608;5.9
AGFAW;201609;0.6
AGFAW;201610;1.0
AGFAW;201611;1.3
AGFAW;201612;0.2
AGFAW;201701;0.6
AGFAW;201702;1.4
AGFAW;201703;1.8
AGFAW;201704;0.9
AGFAW;201705;3.0
AGFAW;201706;6.4
AGFAW;201707;8.4
AGFAW;201708;4.4
AGFAW;201709;3.2
AGFAW;201710;4.0
AGFAW;201711;3.9
AGFAW;201712;1.8
AGFAW;201801;1.6
AGFAW;201802;0.5
AGFAW;201803;2.0
AGFAW;201804;4.6
AGFAW;201805;6.6
AGFAW;201806;10.3
AGFAW;201807;5.7
AGFAW;201808;3.5
AGFAW;201809;2.3
AGFAW;201810;2.1
AGFAW;201811;0.4
AGFAW;201812;3.8
AGFAW;201901;3.0
AGFAW;201902;2.4
AGFAW;201903;1.2
AGFAW;201904;1.7
AGFAW;201905;3.4
AGFAW;201906;2.9
AGFAW;201907;10.0
AGFAW;201908;8.1
AGFAW;201909;2.5
AGFAW;201910;2.7
AGFAW;201911;1.4
AGFAW;201912;1.4
AGFAW;202001;1.5
AGFAW;202002;3.0
AGFAW;202003;0.7
AGFAW;202004;0.9
AGFAW;202005;2.8
AGFAW;202006;4.0
AGFAW;202007;5.1
AGFAW;202008;16.0
AGFAW;202009;0.9
AGFAW;202010;1.6
AGFAW;202011;0.8
AGFAW;202012;1.0
AGFAW;202101;1.5
AGFAW;202102;1.3
AGFAW;202103;1.9
