 

stn;time;rzz150mx
NABBER;200909;6.1
NABBER;200910;2.0
NABBER;200911;1.5
NABBER;200912;2.5
NABBER;201001;0.5
NABBER;201002;0.8
NABBER;201003;0.8
NABBER;201004;0.7
NABBER;201005;6.3
NABBER;201006;2.4
NABBER;201007;3.6
NABBER;201008;5.0
NABBER;201009;2.5
NABBER;201010;1.2
NABBER;201011;0.9
NABBER;201012;2.4
NABBER;201101;0.8
NABBER;201102;0.6
NABBER;201103;0.5
NABBER;201104;0.7
NABBER;201105;4.4
NABBER;201106;2.8
NABBER;201107;10.0
NABBER;201108;4.2
NABBER;201109;6.6
NABBER;201110;3.0
NABBER;201111;0.1
NABBER;201112;2.4
NABBER;201201;1.7
NABBER;201202;0.5
NABBER;201203;0.5
NABBER;201204;2.0
NABBER;201205;5.2
NABBER;201206;2.5
NABBER;201207;10.0
NABBER;201208;5.5
NABBER;201209;20.0
NABBER;201210;3.4
NABBER;201211;1.1
NABBER;201212;1.4
NABBER;201301;0.8
NABBER;201302;2.4
NABBER;201303;0.7
NABBER;201304;1.6
NABBER;201305;3.0
NABBER;201306;2.6
NABBER;201307;9.5
NABBER;201308;4.3
NABBER;201309;5.7
NABBER;201310;2.9
NABBER;201311;2.1
NABBER;201312;0.8
NABBER;201401;0.8
NABBER;201402;1.7
NABBER;201403;0.8
NABBER;201404;1.5
NABBER;201405;1.7
NABBER;201406;9.1
NABBER;201407;8.3
NABBER;201408;3.6
NABBER;201409;1.7
NABBER;201410;2.1
NABBER;201411;0.9
NABBER;201412;0.6
NABBER;201501;1.0
NABBER;201502;0.8
NABBER;201503;-
NABBER;201504;1.6
NABBER;201505;4.6
NABBER;201506;5.5
NABBER;201507;6.3
NABBER;201508;8.9
NABBER;201509;2.3
NABBER;201510;1.4
NABBER;201511;2.6
NABBER;201512;0.6
NABBER;201601;0.8
NABBER;201602;1.1
NABBER;201603;0.7
NABBER;201604;2.0
NABBER;201605;8.2
NABBER;201606;7.7
NABBER;201607;6.4
NABBER;201608;12.4
NABBER;201609;1.8
NABBER;201610;20.1
NABBER;201611;1.3
NABBER;201612;0.1
NABBER;201701;1.2
NABBER;201702;2.0
NABBER;201703;0.9
NABBER;201704;1.4
NABBER;201705;1.9
NABBER;201706;7.6
