 

stn;time;rzz150mx
VDVAU;201309;9.8
VDVAU;201310;2.3
VDVAU;201311;1.6
VDVAU;201312;1.5
VDVAU;201401;2.8
VDVAU;201402;1.6
VDVAU;201403;0.8
VDVAU;201404;2.3
VDVAU;201405;1.9
VDVAU;201406;3.2
VDVAU;201407;6.6
VDVAU;201408;11.9
VDVAU;201409;5.8
VDVAU;201410;3.3
VDVAU;201411;0.9
VDVAU;201412;0.5
VDVAU;201501;1.1
VDVAU;201502;1.3
VDVAU;201503;0.9
VDVAU;201504;1.9
VDVAU;201505;2.0
VDVAU;201506;4.9
VDVAU;201507;6.6
VDVAU;201508;3.4
VDVAU;201509;2.7
VDVAU;201510;1.6
VDVAU;201511;4.2
VDVAU;201512;0.3
VDVAU;201601;1.1
VDVAU;201602;1.8
VDVAU;201603;1.4
VDVAU;201604;2.3
VDVAU;201605;1.9
VDVAU;201606;6.4
VDVAU;201607;8.1
VDVAU;201608;8.8
VDVAU;201609;3.0
VDVAU;201610;3.2
VDVAU;201611;1.7
VDVAU;201612;0.1
VDVAU;201701;1.1
VDVAU;201702;0.8
VDVAU;201703;0.5
VDVAU;201704;1.0
VDVAU;201705;9.7
VDVAU;201706;3.0
VDVAU;201707;9.9
VDVAU;201708;7.3
VDVAU;201709;2.0
VDVAU;201710;2.4
VDVAU;201711;2.0
VDVAU;201712;1.5
VDVAU;201801;1.9
VDVAU;201802;0.7
VDVAU;201803;1.0
VDVAU;201804;1.7
VDVAU;201805;5.0
VDVAU;201806;4.6
VDVAU;201807;8.7
VDVAU;201808;7.0
VDVAU;201809;4.0
VDVAU;201810;0.6
VDVAU;201811;1.1
VDVAU;201812;3.4
VDVAU;201901;0.0
VDVAU;201902;-
VDVAU;201903;1.2
VDVAU;201904;1.2
VDVAU;201905;1.8
VDVAU;201906;10.0
VDVAU;201907;6.8
VDVAU;201908;6.8
VDVAU;201909;2.4
VDVAU;201910;3.0
VDVAU;201911;1.6
VDVAU;201912;5.0
VDVAU;202001;1.0
VDVAU;202002;2.4
VDVAU;202003;1.2
VDVAU;202004;3.0
VDVAU;202005;3.8
VDVAU;202006;3.0
VDVAU;202007;5.0
VDVAU;202008;8.8
VDVAU;202009;6.6
VDVAU;202010;1.4
VDVAU;202011;2.0
VDVAU;202012;0.8
VDVAU;202101;2.0
VDVAU;202102;1.8
VDVAU;202103;1.6
