 

stn;time;rzz150mx
KAWEG;201810;2.3
KAWEG;201811;0.3
KAWEG;201812;3.4
KAWEG;201901;1.4
KAWEG;201902;1.2
KAWEG;201903;1.4
KAWEG;201904;1.2
KAWEG;201905;1.5
KAWEG;201906;7.6
KAWEG;201907;9.2
KAWEG;201908;4.6
KAWEG;201909;3.3
KAWEG;201910;1.5
KAWEG;201911;8.5
KAWEG;201912;1.1
KAWEG;202001;0.7
KAWEG;202002;1.6
KAWEG;202003;0.9
KAWEG;202004;1.8
KAWEG;202005;1.0
KAWEG;202006;2.6
KAWEG;202007;10.8
KAWEG;202008;3.9
KAWEG;202009;2.4
KAWEG;202010;1.8
KAWEG;202011;1.1
KAWEG;202012;1.1
KAWEG;202101;2.8
KAWEG;202102;0.6
KAWEG;202103;1.1
