 

stn;time;rzz150mx
TST;201506;5.7
TST;201507;16.6
TST;201508;11.4
TST;201509;2.3
TST;201510;2.3
TST;201511;0.9
TST;201512;0.3
TST;201601;0.9
TST;201602;0.5
TST;201603;1.2
TST;201604;1.6
TST;201605;1.4
TST;201606;6.2
TST;201607;8.1
TST;201608;23.8
TST;201609;2.4
TST;201610;1.0
TST;201611;0.8
TST;201612;0.3
TST;201701;0.8
TST;201702;1.3
TST;201703;0.8
TST;201704;0.6
TST;201705;13.9
TST;201706;3.7
TST;201707;8.1
TST;201708;17.9
TST;201709;2.1
TST;201710;0.9
TST;201711;1.1
TST;201712;1.5
TST;201801;3.2
TST;201802;0.6
TST;201803;1.3
TST;201804;1.2
TST;201805;1.6
TST;201806;4.8
TST;201807;1.4
TST;201808;2.4
TST;201809;2.9
TST;201810;2.2
TST;201811;0.9
