 

stn;time;rzz150mx
BEGTH;199801;2.6
BEGTH;199802;3.6
BEGTH;199803;3.5
BEGTH;199804;1.9
BEGTH;199805;6.0
BEGTH;199806;4.9
BEGTH;199807;8.1
BEGTH;199808;17.9
BEGTH;199809;2.8
BEGTH;199810;2.6
BEGTH;199811;4.2
BEGTH;199812;5.8
BEGTH;199901;10.7
BEGTH;199902;3.5
BEGTH;199903;6.4
BEGTH;199904;12.6
BEGTH;199905;8.4
BEGTH;199906;16.3
BEGTH;199907;12.0
BEGTH;199908;7.6
BEGTH;199909;3.7
BEGTH;199910;2.3
BEGTH;199911;3.4
BEGTH;199912;2.8
BEGTH;200001;0.7
BEGTH;200002;4.7
BEGTH;200003;1.9
BEGTH;200004;0.8
BEGTH;200005;7.0
BEGTH;200006;5.5
BEGTH;200007;4.7
BEGTH;200008;6.1
BEGTH;200009;4.3
BEGTH;200010;1.2
BEGTH;200011;1.4
BEGTH;200012;10.8
BEGTH;200101;3.4
BEGTH;200102;2.1
BEGTH;200103;8.1
BEGTH;200104;14.2
BEGTH;200105;5.5
BEGTH;200106;5.6
BEGTH;200107;3.3
BEGTH;200108;5.9
BEGTH;200109;2.8
BEGTH;200110;2.9
BEGTH;200111;2.1
BEGTH;200112;5.9
BEGTH;200201;1.6
BEGTH;200202;1.4
BEGTH;200203;3.0
BEGTH;200204;1.5
BEGTH;200205;3.5
BEGTH;200206;6.2
BEGTH;200207;6.0
BEGTH;200208;8.5
BEGTH;200209;14.7
BEGTH;200210;1.8
BEGTH;200211;2.2
BEGTH;200212;2.0
BEGTH;200301;4.3
BEGTH;200302;2.4
BEGTH;200303;1.2
BEGTH;200304;2.7
BEGTH;200305;9.2
BEGTH;200306;12.7
BEGTH;200307;8.2
BEGTH;200308;5.3
BEGTH;200309;1.8
BEGTH;200310;2.9
BEGTH;200311;2.6
BEGTH;200312;1.4
BEGTH;200401;4.5
BEGTH;200402;4.8
BEGTH;200403;2.2
BEGTH;200404;7.0
BEGTH;200405;3.2
BEGTH;200406;4.8
BEGTH;200407;6.6
BEGTH;200408;9.4
BEGTH;200409;3.8
BEGTH;200410;2.9
BEGTH;200411;1.0
BEGTH;200412;0.9
BEGTH;200501;3.3
BEGTH;200502;3.1
BEGTH;200503;2.1
BEGTH;200504;1.2
BEGTH;200505;2.1
BEGTH;200506;5.4
BEGTH;200507;10.7
BEGTH;200508;4.9
BEGTH;200509;6.8
BEGTH;200510;1.4
BEGTH;200511;1.8
BEGTH;200512;2.7
BEGTH;200601;0.9
BEGTH;200602;1.7
BEGTH;200603;2.0
BEGTH;200604;6.8
BEGTH;200605;5.9
BEGTH;200606;5.9
BEGTH;200607;10.7
BEGTH;200608;5.3
BEGTH;200609;9.0
BEGTH;200610;5.7
BEGTH;200611;1.3
BEGTH;200612;1.3
BEGTH;200701;1.8
BEGTH;200702;1.2
BEGTH;200703;2.6
BEGTH;200704;2.4
BEGTH;200705;4.8
BEGTH;200706;6.0
BEGTH;200707;6.2
BEGTH;200708;5.0
BEGTH;200709;2.4
BEGTH;200710;2.0
BEGTH;200711;1.2
BEGTH;200712;3.4
BEGTH;200801;1.1
BEGTH;200802;1.1
BEGTH;200803;1.3
BEGTH;200804;1.7
BEGTH;200805;2.3
BEGTH;200806;5.6
BEGTH;200807;12.7
BEGTH;200808;4.6
BEGTH;200809;4.3
BEGTH;200810;4.8
BEGTH;200811;1.3
BEGTH;200812;1.1
BEGTH;200901;1.0
BEGTH;200902;1.6
BEGTH;200903;6.4
BEGTH;200904;0.8
BEGTH;200905;3.7
BEGTH;200906;8.9
BEGTH;200907;9.5
BEGTH;200908;8.5
BEGTH;200909;5.9
BEGTH;200910;2.3
BEGTH;200911;5.8
BEGTH;200912;2.3
BEGTH;201001;0.6
BEGTH;201002;1.6
BEGTH;201003;1.1
BEGTH;201004;1.1
BEGTH;201005;1.8
BEGTH;201006;7.5
BEGTH;201007;11.1
BEGTH;201008;4.3
BEGTH;201009;1.7
BEGTH;201010;1.1
BEGTH;201011;0.8
BEGTH;201012;1.5
BEGTH;201101;1.2
BEGTH;201102;1.0
BEGTH;201103;2.7
BEGTH;201104;2.2
BEGTH;201105;3.0
BEGTH;201106;6.5
BEGTH;201107;5.1
BEGTH;201108;8.2
BEGTH;201109;4.5
BEGTH;201110;3.0
BEGTH;201111;0.1
BEGTH;201112;4.8
BEGTH;201201;6.7
BEGTH;201202;0.5
BEGTH;201203;0.9
BEGTH;201204;5.5
BEGTH;201205;2.3
BEGTH;201206;9.7
BEGTH;201207;13.3
BEGTH;201208;3.8
BEGTH;201209;3.6
BEGTH;201210;4.5
BEGTH;201211;12.5
BEGTH;201212;2.3
BEGTH;201301;3.0
BEGTH;201302;1.8
