Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94069

Filename                                Filetype  Station                              Parameter                                                   Period
order_94069_ABO_rzz150mx_1_data.txt     Data      Adelboden                            Precipitation; maximum ten minute total of the month        198311-200908
order_94069_ABO_rzz150mx_1_legend.txt   Legend    Adelboden                            Precipitation; maximum ten minute total of the month        198311-200908
order_94069_ABO_rzz150mx_2_data.txt     Data      Adelboden                            Precipitation; maximum ten minute total of the month        200909-202103
order_94069_ABO_rzz150mx_2_legend.txt   Legend    Adelboden                            Precipitation; maximum ten minute total of the month        200909-202103
order_94069_ANT_rzz150mx_1_data.txt     Data      Andermatt                            Precipitation; maximum ten minute total of the month        201311-201711
order_94069_ANT_rzz150mx_1_legend.txt   Legend    Andermatt                            Precipitation; maximum ten minute total of the month        201311-201711
order_94069_ANT_rzz150mx_2_data.txt     Data      Andermatt                            Precipitation; maximum ten minute total of the month        201712-202103
order_94069_ANT_rzz150mx_2_legend.txt   Legend    Andermatt                            Precipitation; maximum ten minute total of the month        201712-202103
order_94069_URANT_rzz150mx_1_data.txt   Data      Andermatt / ARA                      Precipitation; maximum ten minute total of the month        201712-201803
order_94069_URANT_rzz150mx_1_legend.txt Legend    Andermatt / ARA                      Precipitation; maximum ten minute total of the month        201712-201803
order_94069_URANT_rzz150mx_2_data.txt   Data      Andermatt / ARA                      Precipitation; maximum ten minute total of the month        201804-201912
order_94069_URANT_rzz150mx_2_legend.txt Legend    Andermatt / ARA                      Precipitation; maximum ten minute total of the month        201804-201912
order_94069_URANT_rzz150mx_3_data.txt   Data      Andermatt / ARA                      Precipitation; maximum ten minute total of the month        202007-202103
order_94069_URANT_rzz150mx_3_legend.txt Legend    Andermatt / ARA                      Precipitation; maximum ten minute total of the month        202007-202103
order_94069_IYANT_rzz150mx_1_data.txt   Data      Antholz Obertal                      Precipitation; maximum ten minute total of the month        200210-200611
order_94069_IYANT_rzz150mx_1_legend.txt Legend    Antholz Obertal                      Precipitation; maximum ten minute total of the month        200210-200611
order_94069_IYANT_rzz150mx_2_data.txt   Data      Antholz Obertal                      Precipitation; maximum ten minute total of the month        200701-201007
order_94069_IYANT_rzz150mx_2_legend.txt Legend    Antholz Obertal                      Precipitation; maximum ten minute total of the month        200701-201007
order_94069_IYANT_rzz150mx_3_data.txt   Data      Antholz Obertal                      Precipitation; maximum ten minute total of the month        201011-201902
order_94069_IYANT_rzz150mx_3_legend.txt Legend    Antholz Obertal                      Precipitation; maximum ten minute total of the month        201011-201902
order_94069_IYANT_rzz150mx_4_data.txt   Data      Antholz Obertal                      Precipitation; maximum ten minute total of the month        201905-201907
order_94069_IYANT_rzz150mx_4_legend.txt Legend    Antholz Obertal                      Precipitation; maximum ten minute total of the month        201905-201907
order_94069_IYANT_rzz150mx_5_data.txt   Data      Antholz Obertal                      Precipitation; maximum ten minute total of the month        201909-201912
order_94069_IYANT_rzz150mx_5_legend.txt Legend    Antholz Obertal                      Precipitation; maximum ten minute total of the month        201909-201912
order_94069_IYANT_rzz150mx_6_data.txt   Data      Antholz Obertal                      Precipitation; maximum ten minute total of the month        202001-202002
order_94069_IYANT_rzz150mx_6_legend.txt Legend    Antholz Obertal                      Precipitation; maximum ten minute total of the month        202001-202002
order_94069_IYANT_rzz150mx_7_data.txt   Data      Antholz Obertal                      Precipitation; maximum ten minute total of the month        202005-202006
order_94069_IYANT_rzz150mx_7_legend.txt Legend    Antholz Obertal                      Precipitation; maximum ten minute total of the month        202005-202006
order_94069_IYANT_rzz150mx_8_data.txt   Data      Antholz Obertal                      Precipitation; maximum ten minute total of the month        202009-202012
order_94069_IYANT_rzz150mx_8_legend.txt Legend    Antholz Obertal                      Precipitation; maximum ten minute total of the month        202009-202012
order_94069_TIBED_rzz150mx_1_data.txt   Data      Bedretto                             Precipitation; maximum ten minute total of the month        199912-201111
order_94069_TIBED_rzz150mx_1_legend.txt Legend    Bedretto                             Precipitation; maximum ten minute total of the month        199912-201111
order_94069_TIBED_rzz150mx_2_data.txt   Data      Bedretto                             Precipitation; maximum ten minute total of the month        201112-201612
order_94069_TIBED_rzz150mx_2_legend.txt Legend    Bedretto                             Precipitation; maximum ten minute total of the month        201112-201612
order_94069_TIBED_rzz150mx_3_data.txt   Data      Bedretto                             Precipitation; maximum ten minute total of the month        201701-201709
order_94069_TIBED_rzz150mx_3_legend.txt Legend    Bedretto                             Precipitation; maximum ten minute total of the month        201701-201709
order_94069_TIBED_rzz150mx_4_data.txt   Data      Bedretto                             Precipitation; maximum ten minute total of the month        201710-201912
order_94069_TIBED_rzz150mx_4_legend.txt Legend    Bedretto                             Precipitation; maximum ten minute total of the month        201710-201912
