 

stn;time;rzz150mx
BEKSE;200809;1.8
BEKSE;200810;2.1
BEKSE;200811;1.4
BEKSE;200812;1.0
BEKSE;200901;0.6
BEKSE;200902;0.6
BEKSE;200903;0.7
BEKSE;200904;1.3
BEKSE;200905;2.1
BEKSE;200906;4.1
BEKSE;200907;4.1
BEKSE;200908;15.1
BEKSE;200909;5.0
BEKSE;200910;1.5
BEKSE;200911;1.1
BEKSE;200912;2.4
BEKSE;201001;0.5
BEKSE;201002;1.1
BEKSE;201003;1.0
BEKSE;201004;1.5
BEKSE;201005;2.0
BEKSE;201006;5.4
BEKSE;201007;4.6
BEKSE;201008;6.5
BEKSE;201009;2.8
BEKSE;201010;0.6
BEKSE;201011;0.6
BEKSE;201012;0.7
BEKSE;201101;0.5
BEKSE;201102;0.6
BEKSE;201103;0.9
BEKSE;201104;1.2
BEKSE;201105;3.7
BEKSE;201106;7.0
BEKSE;201107;4.2
BEKSE;201108;6.9
BEKSE;201109;1.6
BEKSE;201110;1.8
BEKSE;201111;0.4
BEKSE;201112;0.9
BEKSE;201201;1.0
BEKSE;201202;0.3
BEKSE;201203;0.5
BEKSE;201204;0.9
BEKSE;201205;1.4
BEKSE;201206;3.2
BEKSE;201207;2.4
BEKSE;201208;5.0
BEKSE;201209;1.2
BEKSE;201210;1.7
BEKSE;201211;0.6
BEKSE;201212;0.8
BEKSE;201301;0.6
BEKSE;201302;1.2
BEKSE;201303;0.5
BEKSE;201304;1.0
BEKSE;201305;1.4
BEKSE;201306;4.0
BEKSE;201307;13.3
BEKSE;201308;7.1
BEKSE;201309;8.9
BEKSE;201310;1.5
BEKSE;201311;1.1
BEKSE;201312;0.6
BEKSE;201401;0.9
BEKSE;201402;1.2
BEKSE;201403;0.8
BEKSE;201404;1.5
BEKSE;201405;1.4
BEKSE;201406;7.1
BEKSE;201407;3.3
BEKSE;201408;3.8
BEKSE;201409;3.6
BEKSE;201410;1.3
BEKSE;201411;1.3
BEKSE;201412;0.6
BEKSE;201501;0.8
BEKSE;201502;0.4
BEKSE;201503;0.8
BEKSE;201504;3.2
BEKSE;201505;1.9
BEKSE;201506;7.2
BEKSE;201507;5.7
BEKSE;201508;2.5
BEKSE;201509;2.8
BEKSE;201510;1.3
BEKSE;201511;1.0
BEKSE;201512;0.4
BEKSE;201601;0.8
BEKSE;201602;0.9
BEKSE;201603;0.7
BEKSE;201604;0.9
BEKSE;201605;2.2
BEKSE;201606;4.7
BEKSE;201607;4.2
BEKSE;201608;4.1
BEKSE;201609;4.6
BEKSE;201610;2.2
BEKSE;201611;1.0
BEKSE;201612;0.1
BEKSE;201701;0.5
BEKSE;201702;0.7
BEKSE;201703;0.8
BEKSE;201704;1.4
BEKSE;201705;2.2
BEKSE;201706;4.3
BEKSE;201707;6.9
BEKSE;201708;7.2
BEKSE;201709;1.9
BEKSE;201710;1.4
BEKSE;201711;1.4
BEKSE;201712;0.8
BEKSE;201801;2.0
BEKSE;201802;0.6
BEKSE;201803;1.4
BEKSE;201804;0.8
BEKSE;201805;2.7
BEKSE;201806;3.5
BEKSE;201807;2.5
BEKSE;201808;5.9
BEKSE;201809;3.6
BEKSE;201810;1.5
BEKSE;201811;0.4
BEKSE;201812;1.2
BEKSE;201901;0.8
BEKSE;201902;1.0
BEKSE;201903;1.1
BEKSE;201904;1.2
BEKSE;201905;1.2
BEKSE;201906;4.7
BEKSE;201907;4.8
BEKSE;201908;4.0
BEKSE;201909;1.2
BEKSE;201910;2.0
BEKSE;201911;1.1
BEKSE;201912;0.6
BEKSE;202001;0.7
BEKSE;202002;1.1
BEKSE;202003;0.9
BEKSE;202004;1.6
BEKSE;202005;3.9
BEKSE;202006;2.0
BEKSE;202007;7.4
BEKSE;202008;3.7
BEKSE;202009;0.9
BEKSE;202010;2.2
BEKSE;202011;0.7
BEKSE;202012;0.8
BEKSE;202101;0.6
BEKSE;202102;0.7
BEKSE;202103;1.2
