 

stn;time;rhh150mx
AGFRI;200901;2.9
AGFRI;200902;3.3
AGFRI;200903;5.1
AGFRI;200904;4.9
AGFRI;200905;19.0
AGFRI;200906;8.0
AGFRI;200907;19.2
AGFRI;200908;22.8
AGFRI;200909;9.3
AGFRI;200910;9.2
AGFRI;200911;4.2
AGFRI;200912;6.4
AGFRI;201001;3.5
AGFRI;201002;3.4
AGFRI;201003;3.8
AGFRI;201004;5.5
AGFRI;201005;6.3
AGFRI;201006;13.2
AGFRI;201007;8.1
AGFRI;201008;15.4
AGFRI;201009;5.4
AGFRI;201010;4.1
AGFRI;201011;10.5
AGFRI;201012;3.2
AGFRI;201101;5.2
AGFRI;201102;3.2
AGFRI;201103;3.2
AGFRI;201104;6.1
AGFRI;201105;3.8
AGFRI;201106;11.5
AGFRI;201107;11.3
AGFRI;201108;6.3
AGFRI;201109;7.3
AGFRI;201110;6.1
AGFRI;201111;1.9
AGFRI;201112;6.3
AGFRI;201201;8.3
AGFRI;201202;2.4
AGFRI;201203;2.3
AGFRI;201204;3.3
AGFRI;201205;9.4
AGFRI;201206;13.1
AGFRI;201207;20.1
AGFRI;201208;8.2
AGFRI;201209;9.2
AGFRI;201210;6.6
AGFRI;201211;4.9
AGFRI;201212;4.9
AGFRI;201301;3.4
AGFRI;201302;4.9
AGFRI;201303;2.6
AGFRI;201304;5.5
AGFRI;201305;17.8
AGFRI;201306;19.6
AGFRI;201307;11.3
AGFRI;201308;8.1
AGFRI;201309;13.0
AGFRI;201310;5.4
AGFRI;201311;4.0
AGFRI;201312;4.2
AGFRI;201401;2.8
AGFRI;201402;5.7
AGFRI;201403;3.9
AGFRI;201404;5.6
AGFRI;201405;6.6
AGFRI;201406;10.0
