 

stn;time;rhh150mx
GEBAC;200911;5.4
GEBAC;200912;7.5
GEBAC;201001;1.5
GEBAC;201002;7.1
GEBAC;201003;3.8
GEBAC;201004;4.4
GEBAC;201005;5.5
GEBAC;201006;13.4
GEBAC;201007;1.8
GEBAC;201008;13.4
GEBAC;201009;3.7
GEBAC;201010;3.3
GEBAC;201011;3.6
GEBAC;201012;2.6
GEBAC;201101;4.5
GEBAC;201102;1.5
GEBAC;201103;3.3
GEBAC;201104;2.7
GEBAC;201105;3.6
GEBAC;201106;7.6
GEBAC;201107;7.2
GEBAC;201108;6.2
GEBAC;201109;6.0
GEBAC;201110;3.8
GEBAC;201111;2.2
GEBAC;201112;6.3
GEBAC;201201;4.1
GEBAC;201202;0.3
GEBAC;201203;1.7
GEBAC;201204;5.0
GEBAC;201205;10.3
GEBAC;201206;7.8
GEBAC;201207;3.4
GEBAC;201208;3.9
GEBAC;201209;13.2
GEBAC;201210;4.4
GEBAC;201211;10.3
GEBAC;201212;5.7
GEBAC;201301;3.2
GEBAC;201302;3.8
GEBAC;201303;3.4
GEBAC;201304;6.1
GEBAC;201305;6.3
GEBAC;201306;16.6
GEBAC;201307;31.4
GEBAC;201308;8.2
GEBAC;201309;17.4
GEBAC;201310;7.4
GEBAC;201311;4.9
GEBAC;201312;5.1
GEBAC;201401;5.5
GEBAC;201402;5.8
GEBAC;201403;3.6
GEBAC;201404;3.6
GEBAC;201405;4.1
GEBAC;201406;8.5
GEBAC;201407;10.0
GEBAC;201408;7.6
GEBAC;201409;11.7
GEBAC;201410;6.5
GEBAC;201411;6.8
GEBAC;201412;1.7
GEBAC;201501;5.5
GEBAC;201502;5.5
GEBAC;201503;3.4
GEBAC;201504;6.9
GEBAC;201505;6.1
GEBAC;201506;6.5
GEBAC;201507;6.3
GEBAC;201508;8.1
GEBAC;201509;8.8
GEBAC;201510;4.6
GEBAC;201511;3.4
GEBAC;201512;2.3
GEBAC;201601;4.5
GEBAC;201602;5.7
GEBAC;201603;4.1
GEBAC;201604;6.8
GEBAC;201605;4.7
GEBAC;201606;5.2
GEBAC;201607;5.7
GEBAC;201608;6.7
GEBAC;201609;6.9
GEBAC;201610;11.6
GEBAC;201611;4.8
GEBAC;201612;0.5
GEBAC;201701;2.1
GEBAC;201702;6.2
GEBAC;201703;3.0
GEBAC;201704;2.0
GEBAC;201705;5.1
GEBAC;201706;8.7
GEBAC;201707;6.9
GEBAC;201708;8.4
GEBAC;201709;4.2
GEBAC;201710;4.4
GEBAC;201711;4.8
GEBAC;201712;3.9
GEBAC;201801;3.1
GEBAC;201802;2.5
GEBAC;201803;6.0
GEBAC;201804;4.0
GEBAC;201805;3.6
GEBAC;201806;13.0
GEBAC;201807;7.0
GEBAC;201808;12.7
GEBAC;201809;5.8
GEBAC;201810;2.2
GEBAC;201811;6.6
GEBAC;201812;5.8
GEBAC;201901;3.5
GEBAC;201902;3.3
GEBAC;201903;4.1
GEBAC;201904;4.9
GEBAC;201905;5.0
GEBAC;201906;22.2
GEBAC;201907;11.5
GEBAC;201908;3.4
GEBAC;201909;6.0
GEBAC;201910;4.3
GEBAC;201911;5.2
GEBAC;201912;6.6
GEBAC;202001;2.6
GEBAC;202002;3.8
GEBAC;202003;6.6
GEBAC;202004;4.7
GEBAC;202005;11.5
GEBAC;202006;9.1
GEBAC;202007;15.0
GEBAC;202008;29.0
GEBAC;202009;18.1
GEBAC;202010;6.5
GEBAC;202011;7.2
GEBAC;202012;4.4
GEBAC;202101;5.5
GEBAC;202102;2.9
GEBAC;202103;3.9
