 

stn;time;rhh150mx
HLL;201111;0.2
HLL;201112;8.9
HLL;201201;3.7
HLL;201202;0.6
HLL;201203;1.9
HLL;201204;3.4
HLL;201205;7.0
HLL;201206;12.7
HLL;201207;10.6
HLL;201208;10.2
HLL;201209;5.9
HLL;201210;5.3
HLL;201211;5.4
HLL;201212;3.3
HLL;201301;4.3
HLL;201302;4.1
HLL;201303;1.6
HLL;201304;5.7
HLL;201305;6.5
HLL;201306;5.7
HLL;201307;19.3
HLL;201308;4.4
HLL;201309;8.1
HLL;201310;4.6
HLL;201311;4.0
HLL;201312;2.7
HLL;201401;2.7
HLL;201402;3.6
HLL;201403;-
HLL;201404;7.3
HLL;201405;10.0
HLL;201406;10.0
HLL;201407;25.6
HLL;201408;6.9
HLL;201409;11.4
HLL;201410;5.9
HLL;201411;3.2
HLL;201412;2.8
HLL;201501;2.7
HLL;201502;2.2
HLL;201503;3.6
HLL;201504;3.5
HLL;201505;6.6
HLL;201506;15.6
HLL;201507;14.2
HLL;201508;4.0
HLL;201509;5.9
HLL;201510;2.9
HLL;201511;11.0
HLL;201512;1.0
HLL;201601;4.4
HLL;201602;2.7
HLL;201603;1.4
HLL;201604;6.0
HLL;201605;16.7
HLL;201606;26.2
HLL;201607;7.1
HLL;201608;3.1
HLL;201609;2.0
HLL;201610;4.3
HLL;201611;4.5
HLL;201612;0.2
HLL;201701;3.2
HLL;201702;4.2
HLL;201703;2.8
HLL;201704;8.0
HLL;201705;6.3
HLL;201706;3.8
HLL;201707;10.9
HLL;201708;10.8
HLL;201709;3.3
HLL;201710;6.4
HLL;201711;6.2
HLL;201712;3.0
HLL;201801;3.9
HLL;201802;2.7
HLL;201803;1.4
HLL;201804;3.1
HLL;201805;23.1
HLL;201806;8.0
