 

stn;time;rhh150mx
CHZ;200012;1.3
CHZ;200101;0.8
CHZ;200102;2.4
CHZ;200103;5.5
CHZ;200104;4.7
CHZ;200105;6.1
CHZ;200106;9.5
CHZ;200107;10.7
CHZ;200108;9.0
CHZ;200109;4.2
CHZ;200110;5.3
CHZ;200111;4.1
CHZ;200112;1.7
CHZ;200201;2.3
CHZ;200202;3.9
CHZ;200203;3.0
CHZ;200204;2.6
CHZ;200205;10.8
CHZ;200206;9.2
CHZ;200207;12.3
CHZ;200208;21.7
CHZ;200209;6.1
CHZ;200210;3.2
CHZ;200211;5.1
CHZ;200212;2.2
CHZ;200301;3.2
CHZ;200302;2.8
CHZ;200303;12.8
CHZ;200304;3.9
CHZ;200305;14.8
CHZ;200306;22.3
CHZ;200307;10.1
CHZ;200308;12.2
CHZ;200309;4.7
CHZ;200310;8.1
CHZ;200311;2.6
CHZ;200312;1.3
CHZ;200401;4.0
CHZ;200402;3.1
CHZ;200403;4.4
CHZ;200404;11.9
CHZ;200405;6.6
CHZ;200406;7.7
CHZ;200407;27.8
CHZ;200408;9.9
CHZ;200409;4.4
CHZ;200410;12.8
CHZ;200411;1.6
CHZ;200412;4.5
CHZ;200501;3.0
CHZ;200502;4.2
CHZ;200503;2.5
CHZ;200504;3.9
CHZ;200505;7.3
CHZ;200506;10.7
CHZ;200507;8.4
CHZ;200508;15.4
CHZ;200509;9.5
CHZ;200510;3.1
CHZ;200511;2.1
CHZ;200512;8.1
CHZ;200601;1.3
CHZ;200602;2.2
CHZ;200603;4.4
CHZ;200604;5.3
CHZ;200605;7.9
CHZ;200606;15.2
CHZ;200607;15.7
CHZ;200608;6.9
CHZ;200609;7.5
CHZ;200610;4.0
CHZ;200611;2.3
CHZ;200612;2.8
CHZ;200701;3.3
CHZ;200702;6.3
CHZ;200703;6.2
CHZ;200704;1.8
CHZ;200705;7.2
CHZ;200706;16.6
CHZ;200707;9.3
CHZ;200708;10.1
CHZ;200709;5.0
CHZ;200710;5.4
CHZ;200711;1.8
CHZ;200712;4.9
CHZ;200801;2.3
CHZ;200802;4.3
CHZ;200803;3.9
CHZ;200804;6.8
CHZ;200805;9.3
CHZ;200806;14.3
CHZ;200807;18.8
CHZ;200808;9.0
CHZ;200809;6.5
CHZ;200810;5.2
CHZ;200811;2.9
