 

stn;time;rhh150mx
DLOBS;201405;6.9
DLOBS;201406;7.3
DLOBS;201407;20.3
DLOBS;201408;20.4
DLOBS;201409;11.0
DLOBS;201410;6.4
DLOBS;201411;3.3
DLOBS;201412;4.4
DLOBS;201501;3.7
DLOBS;201502;1.1
DLOBS;201503;5.4
DLOBS;201504;2.9
DLOBS;201505;3.5
DLOBS;201506;21.3
DLOBS;201507;5.9
DLOBS;201508;13.3
DLOBS;201509;4.9
DLOBS;201510;4.2
DLOBS;201511;7.5
DLOBS;201512;1.7
DLOBS;201601;2.2
DLOBS;201602;2.8
DLOBS;201603;2.8
DLOBS;201604;3.0
DLOBS;201605;5.5
DLOBS;201606;8.2
DLOBS;201607;10.7
DLOBS;201608;5.0
DLOBS;201609;8.1
DLOBS;201610;2.8
DLOBS;201611;2.7
DLOBS;201612;0.5
DLOBS;201701;2.7
DLOBS;201702;3.8
DLOBS;201703;3.1
DLOBS;201704;2.6
DLOBS;201705;5.2
DLOBS;201706;7.4
DLOBS;201707;9.3
DLOBS;201708;6.4
DLOBS;201709;4.6
DLOBS;201710;3.0
DLOBS;201711;3.7
DLOBS;201712;1.9
DLOBS;201801;5.6
DLOBS;201802;2.2
DLOBS;201803;1.6
DLOBS;201804;3.4
DLOBS;201805;17.2
DLOBS;201806;6.0
DLOBS;201807;19.7
DLOBS;201808;4.3
DLOBS;201809;10.0
DLOBS;201810;4.9
DLOBS;201811;1.7
DLOBS;201812;8.6
DLOBS;201901;3.4
DLOBS;201902;2.8
DLOBS;201903;2.3
DLOBS;201904;1.4
DLOBS;201905;13.0
DLOBS;201906;16.9
DLOBS;201907;11.6
DLOBS;201908;7.2
DLOBS;201909;5.0
DLOBS;201910;5.5
DLOBS;201911;2.0
DLOBS;201912;5.5
DLOBS;202001;2.1
DLOBS;202002;7.3
DLOBS;202003;7.4
DLOBS;202004;5.4
DLOBS;202005;2.1
DLOBS;202006;11.9
DLOBS;202007;12.4
DLOBS;202008;8.8
DLOBS;202009;6.9
DLOBS;202010;4.1
DLOBS;202011;2.7
DLOBS;202012;2.2
DLOBS;202101;3.1
DLOBS;202102;5.4
DLOBS;202103;3.4
