 

stn;time;rhh150mx
DLGAR;201702;3.2
DLGAR;201703;3.0
DLGAR;201704;4.5
DLGAR;201705;8.6
DLGAR;201706;12.3
DLGAR;201707;13.5
DLGAR;201708;21.1
DLGAR;201709;10.2
DLGAR;201710;7.7
DLGAR;201711;4.1
DLGAR;201712;3.3
DLGAR;201801;5.5
DLGAR;201802;2.6
DLGAR;201803;2.8
DLGAR;201804;5.7
DLGAR;201805;15.0
DLGAR;201806;9.4
DLGAR;201807;6.8
DLGAR;201808;15.0
DLGAR;201809;15.5
DLGAR;201810;7.4
DLGAR;201811;0.7
DLGAR;201812;5.5
DLGAR;201901;4.2
DLGAR;201902;3.4
DLGAR;201903;4.8
DLGAR;201904;8.1
DLGAR;201905;8.6
DLGAR;201906;12.4
DLGAR;201907;10.8
DLGAR;201908;10.8
DLGAR;201909;8.2
DLGAR;201910;7.8
DLGAR;201911;2.9
DLGAR;201912;4.3
DLGAR;202001;3.4
DLGAR;202002;4.8
DLGAR;202003;2.4
DLGAR;202004;5.2
DLGAR;202005;5.3
DLGAR;202006;22.6
