 

stn;time;rhh150mx
MMMES;201408;13.2
MMMES;201409;5.2
MMMES;201410;10.2
MMMES;201411;11.8
MMMES;201412;5.0
MMMES;201501;6.4
MMMES;201502;4.0
MMMES;201503;3.4
MMMES;201504;6.8
MMMES;201505;10.0
MMMES;201506;11.8
MMMES;201507;32.6
MMMES;201508;17.6
MMMES;201509;15.4
MMMES;201510;6.8
MMMES;201511;1.0
MMMES;201512;0.0
MMMES;201601;3.4
MMMES;201602;3.8
MMMES;201603;5.6
MMMES;201604;7.2
MMMES;201605;8.2
MMMES;201606;17.8
MMMES;201607;15.0
MMMES;201608;13.8
MMMES;201609;10.4
MMMES;201610;11.4
MMMES;201611;5.4
MMMES;201612;0.2
MMMES;201701;2.8
MMMES;201702;5.8
MMMES;201703;6.2
MMMES;201704;5.4
MMMES;201705;4.8
MMMES;201706;17.0
MMMES;201707;10.4
MMMES;201708;25.6
MMMES;201709;13.2
MMMES;201710;1.6
MMMES;201711;6.4
MMMES;201712;5.6
