 

stn;time;rhh150mx
ENG;201201;5.5
ENG;201202;0.9
ENG;201203;2.2
ENG;201204;3.1
ENG;201205;20.9
ENG;201206;22.1
ENG;201207;9.7
ENG;201208;10.8
ENG;201209;7.8
ENG;201210;9.2
ENG;201211;3.3
ENG;201212;4.2
ENG;201301;2.6
ENG;201302;3.6
ENG;201303;2.1
ENG;201304;3.8
ENG;201305;8.7
ENG;201306;10.0
ENG;201307;23.2
ENG;201308;21.0
ENG;201309;5.0
ENG;201310;8.1
ENG;201311;5.4
ENG;201312;2.8
ENG;201401;2.6
ENG;201402;3.9
ENG;201403;4.1
ENG;201404;6.9
ENG;201405;5.4
ENG;201406;12.4
ENG;201407;16.7
ENG;201408;8.8
ENG;201409;5.4
ENG;201410;8.4
ENG;201411;4.0
ENG;201412;3.1
ENG;201501;4.1
ENG;201502;1.7
ENG;201503;4.6
ENG;201504;6.5
ENG;201505;7.5
ENG;201506;13.2
ENG;201507;17.9
ENG;201508;20.0
ENG;201509;7.9
ENG;201510;4.9
ENG;201511;6.6
ENG;201512;1.1
ENG;201601;4.5
ENG;201602;4.1
ENG;201603;4.6
ENG;201604;3.9
ENG;201605;15.9
ENG;201606;9.5
ENG;201607;16.2
ENG;201608;16.5
ENG;201609;5.5
ENG;201610;6.5
ENG;201611;4.1
ENG;201612;0.7
ENG;201701;2.9
ENG;201702;2.8
ENG;201703;5.3
ENG;201704;4.8
ENG;201705;10.3
ENG;201706;10.6
ENG;201707;29.0
ENG;201708;33.0
ENG;201709;5.2
ENG;201710;8.2
ENG;201711;5.2
ENG;201712;5.5
ENG;201801;7.0
ENG;201802;3.1
ENG;201803;6.6
ENG;201804;2.8
ENG;201805;6.3
ENG;201806;8.4
ENG;201807;11.2
ENG;201808;10.9
ENG;201809;8.8
ENG;201810;9.3
ENG;201811;0.5
ENG;201812;9.3
ENG;201901;5.3
ENG;201902;3.9
ENG;201903;3.5
ENG;201904;6.9
ENG;201905;5.2
ENG;201906;17.9
ENG;201907;16.3
ENG;201908;12.2
ENG;201909;5.9
ENG;201910;10.3
ENG;201911;5.1
ENG;201912;6.2
ENG;202001;3.5
ENG;202002;8.6
ENG;202003;3.5
ENG;202004;6.8
ENG;202005;7.7
ENG;202006;9.1
ENG;202007;13.9
ENG;202008;25.5
ENG;202009;7.3
ENG;202010;14.9
ENG;202011;2.1
ENG;202012;3.8
ENG;202101;5.8
ENG;202102;2.8
ENG;202103;6.4
