 

stn;time;rhh150mx
BEHAK;200810;6.0
BEHAK;200811;8.9
BEHAK;200812;3.2
BEHAK;200901;5.8
BEHAK;200902;4.4
BEHAK;200903;4.3
BEHAK;200904;3.0
BEHAK;200905;9.3
BEHAK;200906;11.3
BEHAK;200907;20.2
BEHAK;200908;10.0
BEHAK;200909;9.0
BEHAK;200910;10.3
BEHAK;200911;8.5
BEHAK;200912;8.4
BEHAK;201001;2.0
BEHAK;201002;4.7
BEHAK;201003;3.4
BEHAK;201004;3.8
BEHAK;201005;9.0
BEHAK;201006;6.1
BEHAK;201007;26.5
BEHAK;201008;11.3
BEHAK;201009;6.4
BEHAK;201010;4.3
BEHAK;201011;9.4
BEHAK;201012;6.1
BEHAK;201101;5.4
BEHAK;201102;2.6
BEHAK;201103;4.9
BEHAK;201104;3.7
BEHAK;201105;11.4
BEHAK;201106;26.4
BEHAK;201107;25.4
BEHAK;201108;20.8
BEHAK;201109;6.4
BEHAK;201110;8.6
BEHAK;201111;0.2
BEHAK;201112;5.3
BEHAK;201201;4.8
BEHAK;201202;1.9
BEHAK;201203;2.7
BEHAK;201204;4.5
BEHAK;201205;6.1
BEHAK;201206;8.9
BEHAK;201207;6.3
BEHAK;201208;13.9
BEHAK;201209;8.9
BEHAK;201210;10.9
BEHAK;201211;3.9
BEHAK;201212;6.4
BEHAK;201301;3.7
BEHAK;201302;3.7
BEHAK;201303;2.1
BEHAK;201304;3.2
BEHAK;201305;7.3
BEHAK;201306;8.9
BEHAK;201307;15.7
BEHAK;201308;7.0
BEHAK;201309;13.6
BEHAK;201310;8.5
BEHAK;201311;6.3
BEHAK;201312;2.8
BEHAK;201401;3.7
BEHAK;201402;4.1
BEHAK;201403;3.1
BEHAK;201404;7.9
BEHAK;201405;4.7
BEHAK;201406;10.9
BEHAK;201407;10.2
BEHAK;201408;10.4
BEHAK;201409;13.2
BEHAK;201410;18.3
BEHAK;201411;4.6
BEHAK;201412;5.5
BEHAK;201501;9.3
BEHAK;201502;2.0
BEHAK;201503;6.8
BEHAK;201504;6.3
BEHAK;201505;7.9
BEHAK;201506;29.4
BEHAK;201507;4.4
BEHAK;201508;4.8
BEHAK;201509;7.7
BEHAK;201510;4.9
BEHAK;201511;7.1
BEHAK;201512;1.3
BEHAK;201601;6.3
BEHAK;201602;4.5
BEHAK;201603;3.7
BEHAK;201604;5.2
BEHAK;201605;9.3
BEHAK;201606;25.2
BEHAK;201607;9.0
BEHAK;201608;9.9
BEHAK;201609;8.4
BEHAK;201610;8.6
BEHAK;201611;4.1
BEHAK;201612;0.4
BEHAK;201701;3.1
BEHAK;201702;3.0
BEHAK;201703;6.1
BEHAK;201704;3.9
BEHAK;201705;5.0
BEHAK;201706;17.4
BEHAK;201707;31.3
BEHAK;201708;12.7
BEHAK;201709;6.3
BEHAK;201710;5.4
BEHAK;201711;5.6
BEHAK;201712;5.5
BEHAK;201801;9.1
BEHAK;201802;4.1
BEHAK;201803;3.1
BEHAK;201804;5.7
BEHAK;201805;8.8
BEHAK;201806;12.1
BEHAK;201807;12.5
BEHAK;201808;8.6
BEHAK;201809;7.0
BEHAK;201810;9.8
BEHAK;201811;0.9
BEHAK;201812;9.1
BEHAK;201901;3.7
BEHAK;201902;3.8
BEHAK;201903;5.6
BEHAK;201904;3.1
BEHAK;201905;6.5
BEHAK;201906;13.1
BEHAK;201907;14.0
BEHAK;201908;13.2
BEHAK;201909;10.3
BEHAK;201910;5.3
BEHAK;201911;7.3
BEHAK;201912;5.5
BEHAK;202001;2.9
BEHAK;202002;9.5
BEHAK;202003;3.6
BEHAK;202004;4.7
BEHAK;202005;11.2
BEHAK;202006;9.4
BEHAK;202007;9.1
BEHAK;202008;20.5
BEHAK;202009;3.1
BEHAK;202010;5.9
BEHAK;202011;2.7
BEHAK;202012;4.1
BEHAK;202101;7.9
BEHAK;202102;5.1
BEHAK;202103;5.1
