 

stn;time;rhh150mx
DLFEB;201106;18.0
DLFEB;201107;14.5
DLFEB;201108;33.7
DLFEB;201109;7.5
DLFEB;201110;7.3
DLFEB;201111;1.8
DLFEB;201112;7.8
DLFEB;201201;7.3
DLFEB;201202;1.6
DLFEB;201203;5.2
DLFEB;201204;6.6
DLFEB;201205;7.9
DLFEB;201206;15.5
DLFEB;201207;7.9
DLFEB;201208;6.9
DLFEB;201209;13.2
DLFEB;201210;15.0
DLFEB;201211;6.0
DLFEB;201212;6.6
DLFEB;201301;6.4
DLFEB;201302;5.5
DLFEB;201303;7.0
DLFEB;201304;6.0
DLFEB;201305;8.6
DLFEB;201306;7.5
DLFEB;201307;14.5
DLFEB;201308;10.7
DLFEB;201309;22.5
DLFEB;201310;9.2
DLFEB;201311;8.5
DLFEB;201312;4.4
DLFEB;201401;6.8
DLFEB;201402;5.9
DLFEB;201403;4.4
DLFEB;201404;7.0
DLFEB;201405;7.7
DLFEB;201406;8.8
DLFEB;201407;40.6
DLFEB;201408;7.9
DLFEB;201409;10.9
DLFEB;201410;21.8
DLFEB;201411;3.7
DLFEB;201412;4.0
DLFEB;201501;7.0
