 

stn;time;rhh150mx
VSVER;201711;10.3
VSVER;201712;4.4
VSVER;201801;6.9
VSVER;201802;8.4
VSVER;201803;3.0
VSVER;201804;3.7
VSVER;201805;5.7
VSVER;201806;4.6
VSVER;201807;4.6
VSVER;201808;4.8
VSVER;201809;5.1
VSVER;201810;6.3
VSVER;201811;2.1
VSVER;201812;5.1
VSVER;201901;2.0
VSVER;201902;3.0
VSVER;201903;3.5
VSVER;201904;4.4
VSVER;201905;4.9
VSVER;201906;8.8
VSVER;201907;26.7
VSVER;201908;8.2
VSVER;201909;3.2
VSVER;201910;6.3
VSVER;201911;3.3
VSVER;201912;3.3
VSVER;202001;2.4
VSVER;202002;4.9
VSVER;202003;3.4
VSVER;202004;5.9
VSVER;202005;4.3
VSVER;202006;5.2
VSVER;202007;8.9
VSVER;202008;7.2
VSVER;202009;2.4
VSVER;202010;4.8
VSVER;202011;2.2
VSVER;202012;3.3
VSVER;202101;4.3
VSVER;202102;2.4
VSVER;202103;4.3
