 

stn;time;rhh150mx
VSARO;201512;1.2
VSARO;201601;3.0
VSARO;201602;2.5
VSARO;201603;1.6
VSARO;201604;5.2
VSARO;201605;6.8
VSARO;201606;6.0
VSARO;201607;9.8
VSARO;201608;4.5
VSARO;201609;3.4
VSARO;201610;6.5
VSARO;201611;3.5
VSARO;201612;0.6
VSARO;201701;3.5
VSARO;201702;2.4
VSARO;201703;2.8
VSARO;201704;1.8
VSARO;201705;4.1
VSARO;201706;6.7
VSARO;201707;4.6
VSARO;201708;27.0
VSARO;201709;3.2
VSARO;201710;3.5
VSARO;201711;3.8
VSARO;201712;3.8
VSARO;201801;8.0
VSARO;201802;3.4
VSARO;201803;4.0
VSARO;201804;6.2
VSARO;201805;6.2
VSARO;201806;6.1
VSARO;201807;12.4
VSARO;201808;22.5
VSARO;201809;9.0
VSARO;201810;8.3
VSARO;201811;5.4
VSARO;201812;4.3
VSARO;201901;6.3
VSARO;201902;2.4
VSARO;201903;2.3
VSARO;201904;4.7
VSARO;201905;5.5
VSARO;201906;14.2
VSARO;201907;10.1
VSARO;201908;6.4
VSARO;201909;6.5
VSARO;201910;10.1
VSARO;201911;2.9
VSARO;201912;4.9
VSARO;202001;2.3
VSARO;202002;4.6
VSARO;202003;3.5
VSARO;202004;4.7
VSARO;202005;6.0
VSARO;202006;5.1
VSARO;202007;4.9
VSARO;202008;10.9
VSARO;202009;4.7
VSARO;202010;8.2
VSARO;202011;2.0
VSARO;202012;3.1
VSARO;202101;3.7
VSARO;202102;2.6
VSARO;202103;2.8
