 

stn;time;rre150m0
AUG;190010;72.0
AUG;190011;65.6
AUG;190012;37.8
AUG;190101;48.4
AUG;190102;29.7
AUG;190103;63.4
AUG;190104;137.6
AUG;190105;23.2
AUG;190106;135.8
AUG;190107;107.4
AUG;190108;114.8
AUG;190109;119.3
AUG;190110;54.5
AUG;190111;48.5
AUG;190112;58.8
AUG;190201;28.3
AUG;190202;64.4
AUG;190203;75.2
AUG;190204;45.2
AUG;190205;67.9
AUG;190206;46.3
AUG;190207;125.9
AUG;190208;114.3
AUG;190209;44.4
AUG;190210;112.3
AUG;190211;37.1
AUG;190212;80.2
AUG;190301;46.2
AUG;190302;42.8
AUG;190303;41.9
AUG;190304;58.5
AUG;190305;68.6
AUG;190306;84.9
AUG;190307;116.0
AUG;190308;92.6
AUG;190309;50.3
AUG;190310;87.9
AUG;190311;78.1
AUG;190312;45.6
AUG;190401;34.2
AUG;190402;138.7
AUG;190403;45.5
AUG;190404;78.4
AUG;190405;117.4
AUG;190406;70.0
AUG;190407;13.6
AUG;190408;82.4
AUG;190409;84.4
AUG;190410;38.7
AUG;190411;18.5
AUG;190412;30.2
AUG;190501;26.6
AUG;190502;26.1
AUG;190503;75.8
AUG;190504;97.4
AUG;190505;90.4
AUG;190506;71.4
AUG;190507;42.4
AUG;190508;159.7
AUG;190509;139.7
AUG;190510;89.0
AUG;190511;68.3
AUG;190512;30.0
AUG;190601;39.3
AUG;190602;62.1
AUG;190603;39.8
AUG;190604;52.4
AUG;190605;111.5
AUG;190606;100.7
AUG;190607;41.4
AUG;190608;46.5
AUG;190609;31.0
AUG;190610;39.5
AUG;190611;118.6
AUG;190612;73.1
AUG;190701;45.4
AUG;190702;42.5
AUG;190703;54.4
AUG;190704;74.2
AUG;190705;56.1
AUG;190706;95.9
AUG;190707;85.2
AUG;190708;69.6
AUG;190709;44.5
AUG;190710;62.1
AUG;190711;19.5
AUG;190712;88.2
AUG;190801;41.5
AUG;190802;70.6
AUG;190803;32.0
AUG;190804;52.7
AUG;190805;127.2
AUG;190806;79.7
AUG;190807;141.8
AUG;190808;82.8
AUG;190809;137.3
AUG;190810;14.1
AUG;190811;53.8
AUG;190812;32.7
AUG;190901;23.8
AUG;190902;19.8
AUG;190903;58.4
AUG;190904;50.0
AUG;190905;28.1
AUG;190906;183.5
AUG;190907;131.2
AUG;190908;69.7
AUG;190909;82.4
AUG;190910;122.8
AUG;190911;48.2
AUG;190912;86.0
AUG;191001;127.6
AUG;191002;93.3
AUG;191003;14.7
AUG;191004;59.4
AUG;191005;78.1
AUG;191006;193.7
AUG;191007;130.6
AUG;191008;122.9
AUG;191009;72.1
