 

stn;time;rre150m0
BLZ;189011;29.3
BLZ;189012;53.7
BLZ;189101;0.0
BLZ;189102;0.0
BLZ;189103;158.3
BLZ;189104;76.8
BLZ;189105;286.5
BLZ;189106;120.1
BLZ;189107;304.4
BLZ;189108;204.0
BLZ;189109;74.2
BLZ;189110;277.0
BLZ;189111;171.5
BLZ;189112;65.9
BLZ;189201;44.4
BLZ;189202;166.0
BLZ;189203;100.2
BLZ;189204;129.1
BLZ;189205;22.1
BLZ;189206;164.7
BLZ;189207;124.6
BLZ;189208;101.0
BLZ;189209;193.8
BLZ;189210;313.2
BLZ;189211;61.5
BLZ;189212;0.8
BLZ;189301;22.8
BLZ;189302;75.5
BLZ;189303;4.3
BLZ;189304;15.6
BLZ;189305;112.4
BLZ;189306;74.8
BLZ;189307;158.4
BLZ;189308;1.8
BLZ;189309;379.7
BLZ;189310;114.7
BLZ;189311;76.6
BLZ;189312;82.4
BLZ;189401;9.1
BLZ;189402;0.0
BLZ;189403;47.6
BLZ;189404;97.2
BLZ;189405;172.9
BLZ;189406;106.5
BLZ;189407;267.1
BLZ;189408;65.9
BLZ;189409;184.3
BLZ;189410;99.5
BLZ;189411;69.0
BLZ;189412;3.0
