 

stn;time;rre150m0
DLBAB;198402;80.6
DLBAB;198403;34.4
DLBAB;198404;46.0
DLBAB;198405;167.2
DLBAB;198406;82.5
DLBAB;198407;113.4
DLBAB;198408;69.2
DLBAB;198409;199.2
DLBAB;198410;76.9
DLBAB;198411;77.8
DLBAB;198412;58.8
DLBAB;198501;96.9
DLBAB;198502;59.8
DLBAB;198503;78.3
DLBAB;198504;99.3
DLBAB;198505;158.2
DLBAB;198506;145.0
DLBAB;198507;123.3
DLBAB;198508;41.1
DLBAB;198509;90.5
DLBAB;198510;24.3
DLBAB;198511;142.6
DLBAB;198512;86.7
DLBAB;198601;163.6
DLBAB;198602;20.2
DLBAB;198603;100.5
DLBAB;198604;147.7
DLBAB;198605;112.9
DLBAB;198606;76.7
DLBAB;198607;100.3
DLBAB;198608;127.1
DLBAB;198609;147.6
DLBAB;198610;171.1
DLBAB;198611;80.0
DLBAB;198612;112.5
DLBAB;198701;62.1
DLBAB;198702;98.0
DLBAB;198703;115.3
DLBAB;198704;50.2
DLBAB;198705;208.6
DLBAB;198706;236.8
DLBAB;198707;107.7
DLBAB;198708;125.4
DLBAB;198709;84.3
DLBAB;198710;112.6
DLBAB;198711;95.5
DLBAB;198712;57.5
DLBAB;198801;106.7
DLBAB;198802;142.1
DLBAB;198803;283.4
DLBAB;198804;58.4
DLBAB;198805;72.4
DLBAB;198806;101.4
DLBAB;198807;169.8
DLBAB;198808;127.8
DLBAB;198809;136.3
DLBAB;198810;130.8
DLBAB;198811;60.0
DLBAB;198812;134.3
DLBAB;198901;27.5
DLBAB;198902;78.6
DLBAB;198903;56.8
DLBAB;198904;208.6
DLBAB;198905;46.6
DLBAB;198906;70.9
DLBAB;198907;103.2
DLBAB;198908;68.5
DLBAB;198909;37.1
DLBAB;198910;70.3
DLBAB;198911;47.9
DLBAB;198912;174.9
DLBAB;199001;51.5
DLBAB;199002;140.6
DLBAB;199003;41.7
DLBAB;199004;79.5
DLBAB;199005;34.5
DLBAB;199006;180.6
DLBAB;199007;70.7
DLBAB;199008;70.5
DLBAB;199009;106.4
DLBAB;199010;97.3
DLBAB;199011;159.6
DLBAB;199012;122.3
DLBAB;199101;76.8
DLBAB;199102;57.8
DLBAB;199103;42.2
DLBAB;199104;45.4
DLBAB;199105;50.0
DLBAB;199106;115.0
DLBAB;199107;113.1
DLBAB;199108;5.0
DLBAB;199109;150.9
DLBAB;199110;62.4
DLBAB;199111;150.4
DLBAB;199112;84.1
DLBAB;199201;34.2
DLBAB;199202;67.9
DLBAB;199203;165.9
DLBAB;199204;90.3
DLBAB;199205;61.3
DLBAB;199206;120.9
DLBAB;199207;95.3
DLBAB;199208;108.1
DLBAB;199209;57.6
DLBAB;199210;165.3
DLBAB;199211;184.9
DLBAB;199212;42.5
DLBAB;199301;167.0
DLBAB;199302;31.8
DLBAB;199303;36.5
DLBAB;199304;68.6
DLBAB;199305;112.7
DLBAB;199306;129.4
DLBAB;199307;175.1
DLBAB;199308;75.0
DLBAB;199309;97.5
DLBAB;199310;145.5
DLBAB;199311;35.8
DLBAB;199312;258.1
DLBAB;199401;116.2
DLBAB;199402;80.2
DLBAB;199403;133.8
DLBAB;199404;191.4
DLBAB;199405;149.6
DLBAB;199406;120.6
DLBAB;199407;113.0
DLBAB;199408;126.4
DLBAB;199409;109.6
DLBAB;199410;88.3
DLBAB;199411;55.4
DLBAB;199412;87.2
DLBAB;199501;206.8
DLBAB;199502;135.4
DLBAB;199503;221.0
DLBAB;199504;93.3
DLBAB;199505;140.5
DLBAB;199506;107.4
DLBAB;199507;152.2
DLBAB;199508;111.4
DLBAB;199509;181.3
DLBAB;199510;41.4
DLBAB;199511;93.3
DLBAB;199512;96.8
DLBAB;199601;4.9
DLBAB;199602;105.2
DLBAB;199603;42.5
DLBAB;199604;18.9
DLBAB;199605;196.3
DLBAB;199606;117.5
DLBAB;199607;115.3
DLBAB;199608;62.0
DLBAB;199609;37.5
DLBAB;199610;114.7
DLBAB;199611;232.7
DLBAB;199612;64.3
DLBAB;199701;18.2
DLBAB;199702;222.9
DLBAB;199703;91.0
DLBAB;199704;76.6
DLBAB;199705;102.0
DLBAB;199706;204.2
DLBAB;199707;74.9
DLBAB;199708;56.2
DLBAB;199709;53.8
DLBAB;199710;106.9
DLBAB;199711;74.3
DLBAB;199712;139.6
DLBAB;199801;93.4
DLBAB;199802;48.3
DLBAB;199803;84.5
DLBAB;199804;153.6
DLBAB;199805;49.6
DLBAB;199806;168.9
DLBAB;199807;81.2
DLBAB;199808;72.9
DLBAB;199809;132.1
DLBAB;199810;357.1
DLBAB;199811;174.9
DLBAB;199812;88.9
DLBAB;199901;145.4
DLBAB;199902;133.9
DLBAB;199903;182.1
DLBAB;199904;92.5
DLBAB;199905;115.1
DLBAB;199906;115.9
DLBAB;199907;106.2
DLBAB;199908;132.3
DLBAB;199909;71.4
DLBAB;199910;101.6
DLBAB;199911;100.0
DLBAB;199912;300.1
DLBAB;200001;98.4
DLBAB;200002;167.2
DLBAB;200003;123.9
DLBAB;200004;78.2
DLBAB;200005;206.5
DLBAB;200006;85.2
DLBAB;200007;261.5
DLBAB;200008;99.2
DLBAB;200009;180.6
DLBAB;200010;95.2
DLBAB;200011;106.4
DLBAB;200012;86.4
DLBAB;200101;106.3
DLBAB;200102;124.6
DLBAB;200103;221.8
DLBAB;200104;132.3
DLBAB;200105;41.0
DLBAB;200106;129.7
DLBAB;200107;78.7
DLBAB;200108;72.6
DLBAB;200109;206.3
DLBAB;200110;75.3
DLBAB;200111;162.5
DLBAB;200112;194.9
DLBAB;200201;55.7
DLBAB;200202;202.7
DLBAB;200203;142.2
DLBAB;200204;82.2
DLBAB;200205;129.0
DLBAB;200206;68.8
DLBAB;200207;174.1
DLBAB;200208;118.5
DLBAB;200209;96.9
DLBAB;200210;147.3
DLBAB;200211;166.1
DLBAB;200212;105.5
DLBAB;200301;163.4
DLBAB;200302;38.2
DLBAB;200303;56.6
DLBAB;200304;63.4
DLBAB;200305;111.2
DLBAB;200306;25.7
DLBAB;200307;115.1
DLBAB;200308;35.9
DLBAB;200309;43.5
DLBAB;200310;125.4
DLBAB;200311;86.9
DLBAB;200312;44.7
DLBAB;200401;204.7
DLBAB;200402;42.9
DLBAB;200403;58.4
DLBAB;200404;80.6
DLBAB;200405;88.9
DLBAB;200406;83.2
DLBAB;200407;92.6
DLBAB;200408;205.3
DLBAB;200409;114.4
DLBAB;200410;117.6
DLBAB;200411;70.8
DLBAB;200412;70.0
DLBAB;200501;99.2
DLBAB;200502;91.8
DLBAB;200503;70.4
DLBAB;200504;147.4
DLBAB;200505;92.6
DLBAB;200506;47.1
DLBAB;200507;167.1
DLBAB;200508;110.6
DLBAB;200509;50.2
DLBAB;200510;39.1
DLBAB;200511;56.4
DLBAB;200512;83.5
DLBAB;200601;46.7
DLBAB;200602;79.6
DLBAB;200603;174.7
DLBAB;200604;69.3
DLBAB;200605;185.6
DLBAB;200606;36.2
DLBAB;200607;50.8
DLBAB;200608;183.5
DLBAB;200609;58.5
DLBAB;200610;160.1
DLBAB;200611;80.8
DLBAB;200612;70.5
DLBAB;200701;107.8
DLBAB;200702;168.1
DLBAB;200703;159.4
DLBAB;200704;0.5
DLBAB;200705;207.2
DLBAB;200706;133.2
DLBAB;200707;147.7
DLBAB;200708;121.2
