 

stn;time;rre150m0
SZN;196101;66.2
SZN;196102;90.9
SZN;196103;32.7
SZN;196104;83.5
SZN;196105;89.3
SZN;196106;52.1
SZN;196107;106.1
SZN;196108;112.6
SZN;196109;47.7
SZN;196110;57.5
SZN;196111;32.7
SZN;196112;108.3
SZN;196201;118.3
SZN;196202;75.0
SZN;196203;72.8
SZN;196204;72.5
SZN;196205;111.2
SZN;196206;37.9
SZN;196207;56.6
SZN;196208;66.7
SZN;196209;51.9
SZN;196210;12.9
SZN;196211;14.5
SZN;196212;134.4
SZN;196301;32.4
SZN;196302;46.4
SZN;196303;98.4
SZN;196304;45.4
SZN;196305;43.0
SZN;196306;139.9
SZN;196307;125.2
SZN;196308;129.1
SZN;196309;68.2
SZN;196310;45.2
SZN;196311;100.7
SZN;196312;0.7
SZN;196401;16.5
SZN;196402;29.4
SZN;196403;104.1
SZN;196404;49.4
SZN;196405;102.5
SZN;196406;79.1
SZN;196407;52.1
SZN;196408;108.5
SZN;196409;65.9
SZN;196410;104.2
SZN;196411;63.8
SZN;196412;29.9
SZN;196501;73.9
SZN;196502;26.2
SZN;196503;98.1
SZN;196504;124.4
SZN;196505;143.4
SZN;196506;106.5
SZN;196507;172.3
SZN;196508;124.4
SZN;196509;115.3
SZN;196510;13.1
SZN;196511;146.1
SZN;196512;214.1
SZN;196601;74.3
SZN;196602;103.7
SZN;196603;90.7
SZN;196604;98.6
SZN;196605;61.5
SZN;196606;51.6
SZN;196607;96.5
SZN;196608;183.3
SZN;196609;45.6
SZN;196610;41.7
SZN;196611;74.4
SZN;196612;202.0
SZN;196701;87.4
SZN;196702;51.8
SZN;196703;102.2
SZN;196704;34.9
SZN;196705;115.7
SZN;196706;73.5
SZN;196707;24.6
SZN;196708;74.4
SZN;196709;114.8
SZN;196710;38.0
SZN;196711;82.8
SZN;196712;80.4
SZN;196801;191.5
SZN;196802;70.3
SZN;196803;71.4
SZN;196804;75.3
SZN;196805;73.3
SZN;196806;70.2
SZN;196807;84.1
SZN;196808;234.9
SZN;196809;214.8
SZN;196810;33.0
SZN;196811;28.2
SZN;196812;59.6
SZN;196901;50.1
SZN;196902;73.0
SZN;196903;75.9
SZN;196904;115.7
SZN;196905;79.7
SZN;196906;158.7
SZN;196907;29.7
SZN;196908;140.1
SZN;196909;16.7
SZN;196910;3.7
SZN;196911;99.9
SZN;196912;71.3
SZN;197001;60.7
SZN;197002;323.2
SZN;197003;85.8
SZN;197004;165.2
SZN;197005;118.4
SZN;197006;59.1
SZN;197007;57.0
SZN;197008;116.3
SZN;197009;47.5
SZN;197010;76.5
SZN;197011;91.6
SZN;197012;28.9
SZN;197101;41.1
SZN;197102;42.8
SZN;197103;37.7
SZN;197104;35.2
SZN;197105;36.4
SZN;197106;203.3
SZN;197107;74.7
SZN;197108;165.7
SZN;197109;58.1
SZN;197110;24.7
SZN;197111;83.4
SZN;197112;30.8
SZN;197201;22.5
SZN;197202;12.8
SZN;197203;31.2
SZN;197204;107.8
SZN;197205;62.4
SZN;197206;128.3
SZN;197207;112.7
SZN;197208;63.2
SZN;197209;22.7
SZN;197210;31.3
SZN;197211;218.6
SZN;197212;29.9
SZN;197301;41.0
SZN;197302;61.2
SZN;197303;15.6
SZN;197304;76.2
SZN;197305;65.6
SZN;197306;126.5
SZN;197307;122.4
SZN;197308;53.9
SZN;197309;70.0
SZN;197310;110.2
SZN;197311;112.9
SZN;197312;100.0
SZN;197401;57.2
SZN;197402;61.8
SZN;197403;33.9
SZN;197404;22.3
SZN;197405;67.5
SZN;197406;99.2
SZN;197407;71.2
SZN;197408;54.1
SZN;197409;91.4
SZN;197410;179.4
SZN;197411;175.4
SZN;197412;124.3
SZN;197501;110.8
SZN;197502;7.1
SZN;197503;58.4
SZN;197504;79.5
SZN;197505;84.9
SZN;197506;142.1
SZN;197507;76.6
SZN;197508;206.4
SZN;197509;75.5
SZN;197510;47.0
SZN;197511;135.6
SZN;197512;10.4
SZN;197601;80.1
SZN;197602;42.8
SZN;197603;16.1
SZN;197604;44.2
SZN;197605;64.8
SZN;197606;31.8
SZN;197607;118.9
SZN;197608;65.1
SZN;197609;84.0
SZN;197610;51.4
SZN;197611;62.8
SZN;197612;113.3
SZN;197701;89.9
SZN;197702;161.8
SZN;197703;56.6
SZN;197704;186.4
SZN;197705;80.1
SZN;197706;72.5
SZN;197707;145.9
SZN;197708;110.7
SZN;197709;38.9
SZN;197710;67.4
SZN;197711;114.7
SZN;197712;61.6
SZN;197801;82.0
SZN;197802;102.6
SZN;197803;159.3
SZN;197804;29.1
SZN;197805;143.8
SZN;197806;97.8
SZN;197807;81.9
SZN;197808;143.9
SZN;197809;49.0
SZN;197810;49.8
SZN;197811;7.5
SZN;197812;114.2
SZN;197901;106.4
SZN;197902;98.5
SZN;197903;136.7
SZN;197904;86.3
SZN;197905;63.9
SZN;197906;111.8
SZN;197907;89.8
SZN;197908;101.4
SZN;197909;97.1
SZN;197910;67.3
SZN;197911;128.3
SZN;197912;112.7
SZN;198001;101.7
SZN;198002;75.8
SZN;198003;86.2
SZN;198004;39.5
SZN;198005;74.4
SZN;198006;117.6
SZN;198007;126.1
SZN;198008;78.8
SZN;198009;30.4
SZN;198010;119.2
SZN;198011;52.6
SZN;198012;73.5
SZN;198101;148.7
SZN;198102;35.5
SZN;198103;97.2
SZN;198104;19.9
SZN;198105;147.0
SZN;198106;74.1
SZN;198107;152.6
SZN;198108;74.1
SZN;198109;134.4
SZN;198110;207.0
SZN;198111;74.5
SZN;198112;210.1
SZN;198201;157.0
SZN;198202;12.4
SZN;198203;76.6
SZN;198204;32.4
SZN;198205;69.1
SZN;198206;156.3
SZN;198207;142.7
SZN;198208;117.7
SZN;198209;62.7
SZN;198210;141.0
SZN;198211;97.3
SZN;198212;126.2
SZN;198301;112.6
SZN;198302;76.3
