 

stn;time;rre150m0
WSI;190010;77.1
WSI;190011;57.1
WSI;190012;55.4
WSI;190101;53.9
WSI;190102;48.1
WSI;190103;83.2
WSI;190104;156.0
WSI;190105;28.2
WSI;190106;150.5
WSI;190107;112.5
WSI;190108;108.5
WSI;190109;135.7
WSI;190110;77.2
WSI;190111;35.5
WSI;190112;77.0
WSI;190201;49.9
WSI;190202;73.0
WSI;190203;94.4
WSI;190204;59.0
WSI;190205;92.4
WSI;190206;64.2
WSI;190207;151.2
WSI;190208;103.4
WSI;190209;103.1
WSI;190210;122.0
WSI;190211;36.6
WSI;190212;99.4
WSI;190301;49.8
WSI;190302;62.7
WSI;190303;66.3
WSI;190304;72.1
WSI;190305;78.6
WSI;190306;109.9
WSI;190307;144.3
WSI;190308;118.0
WSI;190309;63.4
WSI;190310;97.9
WSI;190311;93.8
WSI;190312;39.2
WSI;190401;41.2
WSI;190402;154.6
WSI;190403;44.4
WSI;190404;92.4
WSI;190405;163.3
WSI;190406;92.3
WSI;190407;17.1
WSI;190408;86.8
WSI;190409;101.2
WSI;190410;43.5
WSI;190411;36.4
WSI;190412;48.0
WSI;190501;53.3
WSI;190502;30.8
WSI;190503;133.1
WSI;190504;113.2
WSI;190505;126.1
WSI;190506;68.2
WSI;190507;69.9
WSI;190508;187.3
WSI;190509;140.3
WSI;190510;103.8
WSI;190511;69.0
WSI;190512;35.3
WSI;190601;55.8
WSI;190602;70.5
WSI;190603;85.8
WSI;190604;36.6
WSI;190605;118.3
WSI;190606;93.0
WSI;190607;89.9
WSI;190608;44.7
WSI;190609;36.6
WSI;190610;42.1
WSI;190611;118.0
WSI;190612;94.4
WSI;190701;77.7
WSI;190702;53.9
WSI;190703;76.1
WSI;190704;68.2
WSI;190705;54.5
WSI;190706;91.8
WSI;190707;92.9
WSI;190708;60.5
WSI;190709;57.3
WSI;190710;53.8
WSI;190711;20.0
WSI;190712;121.3
WSI;190801;53.2
WSI;190802;116.2
WSI;190803;44.3
WSI;190804;74.2
WSI;190805;117.7
WSI;190806;90.8
WSI;190807;135.7
WSI;190808;72.8
WSI;190809;146.4
WSI;190810;11.7
WSI;190811;61.1
WSI;190812;43.6
WSI;190901;36.8
WSI;190902;28.1
WSI;190903;70.7
WSI;190904;68.7
WSI;190905;34.1
WSI;190906;207.8
WSI;190907;166.0
WSI;190908;111.4
WSI;190909;98.2
WSI;190910;110.4
WSI;190911;51.4
WSI;190912;116.0
WSI;191001;165.2
WSI;191002;113.5
WSI;191003;28.9
WSI;191004;83.1
WSI;191005;112.5
