 

stn;time;rre150m0
SCH;190010;47.8
SCH;190011;43.5
SCH;190012;71.8
SCH;190101;61.2
SCH;190102;27.9
SCH;190103;57.6
SCH;190104;106.0
SCH;190105;23.9
SCH;190106;100.2
SCH;190107;95.6
SCH;190108;133.8
SCH;190109;146.0
SCH;190110;60.9
SCH;190111;21.7
SCH;190112;54.5
SCH;190201;49.1
SCH;190202;63.9
SCH;190203;57.2
SCH;190204;31.8
SCH;190205;94.9
SCH;190206;44.6
SCH;190207;155.9
SCH;190208;80.1
SCH;190209;44.4
SCH;190210;73.5
SCH;190211;18.3
SCH;190212;76.8
SCH;190301;60.7
SCH;190302;16.7
SCH;190303;55.7
SCH;190304;23.6
SCH;190305;46.0
SCH;190306;83.8
SCH;190307;78.0
SCH;190308;98.4
SCH;190309;46.3
SCH;190310;70.1
SCH;190311;87.6
SCH;190312;31.9
SCH;190401;38.3
SCH;190402;142.2
SCH;190403;51.3
SCH;190404;69.6
SCH;190405;74.9
SCH;190406;45.8
SCH;190407;84.6
SCH;190408;65.5
SCH;190409;72.0
SCH;190410;24.2
SCH;190411;40.0
SCH;190412;36.2
SCH;190501;50.9
SCH;190502;21.0
SCH;190503;101.8
SCH;190504;70.2
SCH;190505;46.4
SCH;190506;96.6
SCH;190507;49.8
SCH;190508;132.4
SCH;190509;113.2
SCH;190510;60.6
SCH;190511;70.0
SCH;190512;35.6
SCH;190601;71.2
SCH;190602;47.1
SCH;190603;60.7
SCH;190604;28.7
SCH;190605;79.9
SCH;190606;61.2
SCH;190607;87.8
SCH;190608;34.5
SCH;190609;11.5
SCH;190610;31.0
SCH;190611;64.6
SCH;190612;63.6
SCH;190701;63.6
SCH;190702;67.0
SCH;190703;45.0
SCH;190704;71.2
SCH;190705;35.2
SCH;190706;103.0
SCH;190707;74.9
SCH;190708;47.5
SCH;190709;109.4
SCH;190710;30.2
SCH;190711;12.2
SCH;190712;98.4
SCH;190801;22.9
SCH;190802;95.5
SCH;190803;60.0
