 

stn;time;rre150m0
IYNAT;198402;33.4
IYNAT;198403;21.8
IYNAT;198404;14.4
IYNAT;198405;123.6
IYNAT;198406;57.0
IYNAT;198407;6.4
IYNAT;198408;36.4
IYNAT;198409;93.0
IYNAT;198410;66.4
IYNAT;198411;15.8
IYNAT;198412;19.6
IYNAT;198501;25.6
IYNAT;198502;6.4
IYNAT;198503;26.8
IYNAT;198504;21.0
IYNAT;198505;85.6
IYNAT;198506;82.0
IYNAT;198507;50.6
IYNAT;198508;115.2
IYNAT;198509;16.0
IYNAT;198510;13.8
IYNAT;198511;31.4
IYNAT;198512;11.4
IYNAT;198601;17.4
IYNAT;198602;58.2
IYNAT;198603;12.0
IYNAT;198604;63.2
IYNAT;198605;34.0
IYNAT;198606;66.2
IYNAT;198607;30.0
IYNAT;198608;107.2
IYNAT;198609;38.4
IYNAT;198610;9.8
IYNAT;198611;13.8
IYNAT;198612;9.0
IYNAT;198701;10.4
IYNAT;198702;52.8
IYNAT;198703;8.6
IYNAT;198704;36.2
IYNAT;198705;65.2
IYNAT;198706;60.2
IYNAT;198707;67.0
IYNAT;198708;106.4
IYNAT;198709;71.8
IYNAT;198710;78.2
IYNAT;198711;45.0
IYNAT;198712;8.8
IYNAT;198801;23.2
IYNAT;198802;8.2
IYNAT;198803;20.4
IYNAT;198804;25.2
IYNAT;198805;65.0
IYNAT;198806;103.6
IYNAT;198807;71.8
IYNAT;198808;109.4
IYNAT;198809;26.2
IYNAT;198810;51.6
IYNAT;198811;1.6
IYNAT;198812;23.4
IYNAT;198901;0.0
IYNAT;198902;32.8
IYNAT;198903;5.2
IYNAT;198904;115.2
IYNAT;198905;8.4
IYNAT;198906;63.6
IYNAT;198907;86.2
IYNAT;198908;66.6
IYNAT;198909;23.2
IYNAT;198910;2.6
IYNAT;198911;39.6
IYNAT;198912;30.6
IYNAT;199001;6.0
IYNAT;199002;76.0
IYNAT;199003;17.4
IYNAT;199004;36.4
IYNAT;199005;37.4
IYNAT;199006;55.8
IYNAT;199007;42.0
IYNAT;199008;29.8
IYNAT;199009;30.4
IYNAT;199010;40.6
IYNAT;199011;68.0
IYNAT;199012;32.0
IYNAT;199101;11.2
IYNAT;199102;6.2
IYNAT;199103;32.0
IYNAT;199104;20.4
IYNAT;199105;58.6
IYNAT;199106;52.4
IYNAT;199107;86.2
IYNAT;199108;34.2
IYNAT;199109;32.4
IYNAT;199110;43.2
IYNAT;199111;25.4
