 

stn;time;rre150m0
NABBER;200408;124.6
NABBER;200409;41.0
NABBER;200410;134.5
NABBER;200411;8.8
NABBER;200412;33.7
NABBER;200501;25.6
NABBER;200502;21.9
NABBER;200503;-
NABBER;200504;102.0
NABBER;200505;69.0
NABBER;200506;39.1
NABBER;200507;50.4
NABBER;200508;134.6
NABBER;200509;110.0
NABBER;200510;76.5
NABBER;200511;15.4
NABBER;200512;38.6
NABBER;200601;12.3
NABBER;200602;33.1
NABBER;200603;129.4
NABBER;200604;178.9
NABBER;200605;151.2
NABBER;200606;34.5
NABBER;200607;32.9
NABBER;200608;176.2
NABBER;200609;101.2
NABBER;200610;68.3
NABBER;200611;39.4
NABBER;200612;69.3
NABBER;200701;34.7
NABBER;200702;93.0
NABBER;200703;96.4
NABBER;200704;12.0
NABBER;200705;172.8
NABBER;200706;164.9
NABBER;200707;202.4
NABBER;200708;181.8
NABBER;200709;61.3
NABBER;200710;30.9
NABBER;200711;18.2
NABBER;200712;78.0
NABBER;200801;50.5
NABBER;200802;36.3
NABBER;200803;48.6
NABBER;200804;109.2
NABBER;200805;45.9
NABBER;200806;66.6
NABBER;200807;110.2
NABBER;200808;97.2
NABBER;200809;95.3
NABBER;200810;90.7
NABBER;200811;26.4
NABBER;200812;61.1
NABBER;200901;90.8
NABBER;200902;26.1
NABBER;200903;45.0
NABBER;200904;10.6
NABBER;200905;78.3
NABBER;200906;72.3
NABBER;200907;191.5
