 

stn;time;rre150m0
TICMD;201702;71.8
TICMD;201703;316.4
TICMD;201704;165.4
TICMD;201705;189.6
TICMD;201706;270.6
TICMD;201707;86.0
TICMD;201708;343.2
TICMD;201709;201.0
TICMD;201710;3.8
TICMD;201711;110.2
TICMD;201712;124.8
TICMD;201801;187.8
TICMD;201802;11.4
TICMD;201803;223.8
TICMD;201804;199.2
TICMD;201805;227.4
TICMD;201806;42.8
TICMD;201807;93.6
TICMD;201808;160.2
TICMD;201809;63.8
TICMD;201810;702.0
TICMD;201811;368.4
TICMD;201812;19.6
TICMD;201901;3.4
TICMD;201902;38.2
TICMD;201903;67.6
TICMD;201904;505.8
TICMD;201905;87.2
TICMD;201906;250.8
TICMD;201907;127.6
TICMD;201908;281.4
TICMD;201909;141.0
TICMD;201910;448.4
TICMD;201911;509.0
TICMD;201912;234.2
TICMD;202001;3.6
TICMD;202002;3.6
TICMD;202003;80.4
TICMD;202004;88.0
TICMD;202005;232.8
TICMD;202006;239.0
TICMD;202007;51.4
TICMD;202008;330.2
TICMD;202009;56.6
TICMD;202010;621.0
TICMD;202011;2.2
TICMD;202012;191.8
TICMD;202101;147.6
TICMD;202102;63.0
TICMD;202103;12.4
