 

stn;time;rre150m0
BRZ;190101;88.3
BRZ;190102;29.9
BRZ;190103;85.6
BRZ;190104;204.1
BRZ;190105;57.3
BRZ;190106;138.9
BRZ;190107;141.6
BRZ;190108;140.0
BRZ;190109;139.1
BRZ;190110;105.9
BRZ;190111;27.6
BRZ;190112;96.0
BRZ;190201;86.4
BRZ;190202;77.3
BRZ;190203;199.3
BRZ;190204;105.2
BRZ;190205;165.5
BRZ;190206;95.1
BRZ;190207;142.2
BRZ;190208;151.4
BRZ;190209;122.3
BRZ;190210;120.0
BRZ;190211;28.7
BRZ;190212;113.3
BRZ;190301;74.4
BRZ;190302;35.0
BRZ;190303;87.1
BRZ;190304;112.6
BRZ;190305;92.5
BRZ;190306;109.7
BRZ;190307;185.3
BRZ;190308;109.5
BRZ;190309;67.8
BRZ;190310;146.1
BRZ;190311;92.6
BRZ;190312;43.7
BRZ;190401;53.6
BRZ;190402;102.6
BRZ;190403;84.5
BRZ;190404;126.5
BRZ;190405;142.1
BRZ;190406;109.2
BRZ;190407;42.7
BRZ;190408;119.0
BRZ;190409;100.5
BRZ;190410;53.6
BRZ;190411;42.7
BRZ;190412;56.0
BRZ;190501;58.1
BRZ;190502;28.0
BRZ;190503;100.4
BRZ;190504;128.9
BRZ;190505;104.1
BRZ;190506;117.2
BRZ;190507;152.9
BRZ;190508;211.6
BRZ;190509;161.0
BRZ;190510;141.6
BRZ;190511;128.0
BRZ;190512;44.4
BRZ;190601;68.2
BRZ;190602;98.3
BRZ;190603;87.9
BRZ;190604;46.1
BRZ;190605;137.4
BRZ;190606;111.5
BRZ;190607;162.7
BRZ;190608;61.6
BRZ;190609;43.5
BRZ;190610;49.0
BRZ;190611;89.1
BRZ;190612;125.0
BRZ;190701;117.3
BRZ;190702;50.4
BRZ;190703;94.1
BRZ;190704;117.1
BRZ;190705;75.1
BRZ;190706;105.2
BRZ;190707;164.2
BRZ;190708;126.7
BRZ;190709;42.3
BRZ;190710;101.0
BRZ;190711;18.2
BRZ;190712;114.6
BRZ;190801;48.6
BRZ;190802;123.4
BRZ;190803;36.8
BRZ;190804;94.6
BRZ;190805;117.7
BRZ;190806;66.5
BRZ;190807;206.4
BRZ;190808;84.4
BRZ;190809;134.3
BRZ;190810;6.3
BRZ;190811;81.6
BRZ;190812;47.7
BRZ;190901;36.3
BRZ;190902;20.2
BRZ;190903;65.4
BRZ;190904;47.2
BRZ;190905;85.9
BRZ;190906;203.9
BRZ;190907;161.8
BRZ;190908;154.6
BRZ;190909;105.2
BRZ;190910;110.9
BRZ;190911;47.0
BRZ;190912;137.6
BRZ;191001;228.1
BRZ;191002;104.6
BRZ;191003;16.8
BRZ;191004;85.1
BRZ;191005;106.9
BRZ;191006;189.7
BRZ;191007;163.7
BRZ;191008;206.7
BRZ;191009;186.4
BRZ;191010;85.1
BRZ;191011;168.5
BRZ;191012;112.3
BRZ;191101;19.7
BRZ;191102;74.2
BRZ;191103;126.3
BRZ;191104;37.0
BRZ;191105;90.5
BRZ;191106;130.1
BRZ;191107;35.1
BRZ;191108;51.5
BRZ;191109;105.6
BRZ;191110;52.9
BRZ;191111;47.0
BRZ;191112;60.0
BRZ;191201;86.8
BRZ;191202;40.9
BRZ;191203;72.3
BRZ;191204;43.9
BRZ;191205;159.7
BRZ;191206;195.1
BRZ;191207;146.7
BRZ;191208;142.4
BRZ;191209;89.0
BRZ;191210;130.6
BRZ;191211;55.5
BRZ;191212;65.3
BRZ;191301;79.0
BRZ;191302;27.8
BRZ;191303;57.6
BRZ;191304;92.6
BRZ;191305;104.3
BRZ;191306;190.9
BRZ;191307;234.6
BRZ;191308;173.3
BRZ;191309;104.9
BRZ;191310;23.1
BRZ;191311;109.9
BRZ;191312;102.0
BRZ;191401;168.6
BRZ;191402;51.4
BRZ;191403;207.4
BRZ;191404;54.2
BRZ;191405;180.7
BRZ;191406;132.8
BRZ;191407;239.8
BRZ;191408;196.6
BRZ;191409;103.6
BRZ;191410;82.3
BRZ;191411;74.5
BRZ;191412;43.6
BRZ;191501;114.1
BRZ;191502;53.1
BRZ;191503;101.9
BRZ;191504;90.6
BRZ;191505;87.1
BRZ;191506;139.5
BRZ;191507;177.6
BRZ;191508;119.0
BRZ;191509;148.1
BRZ;191510;28.9
BRZ;191511;60.1
BRZ;191512;116.8
BRZ;191601;78.4
BRZ;191602;139.9
BRZ;191603;97.9
BRZ;191604;135.8
BRZ;191605;89.1
BRZ;191606;168.8
BRZ;191607;142.2
BRZ;191608;102.3
BRZ;191609;124.1
BRZ;191610;128.2
BRZ;191611;84.3
BRZ;191612;141.9
BRZ;191701;58.6
BRZ;191702;9.8
BRZ;191703;85.8
BRZ;191704;91.4
BRZ;191705;39.0
BRZ;191706;98.2
BRZ;191707;203.2
BRZ;191708;211.4
BRZ;191709;43.8
BRZ;191710;224.8
BRZ;191711;121.4
BRZ;191712;27.2
BRZ;191801;54.6
BRZ;191802;34.4
BRZ;191803;102.5
BRZ;191804;97.5
BRZ;191805;53.3
BRZ;191806;246.0
BRZ;191807;62.2
BRZ;191808;163.3
BRZ;191809;159.5
BRZ;191810;98.2
BRZ;191811;73.9
BRZ;191812;302.5
BRZ;191901;58.4
BRZ;191902;67.2
BRZ;191903;125.7
BRZ;191904;141.7
BRZ;191905;81.7
BRZ;191906;140.8
BRZ;191907;180.6
BRZ;191908;22.7
BRZ;191909;37.4
BRZ;191910;95.7
BRZ;191911;129.6
BRZ;191912;217.6
BRZ;192001;129.2
BRZ;192002;17.7
BRZ;192003;44.3
BRZ;192004;70.8
BRZ;192005;127.6
BRZ;192006;122.2
BRZ;192007;142.0
BRZ;192008;84.9
BRZ;192009;99.0
BRZ;192010;8.7
BRZ;192011;4.2
BRZ;192012;49.7
BRZ;192101;59.2
BRZ;192102;16.8
BRZ;192103;62.7
BRZ;192104;85.4
BRZ;192105;89.0
BRZ;192106;161.5
BRZ;192107;74.3
BRZ;192108;119.2
BRZ;192109;68.4
BRZ;192110;26.7
BRZ;192111;112.5
BRZ;192112;44.7
BRZ;192201;154.9
BRZ;192202;99.7
BRZ;192203;63.4
BRZ;192204;221.6
BRZ;192205;33.4
BRZ;192206;175.6
BRZ;192207;182.7
BRZ;192208;173.9
BRZ;192209;159.4
BRZ;192210;118.6
BRZ;192211;126.2
BRZ;192212;123.6
BRZ;192301;77.5
BRZ;192302;94.7
BRZ;192303;29.3
BRZ;192304;83.3
BRZ;192305;192.3
BRZ;192306;121.1
BRZ;192307;121.3
BRZ;192308;86.2
BRZ;192309;77.7
BRZ;192310;113.9
BRZ;192311;133.8
BRZ;192312;217.3
BRZ;192401;47.6
BRZ;192402;20.3
BRZ;192403;33.4
BRZ;192404;120.8
BRZ;192405;136.0
BRZ;192406;196.0
BRZ;192407;104.5
BRZ;192408;176.6
BRZ;192409;96.8
BRZ;192410;125.2
BRZ;192411;42.4
BRZ;192412;51.8
BRZ;192501;36.7
BRZ;192502;72.7
BRZ;192503;33.5
BRZ;192504;104.4
BRZ;192505;82.3
BRZ;192506;157.7
BRZ;192507;140.9
BRZ;192508;194.7
BRZ;192509;128.3
BRZ;192510;22.8
BRZ;192511;64.5
BRZ;192512;134.8
BRZ;192601;82.8
BRZ;192602;64.1
BRZ;192603;94.0
BRZ;192604;67.5
BRZ;192605;177.9
BRZ;192606;270.4
BRZ;192607;212.2
BRZ;192608;81.4
BRZ;192609;66.6
BRZ;192610;108.6
BRZ;192611;58.3
BRZ;192612;67.6
BRZ;192701;80.1
BRZ;192702;75.7
BRZ;192703;136.1
BRZ;192704;124.5
BRZ;192705;75.2
BRZ;192706;148.5
BRZ;192707;217.7
BRZ;192708;188.5
BRZ;192709;145.2
BRZ;192710;14.4
BRZ;192711;45.2
BRZ;192712;41.6
BRZ;192801;79.5
BRZ;192802;118.1
BRZ;192803;63.6
BRZ;192804;129.3
BRZ;192805;121.9
BRZ;192806;107.4
BRZ;192807;67.4
BRZ;192808;131.6
BRZ;192809;118.9
BRZ;192810;134.6
BRZ;192811;194.0
BRZ;192812;97.9
BRZ;192901;31.3
BRZ;192902;21.0
BRZ;192903;28.5
BRZ;192904;137.2
BRZ;192905;101.4
BRZ;192906;128.9
BRZ;192907;162.0
BRZ;192908;189.9
BRZ;192909;57.7
BRZ;192910;155.7
BRZ;192911;56.0
BRZ;192912;144.4
BRZ;193001;40.8
BRZ;193002;10.8
BRZ;193003;80.9
BRZ;193004;132.7
BRZ;193005;193.1
BRZ;193006;103.7
BRZ;193007;264.8
BRZ;193008;139.6
BRZ;193009;170.7
BRZ;193010;233.6
BRZ;193011;153.0
BRZ;193012;59.9
BRZ;193101;103.4
BRZ;193102;117.2
BRZ;193103;134.4
BRZ;193104;48.8
BRZ;193105;102.4
BRZ;193106;162.7
BRZ;193107;211.1
BRZ;193108;170.4
BRZ;193109;74.3
BRZ;193110;22.8
BRZ;193111;25.8
BRZ;193112;52.0
BRZ;193201;91.3
BRZ;193202;10.5
BRZ;193203;108.8
BRZ;193204;106.9
BRZ;193205;197.2
BRZ;193206;126.3
BRZ;193207;170.0
BRZ;193208;115.5
BRZ;193209;77.5
BRZ;193210;141.0
BRZ;193211;29.1
BRZ;193212;12.2
BRZ;193301;38.0
BRZ;193302;107.2
BRZ;193303;58.8
BRZ;193304;99.7
BRZ;193305;174.5
BRZ;193306;178.3
BRZ;193307;165.5
BRZ;193308;42.2
BRZ;193309;158.6
BRZ;193310;115.2
BRZ;193311;58.0
BRZ;193312;12.2
BRZ;193401;71.4
BRZ;193402;5.4
BRZ;193403;72.1
BRZ;193404;43.1
BRZ;193405;63.6
BRZ;193406;204.0
BRZ;193407;155.6
BRZ;193408;157.6
BRZ;193409;84.5
BRZ;193410;85.1
BRZ;193411;37.0
BRZ;193412;87.4
BRZ;193501;81.1
BRZ;193502;160.5
BRZ;193503;99.3
BRZ;193504;144.9
BRZ;193505;97.5
BRZ;193506;77.0
BRZ;193507;102.6
BRZ;193508;134.8
BRZ;193509;68.3
BRZ;193510;231.5
BRZ;193511;60.8
BRZ;193512;126.9
BRZ;193601;109.5
BRZ;193602;89.5
BRZ;193603;50.3
BRZ;193604;110.4
BRZ;193605;145.5
BRZ;193606;169.0
BRZ;193607;332.9
BRZ;193608;138.2
BRZ;193609;290.3
BRZ;193610;122.1
BRZ;193611;57.4
BRZ;193612;190.3
BRZ;193701;92.0
BRZ;193702;218.5
BRZ;193703;107.1
BRZ;193704;142.7
BRZ;193705;85.6
BRZ;193706;124.3
BRZ;193707;141.7
BRZ;193708;162.7
BRZ;193709;140.7
BRZ;193710;72.6
BRZ;193711;81.8
BRZ;193712;74.0
BRZ;193801;130.3
BRZ;193802;69.9
BRZ;193803;33.4
BRZ;193804;51.4
BRZ;193805;128.1
BRZ;193806;143.8
BRZ;193807;200.3
BRZ;193808;178.9
BRZ;193809;82.4
BRZ;193810;79.9
BRZ;193811;34.4
BRZ;193812;54.8
BRZ;193901;62.6
BRZ;193902;18.3
BRZ;193903;144.4
BRZ;193904;110.9
BRZ;193905;226.5
BRZ;193906;151.6
BRZ;193907;205.4
BRZ;193908;149.3
BRZ;193909;71.7
BRZ;193910;186.5
BRZ;193911;300.9
BRZ;193912;63.8
BRZ;194001;88.5
BRZ;194002;116.2
BRZ;194003;108.0
BRZ;194004;126.8
BRZ;194005;138.2
BRZ;194006;121.7
BRZ;194007;211.5
BRZ;194008;121.8
BRZ;194009;212.2
BRZ;194010;99.6
BRZ;194011;114.6
BRZ;194012;100.8
BRZ;194101;53.9
BRZ;194102;80.2
BRZ;194103;55.7
BRZ;194104;99.4
BRZ;194105;190.0
BRZ;194106;120.6
BRZ;194107;187.4
BRZ;194108;233.6
BRZ;194109;52.3
BRZ;194110;154.2
BRZ;194111;54.1
BRZ;194112;50.4
BRZ;194201;100.8
BRZ;194202;29.8
BRZ;194203;54.7
BRZ;194204;71.5
BRZ;194205;125.6
BRZ;194206;83.1
BRZ;194207;122.8
BRZ;194208;158.1
BRZ;194209;94.3
BRZ;194210;103.4
BRZ;194211;47.4
BRZ;194212;27.6
BRZ;194301;79.5
BRZ;194302;55.9
BRZ;194303;66.9
BRZ;194304;90.5
BRZ;194305;83.2
BRZ;194306;153.5
BRZ;194307;98.6
BRZ;194308;76.6
BRZ;194309;100.7
BRZ;194310;0.0
BRZ;194311;101.1
BRZ;194312;48.5
BRZ;194401;87.8
BRZ;194402;135.0
BRZ;194403;63.3
BRZ;194404;72.6
BRZ;194405;44.7
BRZ;194406;130.2
BRZ;194407;128.9
BRZ;194408;83.3
BRZ;194409;120.6
BRZ;194410;135.5
BRZ;194411;354.9
BRZ;194412;131.3
BRZ;194501;38.7
BRZ;194502;134.7
BRZ;194503;131.7
BRZ;194504;115.9
BRZ;194505;118.0
BRZ;194506;153.1
BRZ;194507;92.5
BRZ;194508;149.4
BRZ;194509;201.2
BRZ;194510;35.4
BRZ;194511;53.3
BRZ;194512;104.4
BRZ;194601;66.1
BRZ;194602;134.0
BRZ;194603;45.6
BRZ;194604;7.7
BRZ;194605;119.5
BRZ;194606;212.7
BRZ;194607;202.2
BRZ;194608;147.7
BRZ;194609;62.5
BRZ;194610;65.1
BRZ;194611;50.5
BRZ;194612;63.5
BRZ;194701;73.8
BRZ;194702;20.5
BRZ;194703;179.3
BRZ;194704;37.5
BRZ;194705;94.7
BRZ;194706;144.0
BRZ;194707;190.0
BRZ;194708;106.2
BRZ;194709;43.2
BRZ;194710;43.2
BRZ;194711;237.1
BRZ;194712;118.9
BRZ;194801;188.5
BRZ;194802;90.5
BRZ;194803;33.7
BRZ;194804;33.6
BRZ;194805;32.8
BRZ;194806;208.5
BRZ;194807;230.7
BRZ;194808;222.1
BRZ;194809;134.1
BRZ;194810;49.1
BRZ;194811;47.3
BRZ;194812;27.9
BRZ;194901;73.7
BRZ;194902;16.4
BRZ;194903;68.6
BRZ;194904;130.9
BRZ;194905;91.9
BRZ;194906;85.2
BRZ;194907;56.0
BRZ;194908;101.5
BRZ;194909;112.1
BRZ;194910;37.3
BRZ;194911;83.2
BRZ;194912;81.2
BRZ;195001;79.2
BRZ;195002;78.2
BRZ;195003;21.1
BRZ;195004;127.0
BRZ;195005;65.0
BRZ;195006;120.4
BRZ;195007;107.4
BRZ;195008;140.7
BRZ;195009;151.5
BRZ;195010;25.9
BRZ;195011;232.4
BRZ;195012;43.9
BRZ;195101;108.4
BRZ;195102;98.8
BRZ;195103;125.1
BRZ;195104;86.3
BRZ;195105;131.0
BRZ;195106;178.8
BRZ;195107;139.6
BRZ;195108;164.7
BRZ;195109;75.5
BRZ;195110;63.9
BRZ;195111;134.2
BRZ;195112;61.4
BRZ;195201;86.3
BRZ;195202;125.7
BRZ;195203;136.4
BRZ;195204;66.4
BRZ;195205;76.0
BRZ;195206;181.9
BRZ;195207;98.6
BRZ;195208;170.5
BRZ;195209;99.9
BRZ;195210;217.1
BRZ;195211;287.6
BRZ;195212;138.6
BRZ;195301;35.6
BRZ;195302;36.0
BRZ;195303;4.5
BRZ;195304;125.6
BRZ;195305;164.3
BRZ;195306;203.2
BRZ;195307;158.9
BRZ;195308;109.6
BRZ;195309;100.7
BRZ;195310;69.4
BRZ;195311;35.3
BRZ;195312;56.1
BRZ;195401;135.8
BRZ;195402;81.7
BRZ;195403;27.7
BRZ;195404;175.9
BRZ;195405;133.0
BRZ;195406;127.1
BRZ;195407;138.4
BRZ;195408;205.0
BRZ;195409;184.9
BRZ;195410;91.3
BRZ;195411;69.1
BRZ;195412;249.6
BRZ;195501;168.7
BRZ;195502;189.9
BRZ;195503;41.9
BRZ;195504;44.8
BRZ;195505;132.8
BRZ;195506;141.5
BRZ;195507;203.2
BRZ;195508;180.5
BRZ;195509;94.9
BRZ;195510;55.4
BRZ;195511;15.3
BRZ;195512;138.5
BRZ;195601;137.9
BRZ;195602;16.1
BRZ;195603;72.7
BRZ;195604;187.8
BRZ;195605;184.0
BRZ;195606;165.5
BRZ;195607;190.4
BRZ;195608;181.3
BRZ;195609;107.5
BRZ;195610;117.2
BRZ;195611;45.0
BRZ;195612;16.4
BRZ;195701;47.1
BRZ;195702;168.2
BRZ;195703;47.9
BRZ;195704;61.0
BRZ;195705;113.7
BRZ;195706;141.1
BRZ;195707;198.6
BRZ;195708;141.6
BRZ;195709;173.9
BRZ;195710;37.0
BRZ;195711;43.8
BRZ;195712;61.1
BRZ;195801;119.5
BRZ;195802;260.7
BRZ;195803;85.1
BRZ;195804;112.8
BRZ;195805;73.1
BRZ;195806;129.0
BRZ;195807;119.1
BRZ;195808;199.5
BRZ;195809;112.6
BRZ;195810;162.7
BRZ;195811;74.8
BRZ;195812;84.2
BRZ;195901;92.7
BRZ;195902;12.4
BRZ;195903;67.9
BRZ;195904;61.7
BRZ;195905;63.1
BRZ;195906;135.7
BRZ;195907;207.1
BRZ;195908;104.5
BRZ;195909;52.7
BRZ;195910;114.3
BRZ;195911;42.2
BRZ;195912;90.3
BRZ;196001;82.6
BRZ;196002;80.6
BRZ;196003;69.5
BRZ;196004;64.0
BRZ;196005;100.8
BRZ;196006;257.0
BRZ;196007;200.4
BRZ;196008;230.6
BRZ;196009;161.6
BRZ;196010;135.6
BRZ;196011;117.4
BRZ;196012;51.7
BRZ;196101;84.2
BRZ;196102;116.6
BRZ;196103;53.7
BRZ;196104;115.7
BRZ;196105;114.0
BRZ;196106;112.2
