 

stn;time;rre150m0
TGLAN;201707;139.6
TGLAN;201708;114.8
TGLAN;201709;89.8
TGLAN;201710;29.0
TGLAN;201711;71.6
TGLAN;201712;61.8
TGLAN;201801;75.6
TGLAN;201802;-
TGLAN;201803;38.8
TGLAN;201804;8.2
TGLAN;201805;57.6
TGLAN;201806;55.4
TGLAN;201807;29.8
TGLAN;201808;72.2
TGLAN;201809;58.2
TGLAN;201810;40.4
TGLAN;201811;7.8
TGLAN;201812;79.2
TGLAN;201901;40.0
TGLAN;201902;25.2
TGLAN;201903;49.4
TGLAN;201904;28.6
TGLAN;201905;117.2
TGLAN;201906;63.4
TGLAN;201907;74.8
TGLAN;201908;128.0
TGLAN;201909;59.6
TGLAN;201910;94.8
TGLAN;201911;39.2
TGLAN;201912;37.6
TGLAN;202001;20.6
TGLAN;202002;86.0
TGLAN;202003;39.8
TGLAN;202004;12.2
TGLAN;202005;47.2
TGLAN;202006;79.6
TGLAN;202007;45.6
TGLAN;202008;122.2
TGLAN;202009;30.2
TGLAN;202010;68.8
TGLAN;202011;20.2
TGLAN;202012;58.0
TGLAN;202101;107.6
TGLAN;202102;35.4
TGLAN;202103;36.6
