 

stn;time;rre150m0
WER;196101;73.9
WER;196102;70.7
WER;196103;59.2
WER;196104;137.4
WER;196105;176.1
WER;196106;134.6
WER;196107;179.3
WER;196108;159.9
WER;196109;58.2
WER;196110;68.4
WER;196111;52.6
WER;196112;124.4
WER;196201;139.3
WER;196202;92.7
WER;196203;89.0
WER;196204;80.8
WER;196205;209.6
WER;196206;63.2
WER;196207;103.1
WER;196208;113.0
WER;196209;107.9
WER;196210;20.9
WER;196211;57.1
WER;196212;135.1
WER;196301;38.0
WER;196302;76.8
WER;196303;148.0
WER;196304;132.4
WER;196305;134.5
WER;196306;168.4
WER;196307;129.4
WER;196308;194.6
WER;196309;95.7
WER;196310;74.1
WER;196311;105.2
WER;196312;7.3
WER;196401;28.0
WER;196402;61.6
WER;196403;143.9
WER;196404;125.3
WER;196405;234.3
WER;196406;73.9
WER;196407;43.1
WER;196408;216.8
WER;196409;90.2
WER;196410;118.9
WER;196411;79.3
WER;196412;57.7
WER;196501;92.2
WER;196502;68.7
WER;196503;119.6
WER;196504;285.1
WER;196505;241.0
WER;196506;209.0
WER;196507;239.0
WER;196508;148.2
WER;196509;136.5
WER;196510;10.2
WER;196511;162.9
WER;196512;186.1
WER;196601;62.1
WER;196602;161.8
WER;196603;105.4
WER;196604;149.0
WER;196605;199.5
WER;196606;143.5
WER;196607;306.4
WER;196608;207.4
WER;196609;56.8
WER;196610;90.9
WER;196611;136.3
WER;196612;155.5
WER;196701;140.2
WER;196702;52.7
WER;196703;152.1
WER;196704;76.3
WER;196705;155.7
WER;196706;207.0
WER;196707;106.4
WER;196708;111.1
WER;196709;168.6
WER;196710;59.8
WER;196711;38.6
WER;196712;107.5
WER;196801;188.3
WER;196802;71.3
WER;196803;61.2
WER;196804;84.6
WER;196805;135.7
WER;196806;121.6
WER;196807;130.8
WER;196808;315.5
WER;196809;239.3
WER;196810;56.2
WER;196811;38.5
WER;196812;78.5
WER;196901;68.6
WER;196902;87.1
WER;196903;37.5
WER;196904;114.6
WER;196905;87.7
WER;196906;237.2
WER;196907;116.9
WER;196908;304.8
WER;196909;50.1
WER;196910;20.6
WER;196911;139.7
WER;196912;126.4
WER;197001;76.9
WER;197002;277.8
WER;197003;94.8
WER;197004;194.0
WER;197005;158.7
WER;197006;184.5
WER;197007;162.0
WER;197008;298.8
WER;197009;65.9
WER;197010;94.6
WER;197011;99.6
WER;197012;49.4
WER;197101;27.7
WER;197102;95.6
WER;197103;47.2
WER;197104;70.4
WER;197105;116.5
WER;197106;294.2
WER;197107;106.6
WER;197108;162.0
WER;197109;76.9
WER;197110;48.4
WER;197111;101.5
WER;197112;49.0
WER;197201;26.8
WER;197202;25.2
WER;197203;19.3
WER;197204;176.6
WER;197205;109.5
WER;197206;153.1
WER;197207;232.3
WER;197208;150.7
WER;197209;62.1
WER;197210;117.7
WER;197211;278.1
WER;197212;25.4
WER;197301;59.9
WER;197302;97.4
WER;197303;37.8
WER;197304;106.2
WER;197305;104.0
WER;197306;198.8
WER;197307;306.5
WER;197308;132.1
WER;197309;102.9
WER;197310;144.4
WER;197311;135.7
WER;197312;75.2
WER;197401;98.3
WER;197402;104.8
WER;197403;60.9
WER;197404;80.5
WER;197405;174.3
WER;197406;228.9
WER;197407;188.0
WER;197408;205.2
WER;197409;131.5
WER;197410;246.2
WER;197411;169.3
WER;197412;147.3
WER;197501;77.9
WER;197502;31.3
WER;197503;82.2
WER;197504;135.2
WER;197505;103.4
WER;197506;257.7
WER;197507;148.2
WER;197508;393.1
WER;197509;133.1
WER;197510;84.5
WER;197511;139.7
WER;197512;9.5
WER;197601;84.7
WER;197602;41.8
WER;197603;25.0
WER;197604;79.1
WER;197605;136.4
WER;197606;70.3
WER;197607;331.1
WER;197608;124.0
WER;197609;167.3
WER;197610;76.9
WER;197611;98.6
WER;197612;124.2
WER;197701;89.6
WER;197702;170.5
WER;197703;88.2
WER;197704;181.4
WER;197705;76.5
WER;197706;195.9
WER;197707;235.1
WER;197708;140.4
WER;197709;81.4
WER;197710;73.0
WER;197711;118.8
WER;197712;88.8
WER;197801;86.5
WER;197802;145.7
WER;197803;177.8
WER;197804;79.2
WER;197805;215.0
WER;197806;172.3
WER;197807;126.7
WER;197808;257.2
WER;197809;90.8
WER;197810;106.9
WER;197811;32.8
WER;197812;94.2
WER;197901;120.9
WER;197902;126.8
WER;197903;161.7
WER;197904;154.4
WER;197905;71.2
WER;197906;235.7
WER;197907;83.3
WER;197908;164.2
WER;197909;116.4
WER;197910;93.3
WER;197911;202.2
WER;197912;118.8
WER;198001;156.6
WER;198002;100.7
WER;198003;103.1
WER;198004;164.9
WER;198005;107.2
WER;198006;307.1
WER;198007;180.7
WER;198008;91.6
WER;198009;67.4
WER;198010;186.9
WER;198011;63.6
WER;198012;100.0
WER;198101;123.9
WER;198102;45.4
WER;198103;148.1
WER;198104;45.0
WER;198105;163.1
WER;198106;66.2
WER;198107;353.8
WER;198108;116.4
WER;198109;271.5
WER;198110;231.4
WER;198111;96.5
WER;198112;246.8
WER;198201;192.9
WER;198202;29.8
WER;198203;82.6
WER;198204;55.2
WER;198205;76.2
WER;198206;258.5
WER;198207;235.6
WER;198208;250.5
WER;198209;113.7
WER;198210;120.6
WER;198211;52.5
WER;198212;129.6
WER;198301;105.6
WER;198302;92.0
WER;198303;67.6
WER;198304;180.6
WER;198305;190.3
WER;198306;78.3
WER;198307;66.2
WER;198308;190.3
WER;198309;174.7
WER;198310;70.0
WER;198311;93.1
WER;198312;61.1
WER;198401;122.1
WER;198402;88.5
WER;198403;42.1
WER;198404;62.5
WER;198405;126.9
WER;198406;164.8
WER;198407;145.3
WER;198408;194.9
WER;198409;415.5
WER;198410;75.2
WER;198411;83.2
WER;198412;100.2
WER;198501;121.3
WER;198502;75.9
WER;198503;89.4
WER;198504;119.6
WER;198505;190.6
WER;198506;186.1
WER;198507;70.9
WER;198508;199.2
WER;198509;92.5
WER;198510;12.0
WER;198511;123.5
WER;198512;59.0
WER;198601;179.1
WER;198602;52.6
WER;198603;132.7
WER;198604;216.7
WER;198605;241.8
WER;198606;179.5
WER;198607;201.4
WER;198608;196.6
WER;198609;39.8
