 

stn;time;rre150m0
DLALB;199411;29.7
DLALB;199412;85.3
DLALB;199501;110.9
DLALB;199502;67.9
DLALB;199503;104.1
DLALB;199504;71.6
DLALB;199505;147.1
DLALB;199506;110.0
DLALB;199507;89.3
DLALB;199508;134.2
DLALB;199509;96.4
DLALB;199510;30.3
DLALB;199511;105.8
DLALB;199512;62.6
DLALB;199601;4.2
DLALB;199602;44.3
DLALB;199603;31.5
DLALB;199604;37.2
DLALB;199605;115.7
DLALB;199606;72.5
DLALB;199607;144.1
DLALB;199608;116.4
DLALB;199609;44.0
DLALB;199610;76.0
DLALB;199611;87.5
DLALB;199612;47.6
DLALB;199701;6.3
DLALB;199702;78.3
DLALB;199703;45.9
DLALB;199704;50.2
DLALB;199705;34.5
DLALB;199706;143.3
DLALB;199707;131.7
DLALB;199708;36.1
DLALB;199709;41.1
DLALB;199710;68.3
DLALB;199711;22.6
DLALB;199712;113.6
DLALB;199801;69.7
DLALB;199802;27.7
DLALB;199803;122.5
DLALB;199804;72.6
DLALB;199805;48.5
DLALB;199806;66.1
DLALB;199807;60.7
DLALB;199808;49.7
DLALB;199809;93.0
DLALB;199810;190.1
DLALB;199811;82.8
DLALB;199812;45.5
DLALB;199901;57.1
DLALB;199902;96.9
DLALB;199903;68.1
DLALB;199904;75.1
DLALB;199905;137.5
DLALB;199906;134.6
DLALB;199907;96.5
DLALB;199908;72.9
DLALB;199909;54.8
DLALB;199910;58.6
DLALB;199911;86.0
DLALB;199912;168.1
DLALB;200001;51.2
DLALB;200002;102.6
DLALB;200003;124.9
DLALB;200004;47.4
DLALB;200005;136.6
DLALB;200006;42.6
DLALB;200007;168.3
DLALB;200008;109.2
DLALB;200009;110.7
DLALB;200010;59.0
DLALB;200011;63.5
DLALB;200012;30.2
DLALB;200101;97.0
DLALB;200102;53.3
DLALB;200103;150.2
DLALB;200104;77.3
DLALB;200105;81.7
DLALB;200106;131.5
DLALB;200107;81.1
DLALB;200108;78.6
DLALB;200109;144.7
DLALB;200110;73.1
DLALB;200111;106.7
DLALB;200112;71.4
DLALB;200201;18.9
DLALB;200202;101.0
DLALB;200203;94.5
DLALB;200204;62.0
DLALB;200205;173.5
DLALB;200206;64.4
DLALB;200207;107.7
DLALB;200208;130.0
DLALB;200209;138.9
DLALB;200210;113.3
DLALB;200211;136.2
DLALB;200212;54.1
DLALB;200301;101.4
DLALB;200302;26.9
DLALB;200303;31.1
DLALB;200304;47.6
DLALB;200305;151.6
DLALB;200306;90.4
DLALB;200307;70.4
DLALB;200308;53.5
DLALB;200309;27.6
DLALB;200310;114.9
DLALB;200311;70.8
DLALB;200312;54.4
DLALB;200401;137.7
DLALB;200402;36.6
DLALB;200403;38.7
DLALB;200404;33.7
DLALB;200405;79.3
DLALB;200406;91.6
DLALB;200407;116.1
DLALB;200408;154.4
DLALB;200409;52.8
DLALB;200410;132.7
DLALB;200411;33.0
DLALB;200412;81.3
DLALB;200501;66.6
DLALB;200502;67.5
DLALB;200503;79.6
DLALB;200504;82.6
DLALB;200505;135.1
DLALB;200506;43.6
DLALB;200507;100.8
DLALB;200508;88.9
DLALB;200509;56.5
DLALB;200510;53.9
DLALB;200511;38.0
DLALB;200512;65.1
DLALB;200601;21.9
DLALB;200602;56.7
DLALB;200603;123.3
DLALB;200604;105.1
DLALB;200605;134.0
DLALB;200606;62.7
DLALB;200607;110.5
DLALB;200608;142.5
DLALB;200609;70.3
DLALB;200610;51.2
DLALB;200611;30.7
DLALB;200612;47.9
DLALB;200701;69.3
DLALB;200702;80.5
DLALB;200703;69.9
DLALB;200704;5.2
DLALB;200705;176.9
DLALB;200706;152.9
DLALB;200707;123.9
DLALB;200708;86.7
DLALB;200709;59.1
DLALB;200710;14.9
DLALB;200711;80.0
DLALB;200712;79.3
DLALB;200801;70.8
DLALB;200802;30.0
DLALB;200803;79.7
DLALB;200804;133.4
DLALB;200805;29.4
DLALB;200806;136.7
DLALB;200807;95.9
DLALB;200808;90.6
DLALB;200809;47.3
DLALB;200810;97.5
DLALB;200811;40.7
DLALB;200812;51.7
DLALB;200901;37.1
DLALB;200902;73.2
DLALB;200903;97.9
DLALB;200904;14.8
DLALB;200905;124.1
DLALB;200906;92.1
DLALB;200907;171.8
DLALB;200908;51.7
DLALB;200909;39.1
DLALB;200910;111.6
