 

stn;time;rre150m0
DLOYM;199310;93.2
DLOYM;199311;42.0
DLOYM;199312;137.7
DLOYM;199401;117.3
DLOYM;199402;46.5
DLOYM;199403;124.7
DLOYM;199404;176.2
DLOYM;199405;115.0
DLOYM;199406;173.3
DLOYM;199407;123.4
DLOYM;199408;164.1
DLOYM;199409;157.3
DLOYM;199410;80.7
DLOYM;199411;99.5
DLOYM;199412;157.7
DLOYM;199501;163.7
DLOYM;199502;112.1
DLOYM;199503;156.8
DLOYM;199504;149.4
DLOYM;199505;177.7
DLOYM;199506;227.9
DLOYM;199507;151.4
DLOYM;199508;272.7
DLOYM;199509;105.0
DLOYM;199510;12.6
DLOYM;199511;159.9
DLOYM;199512;147.7
DLOYM;199601;7.1
DLOYM;199602;65.7
DLOYM;199603;75.5
DLOYM;199604;68.0
DLOYM;199605;157.7
DLOYM;199606;147.1
DLOYM;199607;195.3
DLOYM;199608;188.7
DLOYM;199609;142.5
DLOYM;199610;145.0
DLOYM;199611;173.7
DLOYM;199612;64.7
DLOYM;199701;2.0
DLOYM;199702;104.3
DLOYM;199703;96.8
DLOYM;199704;122.1
DLOYM;199705;56.2
DLOYM;199706;172.0
DLOYM;199707;383.5
DLOYM;199708;86.5
DLOYM;199709;62.7
DLOYM;199710;110.9
DLOYM;199711;26.8
DLOYM;199712;144.1
DLOYM;199801;92.5
DLOYM;199802;31.4
DLOYM;199803;136.4
DLOYM;199804;79.8
DLOYM;199805;61.9
DLOYM;199806;150.4
DLOYM;199807;140.6
DLOYM;199808;94.3
DLOYM;199809;183.3
DLOYM;199810;198.6
DLOYM;199811;177.0
DLOYM;199812;93.2
DLOYM;199901;121.0
DLOYM;199902;255.1
DLOYM;199903;98.5
DLOYM;199904;143.0
DLOYM;199905;403.0
DLOYM;199906;222.4
DLOYM;199907;128.6
DLOYM;199908;128.7
DLOYM;199909;122.5
DLOYM;199910;53.3
DLOYM;199911;136.8
DLOYM;199912;190.0
DLOYM;200001;72.6
DLOYM;200002;140.9
DLOYM;200003;203.3
DLOYM;200004;55.4
DLOYM;200005;191.8
DLOYM;200006;176.8
DLOYM;200007;312.0
DLOYM;200008;244.8
DLOYM;200009;178.8
DLOYM;200010;119.5
DLOYM;200011;93.8
DLOYM;200012;35.2
DLOYM;200101;78.0
DLOYM;200102;136.4
DLOYM;200103;222.6
DLOYM;200104;174.4
DLOYM;200105;104.9
DLOYM;200106;318.0
DLOYM;200107;97.4
DLOYM;200108;110.6
DLOYM;200109;231.8
DLOYM;200110;56.3
DLOYM;200111;138.2
DLOYM;200112;149.5
DLOYM;200201;21.3
DLOYM;200202;136.5
DLOYM;200203;127.3
DLOYM;200204;90.7
DLOYM;200205;155.8
DLOYM;200206;153.9
DLOYM;200207;240.0
DLOYM;200208;403.0
DLOYM;200209;271.5
DLOYM;200210;135.2
DLOYM;200211;223.2
DLOYM;200212;91.6
DLOYM;200301;135.3
DLOYM;200302;76.0
DLOYM;200303;66.4
DLOYM;200304;63.6
DLOYM;200305;146.6
DLOYM;200306;71.0
DLOYM;200307;164.5
DLOYM;200308;91.3
DLOYM;200309;76.0
DLOYM;200310;200.8
DLOYM;200311;80.9
DLOYM;200312;64.5
DLOYM;200401;185.5
DLOYM;200402;69.5
DLOYM;200403;91.2
DLOYM;200404;156.5
DLOYM;200405;145.2
DLOYM;200406;198.3
DLOYM;200407;166.3
DLOYM;200408;109.4
DLOYM;200409;149.0
DLOYM;200410;95.5
DLOYM;200411;71.2
DLOYM;200412;71.3
DLOYM;200501;115.3
DLOYM;200502;113.0
DLOYM;200503;93.0
DLOYM;200504;117.9
DLOYM;200505;160.2
DLOYM;200506;110.0
DLOYM;200507;176.0
DLOYM;200508;309.3
DLOYM;200509;167.9
DLOYM;200510;58.6
DLOYM;200511;56.5
DLOYM;200512;131.9
DLOYM;200601;58.2
DLOYM;200602;79.8
DLOYM;200603;186.8
DLOYM;200604;185.3
DLOYM;200605;152.3
DLOYM;200606;70.5
DLOYM;200607;174.9
DLOYM;200608;277.1
DLOYM;200609;126.8
DLOYM;200610;59.6
DLOYM;200611;66.1
DLOYM;200612;77.2
DLOYM;200701;113.7
DLOYM;200702;86.4
DLOYM;200703;106.7
DLOYM;200704;13.8
DLOYM;200705;249.6
DLOYM;200706;134.6
DLOYM;200707;318.7
DLOYM;200708;189.8
DLOYM;200709;172.9
DLOYM;200710;47.3
DLOYM;200711;141.6
DLOYM;200712;98.5
DLOYM;200801;56.8
DLOYM;200802;51.8
DLOYM;200803;176.8
DLOYM;200804;176.8
DLOYM;200805;73.7
DLOYM;200806;86.8
DLOYM;200807;239.6
DLOYM;200808;131.6
DLOYM;200809;48.1
DLOYM;200810;121.2
DLOYM;200811;79.6
DLOYM;200812;77.8
DLOYM;200901;33.1
DLOYM;200902;120.5
DLOYM;200903;140.4
DLOYM;200904;57.8
DLOYM;200905;160.0
DLOYM;200906;268.1
DLOYM;200907;166.8
DLOYM;200908;103.5
DLOYM;200909;111.7
DLOYM;200910;107.9
DLOYM;200911;116.4
DLOYM;200912;114.5
DLOYM;201001;87.5
DLOYM;201002;77.3
DLOYM;201003;88.2
DLOYM;201004;40.0
DLOYM;201005;161.8
DLOYM;201006;247.9
DLOYM;201007;427.8
DLOYM;201008;325.0
DLOYM;201009;70.6
DLOYM;201010;97.0
DLOYM;201011;95.0
DLOYM;201012;120.2
DLOYM;201101;85.3
DLOYM;201102;33.1
DLOYM;201103;62.2
DLOYM;201104;69.8
DLOYM;201105;165.0
DLOYM;201106;306.4
DLOYM;201107;242.0
DLOYM;201108;165.0
DLOYM;201109;134.3
DLOYM;201110;103.7
DLOYM;201111;0.1
DLOYM;201112;229.6
DLOYM;201201;168.9
DLOYM;201202;69.2
DLOYM;201203;42.5
DLOYM;201204;123.1
DLOYM;201205;107.0
DLOYM;201206;189.3
DLOYM;201207;124.6
DLOYM;201208;281.3
DLOYM;201209;136.5
DLOYM;201210;120.4
