 

stn;time;rre150m0
CTO;190101;1.1
CTO;190102;56.3
CTO;190103;343.2
CTO;190104;303.3
CTO;190105;158.6
CTO;190106;376.9
CTO;190107;463.1
CTO;190108;121.1
CTO;190109;134.5
CTO;190110;281.8
CTO;190111;43.9
CTO;190112;195.4
CTO;190201;41.0
CTO;190202;148.5
CTO;190203;185.5
CTO;190204;206.9
CTO;190205;154.4
CTO;190206;279.3
CTO;190207;84.8
CTO;190208;286.0
CTO;190209;265.0
CTO;190210;226.6
CTO;190211;129.4
CTO;190212;89.6
CTO;190301;112.1
CTO;190302;32.4
CTO;190303;99.4
CTO;190304;258.6
CTO;190305;514.0
CTO;190306;303.2
CTO;190307;152.7
CTO;190308;215.5
CTO;190309;82.4
CTO;190310;370.1
CTO;190311;117.3
CTO;190312;190.2
CTO;190401;39.2
CTO;190402;179.8
CTO;190403;284.8
CTO;190404;102.2
CTO;190405;191.2
CTO;190406;227.6
CTO;190407;147.7
CTO;190408;76.2
CTO;190409;390.8
CTO;190410;82.5
CTO;190411;62.1
CTO;190412;82.1
CTO;190501;35.9
CTO;190502;50.9
CTO;190503;84.7
CTO;190504;285.3
CTO;190505;373.9
CTO;190506;214.7
CTO;190507;183.8
CTO;190508;545.0
CTO;190509;348.7
CTO;190510;16.8
CTO;190511;226.6
CTO;190512;10.4
CTO;190601;16.1
CTO;190602;90.1
CTO;190603;140.4
CTO;190604;190.1
CTO;190605;159.2
CTO;190606;47.9
CTO;190607;387.0
CTO;190608;25.9
CTO;190609;60.2
CTO;190610;188.3
CTO;190611;435.9
CTO;190612;10.1
CTO;190701;31.3
CTO;190702;30.4
CTO;190703;6.1
CTO;190704;137.0
CTO;190705;144.6
CTO;190706;205.2
CTO;190707;197.5
CTO;190708;64.7
CTO;190709;412.3
CTO;190710;672.4
CTO;190711;45.0
CTO;190712;119.6
CTO;190801;3.7
CTO;190802;25.7
CTO;190803;116.8
CTO;190804;195.5
CTO;190805;277.1
CTO;190806;196.5
CTO;190807;329.7
CTO;190808;374.6
CTO;190809;126.6
CTO;190810;119.2
CTO;190811;32.6
CTO;190812;29.8
CTO;190901;2.0
CTO;190902;132.5
CTO;190903;135.0
CTO;190904;77.1
CTO;190905;112.3
CTO;190906;380.7
CTO;190907;226.1
CTO;190908;172.0
CTO;190909;144.1
CTO;190910;324.2
CTO;190911;66.6
CTO;190912;144.3
CTO;191001;48.7
CTO;191002;91.2
CTO;191003;175.3
CTO;191004;323.2
CTO;191005;253.1
CTO;191006;351.8
CTO;191007;248.6
CTO;191008;270.3
CTO;191009;78.1
CTO;191010;237.6
CTO;191011;127.7
CTO;191012;455.8
CTO;191101;14.0
CTO;191102;19.4
CTO;191103;125.9
CTO;191104;71.5
CTO;191105;114.3
CTO;191106;409.5
CTO;191107;21.1
CTO;191108;315.9
CTO;191109;247.9
CTO;191110;352.1
CTO;191111;314.6
CTO;191112;112.5
CTO;191201;108.2
CTO;191202;131.0
CTO;191203;248.5
CTO;191204;90.8
CTO;191205;144.0
CTO;191206;255.3
CTO;191207;278.0
CTO;191208;447.0
CTO;191209;47.0
CTO;191210;299.3
CTO;191211;72.8
CTO;191212;34.1
CTO;191301;17.4
CTO;191302;6.1
CTO;191303;296.7
CTO;191304;286.9
CTO;191305;230.2
CTO;191306;118.7
CTO;191307;251.2
CTO;191308;203.2
CTO;191309;300.2
CTO;191310;464.8
CTO;191311;111.2
CTO;191312;14.0
CTO;191401;14.7
CTO;191402;205.1
CTO;191403;216.8
CTO;191404;109.2
CTO;191405;486.7
CTO;191406;193.0
CTO;191407;407.4
CTO;191408;215.7
CTO;191409;72.6
CTO;191410;394.1
CTO;191411;47.7
CTO;191412;210.2
CTO;191501;92.4
CTO;191502;201.4
CTO;191503;95.1
CTO;191504;111.0
CTO;191505;336.7
CTO;191506;303.0
CTO;191507;226.6
CTO;191508;78.9
CTO;191509;363.1
CTO;191510;42.7
CTO;191511;58.8
CTO;191512;179.8
CTO;191601;2.8
CTO;191602;211.6
CTO;191603;481.3
CTO;191604;159.3
CTO;191605;313.6
CTO;191606;377.8
CTO;191607;113.8
CTO;191608;269.0
CTO;191609;186.3
CTO;191610;158.1
CTO;191611;323.3
CTO;191612;292.2
CTO;191701;75.9
CTO;191702;14.3
CTO;191703;172.0
CTO;191704;286.1
CTO;191705;520.2
CTO;191706;112.3
CTO;191707;226.6
CTO;191708;424.3
CTO;191709;19.9
CTO;191710;334.3
CTO;191711;9.2
CTO;191712;49.5
CTO;191801;69.6
CTO;191802;22.8
CTO;191803;191.4
CTO;191804;352.1
CTO;191805;178.5
CTO;191806;224.3
CTO;191807;164.7
CTO;191808;221.3
CTO;191809;317.1
CTO;191810;265.5
CTO;191811;142.9
CTO;191812;45.6
CTO;191901;279.0
CTO;191902;54.2
CTO;191903;153.1
CTO;191904;259.5
CTO;191905;21.9
CTO;191906;108.0
CTO;191907;231.4
CTO;191908;154.8
CTO;191909;220.2
CTO;191910;50.9
CTO;191911;290.7
CTO;191912;46.6
CTO;192001;130.9
CTO;192002;11.3
CTO;192003;311.2
CTO;192004;376.2
CTO;192005;221.2
CTO;192006;170.0
CTO;192007;487.3
CTO;192008;374.5
CTO;192009;555.9
CTO;192010;211.5
CTO;192011;138.4
CTO;192012;56.8
CTO;192101;105.2
CTO;192102;48.2
CTO;192103;85.3
CTO;192104;91.4
CTO;192105;311.1
CTO;192106;86.2
CTO;192107;40.0
CTO;192108;318.6
CTO;192109;34.3
CTO;192110;4.9
CTO;192111;11.3
CTO;192112;5.3
CTO;192201;56.7
CTO;192202;23.9
CTO;192203;394.0
CTO;192204;223.4
CTO;192205;82.1
CTO;192206;162.9
CTO;192207;213.1
CTO;192208;270.5
CTO;192209;379.4
CTO;192210;187.1
CTO;192211;16.2
CTO;192212;296.2
CTO;192301;7.6
CTO;192302;8.7
CTO;192303;25.7
CTO;192304;265.5
CTO;192305;327.2
CTO;192306;205.0
CTO;192307;121.2
CTO;192308;82.9
CTO;192309;292.5
CTO;192310;447.7
CTO;192311;341.6
CTO;192312;39.9
CTO;192401;59.1
CTO;192402;54.2
CTO;192403;169.2
CTO;192404;171.8
CTO;192405;253.2
CTO;192406;211.8
CTO;192407;163.4
CTO;192408;368.2
CTO;192409;265.9
CTO;192410;189.1
CTO;192411;66.8
CTO;192412;135.2
CTO;192501;8.5
CTO;192502;370.7
CTO;192503;131.5
CTO;192504;176.9
CTO;192505;291.9
CTO;192506;35.2
CTO;192507;297.6
CTO;192508;315.3
CTO;192509;250.3
CTO;192510;185.1
CTO;192511;84.7
CTO;192512;87.5
CTO;192601;71.3
CTO;192602;232.0
CTO;192603;110.0
CTO;192604;182.8
CTO;192605;503.7
CTO;192606;228.0
CTO;192607;173.7
CTO;192608;60.3
CTO;192609;162.0
CTO;192610;293.5
CTO;192611;770.6
CTO;192612;24.9
CTO;192701;129.4
CTO;192702;62.5
CTO;192703;242.1
CTO;192704;212.4
CTO;192705;148.4
CTO;192706;300.1
CTO;192707;136.2
CTO;192708;146.9
CTO;192709;287.5
CTO;192710;78.5
CTO;192711;384.4
CTO;192712;135.9
CTO;192801;48.7
CTO;192802;0.2
CTO;192803;261.9
CTO;192804;436.4
CTO;192805;283.8
CTO;192806;153.6
CTO;192807;188.5
CTO;192808;326.2
CTO;192809;121.7
CTO;192810;643.6
CTO;192811;138.3
CTO;192812;39.2
CTO;192901;37.2
CTO;192902;6.1
CTO;192903;14.8
CTO;192904;443.4
CTO;192905;295.8
CTO;192906;236.9
CTO;192907;139.7
CTO;192908;226.4
CTO;192909;10.8
CTO;192910;294.0
CTO;192911;131.1
CTO;192912;132.8
CTO;193001;132.1
CTO;193002;29.6
CTO;193003;125.9
CTO;193004;299.8
CTO;193005;326.3
CTO;193006;376.7
CTO;193007;385.2
CTO;193008;153.8
CTO;193009;335.7
CTO;193010;68.2
CTO;193011;165.2
CTO;193012;32.1
CTO;193101;34.4
CTO;193102;154.8
CTO;193103;78.9
CTO;193104;122.4
CTO;193105;377.7
CTO;193106;164.1
CTO;193107;191.1
CTO;193108;255.4
