 

stn;time;rre150m0
IYWEL;195112;17.3
IYWEL;195201;30.4
IYWEL;195202;28.2
IYWEL;195203;34.0
IYWEL;195204;36.5
IYWEL;195205;50.3
IYWEL;195206;106.4
IYWEL;195207;98.0
IYWEL;195208;130.3
IYWEL;195209;92.8
IYWEL;195210;101.3
IYWEL;195211;69.2
IYWEL;195212;35.7
IYWEL;195301;9.1
IYWEL;195302;15.0
IYWEL;195303;0.0
IYWEL;195304;60.0
IYWEL;195305;14.0
IYWEL;195306;140.0
IYWEL;195307;198.8
IYWEL;195308;110.3
IYWEL;195309;70.9
IYWEL;195310;78.6
IYWEL;195311;6.2
IYWEL;195312;18.3
IYWEL;195401;32.7
IYWEL;195402;1.2
IYWEL;195403;55.6
IYWEL;195404;47.5
IYWEL;195405;76.1
IYWEL;195406;136.1
IYWEL;195407;141.5
IYWEL;195408;100.0
IYWEL;195409;58.3
IYWEL;195410;17.2
IYWEL;195411;16.2
IYWEL;195412;162.3
