 

stn;time;rre150m0
MEB;197401;74.3
MEB;197402;136.5
MEB;197403;50.1
MEB;197404;69.9
MEB;197405;123.6
MEB;197406;119.8
MEB;197407;104.3
MEB;197408;127.1
MEB;197409;86.3
MEB;197410;176.7
MEB;197411;140.7
MEB;197412;177.6
MEB;197501;98.5
MEB;197502;33.9
MEB;197503;143.7
MEB;197504;121.6
MEB;197505;121.7
MEB;197506;163.7
MEB;197507;162.7
MEB;197508;198.0
MEB;197509;93.5
MEB;197510;78.0
MEB;197511;135.6
MEB;197512;24.9
MEB;197601;70.3
MEB;197602;45.3
MEB;197603;30.6
MEB;197604;108.0
MEB;197605;87.2
MEB;197606;42.3
MEB;197607;210.4
MEB;197608;49.3
MEB;197609;78.1
MEB;197610;58.4
MEB;197611;75.7
MEB;197612;151.9
MEB;197701;111.1
MEB;197702;147.0
MEB;197703;81.6
MEB;197704;277.8
MEB;197705;108.9
MEB;197706;147.2
MEB;197707;163.9
MEB;197708;160.0
MEB;197709;60.0
MEB;197710;83.8
MEB;197711;201.7
MEB;197712;106.3
MEB;197801;115.2
MEB;197802;133.0
MEB;197803;214.4
MEB;197804;90.5
MEB;197805;169.9
MEB;197806;173.1
MEB;197807;95.1
MEB;197808;158.8
MEB;197809;83.1
MEB;197810;90.3
MEB;197811;46.5
MEB;197812;144.1
MEB;197901;129.8
MEB;197902;100.3
MEB;197903;147.1
MEB;197904;130.3
MEB;197905;95.5
MEB;197906;169.2
MEB;197907;57.4
MEB;197908;152.8
MEB;197909;146.4
MEB;197910;124.4
MEB;197911;228.1
MEB;197912;218.5
MEB;198001;127.1
MEB;198002;127.6
MEB;198003;83.9
MEB;198004;116.5
MEB;198005;107.9
MEB;198006;213.6
MEB;198007;189.2
MEB;198008;146.1
MEB;198009;80.7
MEB;198010;217.3
MEB;198011;96.0
MEB;198012;79.4
MEB;198101;199.6
MEB;198102;64.7
MEB;198103;134.4
MEB;198104;50.2
MEB;198105;134.0
MEB;198106;114.1
MEB;198107;184.0
MEB;198108;86.2
MEB;198109;142.5
MEB;198110;221.8
MEB;198111;87.7
MEB;198112;239.9
MEB;198201;240.1
MEB;198202;47.2
MEB;198203;90.3
MEB;198204;67.1
MEB;198205;62.2
MEB;198206;165.8
MEB;198207;281.8
MEB;198208;213.9
MEB;198209;78.7
MEB;198210;158.4
MEB;198211;70.7
MEB;198212;163.7
MEB;198301;92.4
MEB;198302;79.6
MEB;198303;78.2
MEB;198304;167.5
MEB;198305;151.8
MEB;198306;98.8
MEB;198307;40.7
MEB;198308;133.9
MEB;198309;147.9
MEB;198310;66.3
MEB;198311;184.4
MEB;198312;54.1
MEB;198401;174.6
MEB;198402;138.7
MEB;198403;60.5
MEB;198404;76.5
MEB;198405;138.5
MEB;198406;85.8
MEB;198407;106.5
MEB;198408;151.6
MEB;198409;247.0
MEB;198410;54.1
MEB;198411;98.1
MEB;198412;78.7
MEB;198501;107.6
MEB;198502;80.6
MEB;198503;92.8
MEB;198504;132.2
MEB;198505;203.0
MEB;198506;202.5
MEB;198507;45.0
MEB;198508;127.6
MEB;198509;67.2
MEB;198510;10.7
MEB;198511;221.7
MEB;198512;56.0
MEB;198601;183.5
MEB;198602;69.2
MEB;198603;123.0
MEB;198604;176.1
MEB;198605;196.5
MEB;198606;170.0
MEB;198607;120.0
MEB;198608;143.9
MEB;198609;50.0
MEB;198610;106.4
MEB;198611;67.4
MEB;198612;100.3
MEB;198701;86.5
MEB;198702;80.3
MEB;198703;114.2
MEB;198704;99.1
MEB;198705;182.5
MEB;198706;217.8
MEB;198707;115.8
MEB;198708;75.0
MEB;198709;126.4
MEB;198710;46.3
MEB;198711;106.1
MEB;198712;53.2
MEB;198801;89.4
MEB;198802;96.3
MEB;198803;203.8
MEB;198804;61.7
MEB;198805;178.2
MEB;198806;142.0
MEB;198807;110.5
MEB;198808;122.7
MEB;198809;73.3
MEB;198810;135.9
MEB;198811;61.7
MEB;198812;105.3
