 

stn;time;rre150m0
PDM;190010;84.8
PDM;190011;70.5
PDM;190012;90.1
PDM;190101;51.1
PDM;190102;48.9
PDM;190103;67.4
PDM;190104;157.8
PDM;190105;57.5
PDM;190106;138.2
PDM;190107;161.1
PDM;190108;134.3
PDM;190109;288.4
PDM;190110;127.0
PDM;190111;46.9
PDM;190112;105.7
PDM;190201;70.5
PDM;190202;90.5
PDM;190203;125.8
PDM;190204;91.5
PDM;190205;127.9
PDM;190206;51.8
PDM;190207;125.5
PDM;190208;205.3
PDM;190209;64.7
PDM;190210;160.0
PDM;190211;59.9
PDM;190212;104.4
PDM;190301;63.3
PDM;190302;37.9
PDM;190303;78.8
PDM;190304;104.8
PDM;190305;115.6
PDM;190306;112.2
PDM;190307;136.1
PDM;190308;208.2
PDM;190309;56.1
PDM;190310;277.9
PDM;190311;95.5
PDM;190312;62.7
PDM;190401;39.8
PDM;190402;247.6
PDM;190403;59.6
PDM;190404;85.9
PDM;190405;169.2
PDM;190406;156.4
PDM;190407;134.7
PDM;190408;174.9
PDM;190409;140.5
PDM;190410;38.9
PDM;190411;36.7
PDM;190412;96.3
PDM;190501;84.0
PDM;190502;53.2
PDM;190503;160.7
PDM;190504;217.2
PDM;190505;176.0
PDM;190506;151.4
PDM;190507;60.5
PDM;190508;266.6
PDM;190509;214.2
PDM;190510;143.1
PDM;190511;136.9
PDM;190512;57.3
PDM;190601;113.8
PDM;190602;137.1
PDM;190603;91.2
PDM;190604;60.8
PDM;190605;232.0
PDM;190606;91.6
PDM;190607;148.4
PDM;190608;68.0
PDM;190609;52.5
PDM;190610;83.5
PDM;190611;186.4
PDM;190612;115.7
PDM;190701;89.5
PDM;190702;67.9
PDM;190703;106.8
PDM;190704;94.3
PDM;190705;115.2
PDM;190706;137.4
PDM;190707;65.3
PDM;190708;84.9
PDM;190709;68.4
PDM;190710;105.0
PDM;190711;22.7
PDM;190712;173.2
PDM;190801;71.2
PDM;190802;206.0
PDM;190803;99.9
PDM;190804;87.5
PDM;190805;122.8
PDM;190806;134.6
PDM;190807;151.0
PDM;190808;138.1
PDM;190809;139.5
PDM;190810;9.9
PDM;190811;82.2
PDM;190812;83.3
PDM;190901;75.3
PDM;190902;78.0
PDM;190903;106.4
PDM;190904;107.0
PDM;190905;63.1
PDM;190906;218.0
PDM;190907;178.1
PDM;190908;120.1
PDM;190909;111.2
PDM;190910;178.5
PDM;190911;59.9
PDM;190912;199.9
PDM;191001;309.5
PDM;191002;149.4
PDM;191003;27.2
PDM;191004;113.2
PDM;191005;118.4
PDM;191006;295.9
PDM;191007;242.0
PDM;191008;111.1
PDM;191009;91.4
PDM;191010;55.2
PDM;191011;322.0
PDM;191012;160.8
PDM;191101;24.9
PDM;191102;89.1
PDM;191103;153.8
PDM;191104;67.3
PDM;191105;112.7
PDM;191106;162.7
PDM;191107;19.8
PDM;191108;92.5
PDM;191109;109.4
PDM;191110;122.4
PDM;191111;91.7
PDM;191112;177.6
PDM;191201;118.9
PDM;191202;68.1
PDM;191203;137.0
PDM;191204;35.4
PDM;191205;129.6
PDM;191206;125.4
PDM;191207;131.5
PDM;191208;232.8
PDM;191209;69.1
PDM;191210;164.9
PDM;191211;137.1
PDM;191212;75.3
PDM;191301;140.3
PDM;191302;64.5
PDM;191303;108.6
PDM;191304;115.2
PDM;191305;134.1
PDM;191306;77.1
PDM;191307;153.4
PDM;191308;136.6
PDM;191309;147.2
PDM;191310;62.0
PDM;191311;169.5
PDM;191312;72.2
PDM;191401;91.0
PDM;191402;34.4
PDM;191403;263.5
PDM;191404;91.6
PDM;191405;151.7
PDM;191406;116.9
PDM;191407;188.4
PDM;191408;149.0
PDM;191409;113.1
PDM;191410;38.0
PDM;191411;93.4
PDM;191412;138.6
PDM;191501;121.1
PDM;191502;74.5
PDM;191503;114.7
PDM;191504;106.0
PDM;191505;115.1
PDM;191506;115.1
PDM;191507;156.3
PDM;191508;138.1
PDM;191509;75.7
PDM;191510;33.2
PDM;191511;148.5
PDM;191512;165.0
PDM;191601;81.1
PDM;191602;160.6
PDM;191603;86.2
PDM;191604;94.5
PDM;191605;86.5
PDM;191606;170.6
PDM;191607;188.3
PDM;191608;92.9
PDM;191609;95.1
PDM;191610;121.7
PDM;191611;149.3
PDM;191612;171.2
PDM;191701;60.1
PDM;191702;12.1
