 

stn;time;rhs150m0
KLA;189808;109.3
KLA;189809;22.0
KLA;189810;104.9
KLA;189811;72.9
KLA;189812;47.7
KLA;189901;193.4
KLA;189902;5.8
KLA;189903;48.3
KLA;189904;146.7
KLA;189905;100.1
KLA;189906;58.9
KLA;189907;86.9
KLA;189908;71.8
KLA;189909;191.0
KLA;189910;30.7
KLA;189911;6.5
KLA;189912;78.4
KLA;190001;104.1
KLA;190002;99.0
KLA;190003;68.2
KLA;190004;56.2
KLA;190005;93.5
KLA;190006;60.3
KLA;190007;145.6
KLA;190008;139.1
KLA;190009;45.7
KLA;190010;30.9
KLA;190011;59.5
KLA;190012;95.6
KLA;190101;60.9
KLA;190102;30.4
KLA;190103;112.6
KLA;190104;129.8
KLA;190105;63.2
KLA;190106;155.7
KLA;190107;120.3
KLA;190108;144.9
KLA;190109;87.9
KLA;190110;55.1
KLA;190111;42.6
KLA;190112;83.0
KLA;190201;85.4
KLA;190202;28.5
KLA;190203;153.4
KLA;190204;31.1
KLA;190205;126.4
KLA;190206;99.2
KLA;190207;107.8
KLA;190208;98.9
KLA;190209;100.8
KLA;190210;83.1
KLA;190211;10.4
KLA;190212;130.5
KLA;190301;59.7
KLA;190302;56.1
KLA;190303;46.5
KLA;190304;106.4
KLA;190305;62.7
KLA;190306;85.6
KLA;190307;149.3
KLA;190308;142.5
KLA;190309;52.7
KLA;190310;101.8
KLA;190311;133.3
KLA;190312;26.0
KLA;190401;30.1
KLA;190402;92.6
KLA;190403;51.9
KLA;190404;79.3
KLA;190405;137.2
KLA;190406;93.5
KLA;190407;70.5
KLA;190408;99.6
KLA;190409;106.7
KLA;190410;59.9
KLA;190411;77.0
KLA;190412;68.3
KLA;190501;79.9
KLA;190502;59.7
KLA;190503;86.1
KLA;190504;114.1
KLA;190505;75.3
KLA;190506;75.7
KLA;190507;93.1
KLA;190508;212.8
KLA;190509;90.1
KLA;190510;99.9
KLA;190511;106.5
KLA;190512;36.3
KLA;190601;75.8
KLA;190602;87.9
KLA;190603;89.5
KLA;190604;59.1
KLA;190605;141.0
KLA;190606;93.8
KLA;190607;184.5
KLA;190608;64.8
KLA;190609;84.8
KLA;190610;15.9
KLA;190611;97.6
KLA;190612;122.5
KLA;190701;121.3
KLA;190702;54.9
