 

stn;time;rhs150m0
SBE;195407;117.4
SBE;195408;387.7
SBE;195409;135.1
SBE;195410;45.1
SBE;195411;89.2
SBE;195412;197.7
SBE;195501;86.4
SBE;195502;160.0
SBE;195503;41.0
SBE;195504;9.9
SBE;195505;161.2
SBE;195506;212.8
SBE;195507;133.3
SBE;195508;61.4
SBE;195509;83.5
SBE;195510;173.3
SBE;195511;26.5
SBE;195512;29.3
SBE;195601;53.2
SBE;195602;14.7
SBE;195603;76.2
SBE;195604;179.8
SBE;195605;109.0
SBE;195606;134.2
SBE;195607;275.5
SBE;195608;452.3
SBE;195609;159.3
SBE;195610;42.7
SBE;195611;30.9
SBE;195612;14.8
SBE;195701;65.1
SBE;195702;78.2
SBE;195703;49.9
SBE;195704;70.2
SBE;195705;124.3
SBE;195706;336.8
SBE;195707;143.6
SBE;195708;200.8
SBE;195709;47.0
SBE;195710;62.0
SBE;195711;165.6
SBE;195712;110.2
SBE;195801;68.8
SBE;195802;95.6
SBE;195803;33.7
SBE;195804;97.8
SBE;195805;211.8
SBE;195806;129.2
SBE;195807;136.7
SBE;195808;250.2
SBE;195809;186.8
SBE;195810;230.1
SBE;195811;49.2
SBE;195812;166.7
SBE;195901;48.4
SBE;195902;8.5
SBE;195903;99.5
SBE;195904;140.4
SBE;195905;62.8
SBE;195906;109.7
SBE;195907;126.6
SBE;195908;64.4
SBE;195909;39.7
SBE;195910;176.3
SBE;195911;182.9
SBE;195912;115.8
SBE;196001;124.2
SBE;196002;67.2
SBE;196003;96.6
SBE;196004;44.0
SBE;196005;108.8
SBE;196006;214.4
SBE;196007;298.2
SBE;196008;245.3
SBE;196009;377.1
SBE;196010;360.3
SBE;196011;126.6
SBE;196012;122.9
SBE;196101;75.2
SBE;196102;76.1
SBE;196103;20.9
SBE;196104;191.0
SBE;196105;164.9
SBE;196106;139.1
SBE;196107;116.4
SBE;196108;95.4
SBE;196109;26.6
SBE;196110;202.4
SBE;196111;162.2
SBE;196112;85.6
SBE;196201;77.4
SBE;196202;36.4
SBE;196203;91.5
SBE;196204;136.9
SBE;196205;160.4
SBE;196206;66.6
SBE;196207;65.1
SBE;196208;80.7
SBE;196209;107.7
SBE;196210;55.8
SBE;196211;122.8
SBE;196212;79.2
SBE;196301;54.3
SBE;196302;26.0
SBE;196303;66.5
SBE;196304;154.7
SBE;196305;160.2
SBE;196306;261.0
SBE;196307;113.6
SBE;196308;337.2
SBE;196309;247.0
SBE;196310;96.0
SBE;196311;430.6
SBE;196312;33.3
SBE;196401;39.0
SBE;196402;42.1
SBE;196403;92.8
SBE;196404;162.7
SBE;196405;54.1
SBE;196406;212.0
SBE;196407;74.6
SBE;196408;141.8
SBE;196409;45.3
SBE;196410;175.0
SBE;196411;80.1
SBE;196412;47.9
SBE;196501;70.9
SBE;196502;10.0
SBE;196503;67.5
SBE;196504;12.0
SBE;196505;126.8
SBE;196506;145.7
SBE;196507;162.7
SBE;196508;224.9
SBE;196509;529.3
SBE;196510;32.6
SBE;196511;104.3
SBE;196512;55.5
SBE;196601;13.5
SBE;196602;102.7
SBE;196603;7.9
SBE;196604;163.9
SBE;196605;142.0
SBE;196606;125.0
SBE;196607;197.7
SBE;196608;120.3
SBE;196609;67.2
SBE;196610;267.4
SBE;196611;146.0
SBE;196612;35.5
SBE;196701;12.7
SBE;196702;129.3
SBE;196703;158.2
SBE;196704;107.9
SBE;196705;261.6
SBE;196706;92.4
SBE;196707;166.2
SBE;196708;188.4
SBE;196709;247.4
SBE;196710;148.0
SBE;196711;237.0
SBE;196712;14.8
SBE;196801;69.5
SBE;196802;197.1
SBE;196803;44.7
SBE;196804;293.4
SBE;196805;265.4
SBE;196806;126.8
SBE;196807;107.1
SBE;196808;160.3
SBE;196809;269.1
SBE;196810;74.0
SBE;196811;295.2
SBE;196812;35.9
SBE;196901;90.6
SBE;196902;86.1
SBE;196903;49.4
SBE;196904;47.2
SBE;196905;359.2
SBE;196906;186.8
SBE;196907;118.0
SBE;196908;138.9
SBE;196909;101.8
SBE;196910;1.1
SBE;196911;296.6
SBE;196912;22.1
SBE;197001;139.1
SBE;197002;89.5
SBE;197003;112.4
SBE;197004;139.6
SBE;197005;111.7
SBE;197006;117.3
SBE;197007;83.0
SBE;197008;142.6
SBE;197009;111.1
SBE;197010;81.8
SBE;197011;253.6
SBE;197012;108.9
SBE;197101;118.1
SBE;197102;33.3
SBE;197103;140.5
SBE;197104;126.6
SBE;197105;203.2
SBE;197106;217.4
SBE;197107;91.7
SBE;197108;218.0
SBE;197109;32.2
SBE;197110;14.3
SBE;197111;172.1
SBE;197112;34.0
SBE;197201;89.1
SBE;197202;152.8
SBE;197203;158.1
SBE;197204;133.7
SBE;197205;151.2
SBE;197206;191.8
SBE;197207;79.2
SBE;197208;80.8
SBE;197209;139.7
SBE;197210;61.8
SBE;197211;60.4
SBE;197212;116.0
SBE;197301;49.8
SBE;197302;32.1
SBE;197303;13.0
SBE;197304;126.7
SBE;197305;236.2
SBE;197306;181.8
SBE;197307;284.3
SBE;197308;90.7
SBE;197309;147.8
SBE;197310;106.5
SBE;197311;42.2
SBE;197312;130.4
SBE;197401;59.8
SBE;197402;177.1
SBE;197403;113.8
SBE;197404;99.2
SBE;197405;109.3
SBE;197406;245.2
SBE;197407;174.1
SBE;197408;115.1
SBE;197409;176.9
SBE;197410;95.5
SBE;197411;165.0
SBE;197412;23.6
SBE;197501;164.9
SBE;197502;29.3
SBE;197503;188.9
SBE;197504;248.5
SBE;197505;192.2
SBE;197506;130.5
SBE;197507;90.3
SBE;197508;142.7
SBE;197509;236.2
SBE;197510;81.9
SBE;197511;117.5
SBE;197512;29.4
SBE;197601;15.9
SBE;197602;30.4
SBE;197603;21.5
SBE;197604;77.8
SBE;197605;68.0
SBE;197606;35.5
SBE;197607;112.9
SBE;197608;146.7
SBE;197609;452.5
SBE;197610;478.1
SBE;197611;195.0
SBE;197612;46.9
SBE;197701;185.3
SBE;197702;138.5
SBE;197703;129.9
SBE;197704;214.9
SBE;197705;278.0
SBE;197706;141.0
SBE;197707;225.2
SBE;197708;372.6
SBE;197709;13.0
SBE;197710;306.3
SBE;197711;41.6
SBE;197712;56.0
SBE;197801;160.4
SBE;197802;140.2
SBE;197803;126.9
SBE;197804;182.1
SBE;197805;182.8
SBE;197806;166.4
SBE;197807;173.0
SBE;197808;271.7
SBE;197809;14.3
SBE;197810;62.1
SBE;197811;6.8
SBE;197812;123.5
SBE;197901;120.5
SBE;197902;53.0
SBE;197903;252.3
SBE;197904;105.0
SBE;197905;181.3
SBE;197906;97.5
SBE;197907;168.6
SBE;197908;195.4
SBE;197909;127.4
SBE;197910;417.0
SBE;197911;107.1
SBE;197912;113.8
