 

stn;time;tre200y0
DLSAA;1951;9.4
DLSAA;1952;9.0
DLSAA;1953;9.7
DLSAA;1954;8.7
DLSAA;1955;8.5
DLSAA;1956;7.6
DLSAA;1957;9.2
DLSAA;1958;8.8
DLSAA;1959;10.2
DLSAA;1960;9.2
DLSAA;1961;9.8
DLSAA;1962;8.0
DLSAA;1963;7.8
DLSAA;1964;9.1
DLSAA;1965;8.2
DLSAA;1966;9.3
DLSAA;1967;9.3
DLSAA;1968;8.5
DLSAA;1969;8.6
DLSAA;1970;8.7
DLSAA;1971;9.2
DLSAA;1972;8.4
DLSAA;1973;8.9
DLSAA;1974;9.5
DLSAA;1975;9.3
DLSAA;1976;9.7
DLSAA;1977;9.2
DLSAA;1978;8.1
DLSAA;1979;8.5
DLSAA;1980;8.3
DLSAA;1981;8.9
DLSAA;1982;9.7
DLSAA;1983;9.7
DLSAA;1984;8.7
DLSAA;1985;8.3
DLSAA;1986;8.7
DLSAA;1987;8.3
DLSAA;1988;9.7
DLSAA;1989;9.9
DLSAA;1990;9.9
DLSAA;1991;8.9
DLSAA;1992;9.7
DLSAA;1993;9.1
DLSAA;1994;10.4
DLSAA;1995;9.6
DLSAA;1996;8.2
DLSAA;1997;9.6
DLSAA;1998;9.3
DLSAA;1999;9.8
DLSAA;2000;10.3
DLSAA;2001;9.6
DLSAA;2002;10.1
DLSAA;2003;10.3
DLSAA;2004;9.4
DLSAA;2005;9.7
DLSAA;2006;10.2
DLSAA;2007;10.2
DLSAA;2008;9.6
DLSAA;2009;9.8
DLSAA;2010;8.7
DLSAA;2011;10.5
DLSAA;2012;9.8
DLSAA;2013;9.2
DLSAA;2014;11.0
DLSAA;2015;10.5
DLSAA;2016;9.9
DLSAA;2017;10.2
DLSAA;2018;11.1
DLSAA;2019;10.7
DLSAA;2020;11.2
