 

stn;time;tre200y0
HLL;1887;7.0
HLL;1888;7.2
HLL;1889;7.3
HLL;1890;7.2
HLL;1891;7.2
HLL;1892;8.2
HLL;1893;8.6
HLL;1894;8.2
HLL;1895;7.8
HLL;1896;7.7
HLL;1897;8.5
HLL;1898;8.9
HLL;1899;8.6
HLL;1900;9.0
HLL;1901;7.7
HLL;1902;8.0
HLL;1903;8.1
HLL;1904;8.9
HLL;1905;8.2
HLL;1906;8.4
HLL;1907;8.2
HLL;1908;7.6
HLL;1909;7.7
HLL;1910;8.3
HLL;1911;9.4
HLL;1912;8.1
HLL;1913;8.6
HLL;1914;8.0
HLL;1915;8.2
HLL;1916;8.7
HLL;1917;7.6
HLL;1918;8.4
HLL;1919;7.9
HLL;1920;8.9
HLL;1921;9.4
HLL;1922;7.7
HLL;1923;8.8
HLL;1924;7.8
HLL;1925;8.3
HLL;1926;9.3
HLL;1927;8.6
HLL;1928;9.4
HLL;1929;8.3
HLL;1930;9.3
HLL;1931;7.9
HLL;1932;8.4
HLL;1933;8.3
HLL;1934;9.6
HLL;1935;8.9
HLL;1936;9.1
HLL;1937;9.2
HLL;1938;8.8
HLL;1939;8.6
HLL;1940;7.7
HLL;1941;8.0
HLL;1942;8.5
HLL;1943;9.8
HLL;1944;8.7
HLL;1945;9.5
HLL;1946;9.1
HLL;1947;10.0
HLL;1948;9.4
HLL;1949;9.9
HLL;1950;9.5
HLL;1951;9.2
HLL;1952;9.2
HLL;1953;9.3
HLL;1954;8.6
HLL;1955;8.7
HLL;1956;7.8
HLL;1957;9.1
HLL;1958;8.9
HLL;1959;9.6
HLL;1960;9.2
HLL;1961;10.0
HLL;1962;8.2
HLL;1963;8.2
HLL;1964;9.2
HLL;1965;8.3
HLL;1966;9.5
HLL;1967;9.4
HLL;1968;9.0
HLL;1969;8.8
HLL;1970;8.7
HLL;1971;9.1
HLL;1972;8.6
HLL;1973;8.9
HLL;1974;9.6
HLL;1975;9.1
HLL;1976;8.8
HLL;1977;8.9
HLL;1978;7.9
HLL;1979;8.5
HLL;1980;7.7
HLL;1981;8.5
HLL;1982;9.0
HLL;1983;9.1
HLL;1984;8.3
HLL;1985;8.0
HLL;1986;8.4
HLL;1987;8.4
HLL;1988;9.4
HLL;1989;9.3
HLL;1990;9.6
HLL;1991;8.8
HLL;1992;9.5
HLL;1993;9.0
HLL;1994;10.4
HLL;1995;9.2
HLL;1996;8.2
HLL;1997;9.3
HLL;1998;9.2
HLL;1999;9.3
HLL;2000;10.1
HLL;2001;9.5
HLL;2002;10.1
HLL;2003;10.1
HLL;2004;9.4
HLL;2005;9.3
HLL;2006;9.7
HLL;2007;10.3
HLL;2008;9.8
HLL;2009;9.7
HLL;2010;8.7
HLL;2011;10.3
HLL;2012;9.4
HLL;2013;9.0
HLL;2014;10.2
HLL;2015;10.0
HLL;2016;9.6
HLL;2017;9.6
HLL;2018;10.8
HLL;2019;10.1
HLL;2020;10.3
