 

stn;time;tre200y0
IYNAT;1973;8.6
IYNAT;1974;8.9
IYNAT;1975;8.5
IYNAT;1976;9.9
IYNAT;1977;10.1
IYNAT;1978;9.7
IYNAT;1979;11.5
IYNAT;1980;11.4
IYNAT;1981;11.5
IYNAT;1982;12.2
IYNAT;1983;10.8
IYNAT;1984;9.5
IYNAT;1985;9.6
IYNAT;1986;9.8
IYNAT;1987;10.0
IYNAT;1988;10.3
IYNAT;1989;9.3
IYNAT;1990;9.6
IYNAT;1991;9.2
IYNAT;1992;9.8
IYNAT;1993;9.3
IYNAT;1994;10.2
IYNAT;1995;9.2
IYNAT;1996;9.1
IYNAT;1997;9.6
IYNAT;1998;9.5
IYNAT;1999;9.4
IYNAT;2000;10.4
IYNAT;2001;10.1
IYNAT;2002;10.7
IYNAT;2003;10.7
IYNAT;2004;10.4
IYNAT;2005;10.1
IYNAT;2006;10.4
IYNAT;2007;11.2
