 

stn;time;tnd00xy0
IYVOL;1981;12
IYVOL;1982;8
IYVOL;1983;3
IYVOL;1984;5
IYVOL;1985;17
IYVOL;1986;16
IYVOL;1987;7
IYVOL;1988;2
IYVOL;1989;3
IYVOL;1990;4
IYVOL;1991;5
IYVOL;1992;2
IYVOL;1993;5
IYVOL;1994;1
IYVOL;1995;6
IYVOL;1996;9
IYVOL;1997;2
IYVOL;1998;2
IYVOL;1999;14
IYVOL;2000;5
IYVOL;2001;8
IYVOL;2002;3
IYVOL;2003;8
IYVOL;2004;10
IYVOL;2005;21
IYVOL;2006;7
IYVOL;2007;2
IYVOL;2008;10
IYVOL;2009;16
IYVOL;2010;15
IYVOL;2011;5
IYVOL;2012;15
IYVOL;2013;2
IYVOL;2014;2
IYVOL;2015;1
IYVOL;2016;2
IYVOL;2017;11
IYVOL;2018;5
