 

stn;time;rsd700y0
OLI;1901;1
OLI;1902;1
OLI;1903;1
OLI;1904;0
OLI;1905;1
OLI;1906;3
OLI;1907;0
OLI;1908;1
OLI;1909;1
OLI;1910;0
OLI;1911;2
OLI;1912;0
OLI;1913;0
OLI;1914;4
OLI;1915;0
OLI;1916;3
OLI;1917;1
OLI;1918;5
OLI;1919;0
OLI;1920;2
OLI;1921;1
OLI;1922;1
OLI;1923;3
OLI;1924;4
OLI;1925;1
OLI;1926;2
OLI;1927;2
OLI;1928;4
OLI;1929;0
OLI;1930;1
OLI;1931;2
OLI;1932;1
OLI;1933;2
OLI;1934;4
OLI;1935;1
OLI;1936;0
OLI;1937;1
OLI;1938;1
OLI;1939;1
OLI;1940;1
OLI;1941;0
OLI;1942;3
OLI;1943;1
OLI;1944;0
OLI;1945;1
