 

stn;time;rsd700y0
MTE;1973;0
MTE;1974;0
MTE;1975;0
MTE;1976;0
MTE;1977;0
MTE;1978;0
MTE;1979;0
MTE;1980;0
MTE;1981;0
MTE;1982;0
MTE;1983;0
MTE;1984;0
MTE;1985;0
MTE;1986;0
MTE;1987;0
MTE;1988;0
MTE;1989;0
MTE;1990;0
MTE;1991;0
MTE;1992;0
MTE;1993;0
MTE;1994;0
MTE;1995;0
MTE;1996;0
MTE;1997;0
MTE;1998;0
MTE;1999;0
MTE;2000;1
MTE;2001;0
MTE;2002;0
MTE;2003;0
MTE;2004;0
MTE;2005;0
MTE;2006;0
MTE;2007;1
MTE;2008;0
MTE;2009;0
MTE;2010;0
MTE;2011;0
MTE;2012;0
MTE;2013;0
MTE;2014;0
MTE;2015;0
MTE;2016;0
MTE;2017;0
MTE;2018;0
MTE;2019;0
MTE;2020;0
