 

stn;time;rs1000y0
VIG;1961;0
VIG;1962;1
VIG;1963;3
VIG;1964;1
VIG;1965;2
VIG;1966;3
VIG;1967;1
VIG;1968;3
VIG;1969;0
VIG;1970;0
VIG;1971;0
VIG;1972;1
VIG;1973;2
VIG;1974;0
VIG;1975;0
VIG;1976;3
VIG;1977;5
VIG;1978;3
VIG;1979;1
VIG;1980;2
VIG;1981;2
VIG;1982;2
VIG;1983;2
VIG;1984;4
VIG;1985;0
VIG;1986;0
VIG;1987;3
VIG;1988;2
VIG;1989;1
VIG;1990;1
VIG;1991;2
VIG;1992;1
VIG;1993;4
VIG;1994;3
VIG;1995;1
VIG;1996;2
VIG;1997;0
VIG;1998;1
VIG;1999;1
VIG;2000;1
VIG;2001;2
VIG;2002;6
VIG;2003;1
VIG;2004;1
VIG;2005;0
VIG;2006;1
VIG;2007;0
VIG;2008;2
