 

stn;time;rs1000y0
SPZ;1956;0
SPZ;1957;0
SPZ;1958;0
SPZ;1959;0
SPZ;1960;0
SPZ;1961;0
SPZ;1962;0
SPZ;1963;0
SPZ;1964;0
SPZ;1965;1
SPZ;1966;0
SPZ;1967;0
SPZ;1968;0
SPZ;1969;0
SPZ;1970;0
SPZ;1971;0
SPZ;1972;0
SPZ;1973;0
SPZ;1974;0
SPZ;1975;0
SPZ;1976;0
SPZ;1977;1
SPZ;1978;1
SPZ;1979;0
SPZ;1980;0
SPZ;1981;0
SPZ;1982;0
SPZ;1983;0
SPZ;1984;0
SPZ;1985;0
SPZ;1986;0
SPZ;1987;0
SPZ;1988;0
SPZ;1989;0
SPZ;1990;0
SPZ;1991;0
SPZ;1992;0
SPZ;1993;0
SPZ;1994;0
SPZ;1995;1
SPZ;1996;0
SPZ;1997;0
SPZ;1998;0
SPZ;1999;0
SPZ;2000;0
SPZ;2001;0
SPZ;2002;1
SPZ;2003;0
SPZ;2004;0
SPZ;2005;0
SPZ;2006;0
SPZ;2007;0
SPZ;2008;0
SPZ;2009;0
SPZ;2010;0
SPZ;2011;0
SPZ;2012;0
SPZ;2013;0
SPZ;2014;0
SPZ;2015;0
SPZ;2016;0
SPZ;2017;0
SPZ;2018;0
SPZ;2019;0
SPZ;2020;0
